count,lon,lat,area
21,-102.6,34.3,"POLYGON((-102.6 34.3,-102.6 34.4,-102.5 34.4,-102.5 34.3,-102.6 34.3))"
44,-102.5,34.3,"POLYGON((-102.5 34.3,-102.5 34.4,-102.4 34.4,-102.4 34.3,-102.5 34.3))"
67,-102.4,34.3,"POLYGON((-102.4 34.3,-102.4 34.4,-102.3 34.4,-102.3 34.3,-102.4 34.3))"
30,-102.3,34.3,"POLYGON((-102.3 34.3,-102.3 34.4,-102.2 34.4,-102.2 34.3,-102.3 34.3))"
552,-102.2,34.3,"POLYGON((-102.2 34.3,-102.2 34.4,-102.1 34.4,-102.1 34.3,-102.2 34.3))"
42,-102.1,34.3,"POLYGON((-102.1 34.3,-102.1 34.4,-102.0 34.4,-102.0 34.3,-102.1 34.3))"
7,-102.6,34.4,"POLYGON((-102.6 34.4,-102.6 34.5,-102.5 34.5,-102.5 34.4,-102.6 34.4))"
45,-102.5,34.4,"POLYGON((-102.5 34.4,-102.5 34.5,-102.4 34.5,-102.4 34.4,-102.5 34.4))"
44,-102.4,34.4,"POLYGON((-102.4 34.4,-102.4 34.5,-102.3 34.5,-102.3 34.4,-102.4 34.4))"
56,-102.3,34.4,"POLYGON((-102.3 34.4,-102.3 34.5,-102.2 34.5,-102.2 34.4,-102.3 34.4))"
35,-102.2,34.4,"POLYGON((-102.2 34.4,-102.2 34.5,-102.1 34.5,-102.1 34.4,-102.2 34.4))"
28,-102.1,34.4,"POLYGON((-102.1 34.4,-102.1 34.5,-102.0 34.5,-102.0 34.4,-102.1 34.4))"
30,-102.6,34.5,"POLYGON((-102.6 34.5,-102.6 34.6,-102.5 34.6,-102.5 34.5,-102.6 34.5))"
100,-102.5,34.5,"POLYGON((-102.5 34.5,-102.5 34.6,-102.4 34.6,-102.4 34.5,-102.5 34.5))"
1745,-102.4,34.5,"POLYGON((-102.4 34.5,-102.4 34.6,-102.3 34.6,-102.3 34.5,-102.4 34.5))"
56,-102.3,34.5,"POLYGON((-102.3 34.5,-102.3 34.6,-102.2 34.6,-102.2 34.5,-102.3 34.5))"
251,-102.2,34.5,"POLYGON((-102.2 34.5,-102.2 34.6,-102.1 34.6,-102.1 34.5,-102.2 34.5))"
63,-102.1,34.5,"POLYGON((-102.1 34.5,-102.1 34.6,-102.0 34.6,-102.0 34.5,-102.1 34.5))"
1,-102.0,34.5,"POLYGON((-102.0 34.5,-102.0 34.6,-101.9 34.6,-101.9 34.5,-102.0 34.5))"
20,-102.6,34.6,"POLYGON((-102.6 34.6,-102.6 34.7,-102.5 34.7,-102.5 34.6,-102.6 34.6))"
76,-102.5,34.6,"POLYGON((-102.5 34.6,-102.5 34.7,-102.4 34.7,-102.4 34.6,-102.5 34.6))"
45,-102.4,34.6,"POLYGON((-102.4 34.6,-102.4 34.7,-102.3 34.7,-102.3 34.6,-102.4 34.6))"
16,-102.3,34.6,"POLYGON((-102.3 34.6,-102.3 34.7,-102.2 34.7,-102.2 34.6,-102.3 34.6))"
9,-102.2,34.6,"POLYGON((-102.2 34.6,-102.2 34.7,-102.1 34.7,-102.1 34.6,-102.2 34.6))"
14,-102.1,34.6,"POLYGON((-102.1 34.6,-102.1 34.7,-102.0 34.7,-102.0 34.6,-102.1 34.6))"
36,-102.6,34.7,"POLYGON((-102.6 34.7,-102.6 34.8,-102.5 34.8,-102.5 34.7,-102.6 34.7))"
27,-102.5,34.7,"POLYGON((-102.5 34.7,-102.5 34.8,-102.4 34.8,-102.4 34.7,-102.5 34.7))"
128,-102.4,34.7,"POLYGON((-102.4 34.7,-102.4 34.8,-102.3 34.8,-102.3 34.7,-102.4 34.7))"
7,-102.3,34.7,"POLYGON((-102.3 34.7,-102.3 34.8,-102.2 34.8,-102.2 34.7,-102.3 34.7))"
2,-102.2,34.7,"POLYGON((-102.2 34.7,-102.2 34.8,-102.1 34.8,-102.1 34.7,-102.2 34.7))"
7,-102.1,34.7,"POLYGON((-102.1 34.7,-102.1 34.8,-102.0 34.8,-102.0 34.7,-102.1 34.7))"
