count,lon,lat,area
1,-98.8,29.1,"POLYGON((-98.8 29.1,-98.8 29.2,-98.7 29.2,-98.7 29.1,-98.8 29.1))"
272,-98.7,29.1,"POLYGON((-98.7 29.1,-98.7 29.2,-98.6 29.2,-98.6 29.1,-98.7 29.1))"
1107,-98.6,29.1,"POLYGON((-98.6 29.1,-98.6 29.2,-98.5 29.2,-98.5 29.1,-98.6 29.1))"
3584,-98.5,29.1,"POLYGON((-98.5 29.1,-98.5 29.2,-98.4 29.2,-98.4 29.1,-98.5 29.1))"
348,-98.4,29.1,"POLYGON((-98.4 29.1,-98.4 29.2,-98.3 29.2,-98.3 29.1,-98.4 29.1))"
4,-98.9,29.2,"POLYGON((-98.9 29.2,-98.9 29.3,-98.8 29.3,-98.8 29.2,-98.9 29.2))"
1030,-98.8,29.2,"POLYGON((-98.8 29.2,-98.8 29.3,-98.7 29.3,-98.7 29.2,-98.8 29.2))"
1367,-98.7,29.2,"POLYGON((-98.7 29.2,-98.7 29.3,-98.6 29.3,-98.6 29.2,-98.7 29.2))"
971,-98.6,29.2,"POLYGON((-98.6 29.2,-98.6 29.3,-98.5 29.3,-98.5 29.2,-98.6 29.2))"
2275,-98.5,29.2,"POLYGON((-98.5 29.2,-98.5 29.3,-98.4 29.3,-98.4 29.2,-98.5 29.2))"
1259,-98.4,29.2,"POLYGON((-98.4 29.2,-98.4 29.3,-98.3 29.3,-98.3 29.2,-98.4 29.2))"
218,-98.3,29.2,"POLYGON((-98.3 29.2,-98.3 29.3,-98.2 29.3,-98.2 29.2,-98.3 29.2))"
13,-98.9,29.3,"POLYGON((-98.9 29.3,-98.9 29.4,-98.8 29.4,-98.8 29.3,-98.9 29.3))"
5173,-98.8,29.3,"POLYGON((-98.8 29.3,-98.8 29.4,-98.7 29.4,-98.7 29.3,-98.8 29.3))"
17214,-98.7,29.3,"POLYGON((-98.7 29.3,-98.7 29.4,-98.6 29.4,-98.6 29.3,-98.7 29.3))"
33559,-98.6,29.3,"POLYGON((-98.6 29.3,-98.6 29.4,-98.5 29.4,-98.5 29.3,-98.6 29.3))"
34254,-98.5,29.3,"POLYGON((-98.5 29.3,-98.5 29.4,-98.4 29.4,-98.4 29.3,-98.5 29.3))"
7463,-98.4,29.3,"POLYGON((-98.4 29.3,-98.4 29.4,-98.3 29.4,-98.3 29.3,-98.4 29.3))"
1270,-98.3,29.3,"POLYGON((-98.3 29.3,-98.3 29.4,-98.2 29.4,-98.2 29.3,-98.3 29.3))"
37,-98.2,29.3,"POLYGON((-98.2 29.3,-98.2 29.4,-98.1 29.4,-98.1 29.3,-98.2 29.3))"
923,-98.9,29.4,"POLYGON((-98.9 29.4,-98.9 29.5,-98.8 29.5,-98.8 29.4,-98.9 29.4))"
