count,lon,lat,area
104,-98.0,31.0,"POLYGON((-98.0 31.0,-98.0 31.1,-97.9 31.1,-97.9 31.0,-98.0 31.0))"
269,-97.9,31.0,"POLYGON((-97.9 31.0,-97.9 31.1,-97.8 31.1,-97.8 31.0,-97.9 31.0))"
870,-98.0,31.1,"POLYGON((-98.0 31.1,-98.0 31.2,-97.9 31.2,-97.9 31.1,-98.0 31.1))"
5,-97.9,31.1,"POLYGON((-97.9 31.1,-97.9 31.2,-97.8 31.2,-97.8 31.1,-97.9 31.1))"
59,-98.1,31.2,"POLYGON((-98.1 31.2,-98.1 31.3,-98.0 31.3,-98.0 31.2,-98.1 31.2))"
304,-98.0,31.2,"POLYGON((-98.0 31.2,-98.0 31.3,-97.9 31.3,-97.9 31.2,-98.0 31.2))"
57,-97.9,31.2,"POLYGON((-97.9 31.2,-97.9 31.3,-97.8 31.3,-97.8 31.2,-97.9 31.2))"
76,-97.7,31.2,"POLYGON((-97.7 31.2,-97.7 31.3,-97.6 31.3,-97.6 31.2,-97.7 31.2))"
185,-97.6,31.2,"POLYGON((-97.6 31.2,-97.6 31.3,-97.5 31.3,-97.5 31.2,-97.6 31.2))"
5,-97.5,31.2,"POLYGON((-97.5 31.2,-97.5 31.3,-97.4 31.3,-97.4 31.2,-97.5 31.2))"
9,-98.2,31.3,"POLYGON((-98.2 31.3,-98.2 31.4,-98.1 31.4,-98.1 31.3,-98.2 31.3))"
151,-98.1,31.3,"POLYGON((-98.1 31.3,-98.1 31.4,-98.0 31.4,-98.0 31.3,-98.1 31.3))"
226,-98.0,31.3,"POLYGON((-98.0 31.3,-98.0 31.4,-97.9 31.4,-97.9 31.3,-98.0 31.3))"
349,-97.9,31.3,"POLYGON((-97.9 31.3,-97.9 31.4,-97.8 31.4,-97.8 31.3,-97.9 31.3))"
379,-97.8,31.3,"POLYGON((-97.8 31.3,-97.8 31.4,-97.7 31.4,-97.7 31.3,-97.8 31.3))"
470,-97.7,31.3,"POLYGON((-97.7 31.3,-97.7 31.4,-97.6 31.4,-97.6 31.3,-97.7 31.3))"
216,-97.6,31.3,"POLYGON((-97.6 31.3,-97.6 31.4,-97.5 31.4,-97.5 31.3,-97.6 31.3))"
273,-97.5,31.3,"POLYGON((-97.5 31.3,-97.5 31.4,-97.4 31.4,-97.4 31.3,-97.5 31.3))"
254,-98.2,31.4,"POLYGON((-98.2 31.4,-98.2 31.5,-98.1 31.5,-98.1 31.4,-98.2 31.4))"
225,-98.1,31.4,"POLYGON((-98.1 31.4,-98.1 31.5,-98.0 31.5,-98.0 31.4,-98.1 31.4))"
186,-98.0,31.4,"POLYGON((-98.0 31.4,-98.0 31.5,-97.9 31.5,-97.9 31.4,-98.0 31.4))"
240,-97.9,31.4,"POLYGON((-97.9 31.4,-97.9 31.5,-97.8 31.5,-97.8 31.4,-97.9 31.4))"
1305,-97.8,31.4,"POLYGON((-97.8 31.4,-97.8 31.5,-97.7 31.5,-97.7 31.4,-97.8 31.4))"
814,-97.7,31.4,"POLYGON((-97.7 31.4,-97.7 31.5,-97.6 31.5,-97.6 31.4,-97.7 31.4))"
511,-97.6,31.4,"POLYGON((-97.6 31.4,-97.6 31.5,-97.5 31.5,-97.5 31.4,-97.6 31.4))"
2,-97.5,31.4,"POLYGON((-97.5 31.4,-97.5 31.5,-97.4 31.5,-97.4 31.4,-97.5 31.4))"
42,-98.1,31.5,"POLYGON((-98.1 31.5,-98.1 31.6,-98.0 31.6,-98.0 31.5,-98.1 31.5))"
132,-98.0,31.5,"POLYGON((-98.0 31.5,-98.0 31.6,-97.9 31.6,-97.9 31.5,-98.0 31.5))"
337,-97.9,31.5,"POLYGON((-97.9 31.5,-97.9 31.6,-97.8 31.6,-97.8 31.5,-97.9 31.5))"
181,-97.8,31.5,"POLYGON((-97.8 31.5,-97.8 31.6,-97.7 31.6,-97.7 31.5,-97.8 31.5))"
247,-97.7,31.5,"POLYGON((-97.7 31.5,-97.7 31.6,-97.6 31.6,-97.6 31.5,-97.7 31.5))"
44,-97.6,31.5,"POLYGON((-97.6 31.5,-97.6 31.6,-97.5 31.6,-97.5 31.5,-97.6 31.5))"
1,-98.0,31.6,"POLYGON((-98.0 31.6,-98.0 31.7,-97.9 31.7,-97.9 31.6,-98.0 31.6))"
104,-97.9,31.6,"POLYGON((-97.9 31.6,-97.9 31.7,-97.8 31.7,-97.8 31.6,-97.9 31.6))"
215,-97.8,31.6,"POLYGON((-97.8 31.6,-97.8 31.7,-97.7 31.7,-97.7 31.6,-97.8 31.6))"
69,-97.7,31.6,"POLYGON((-97.7 31.6,-97.7 31.7,-97.6 31.7,-97.6 31.6,-97.7 31.6))"
1,-97.8,31.7,"POLYGON((-97.8 31.7,-97.8 31.8,-97.7 31.8,-97.7 31.7,-97.8 31.7))"
1,-97.7,31.7,"POLYGON((-97.7 31.7,-97.7 31.8,-97.6 31.8,-97.6 31.7,-97.7 31.7))"
