count,lon,lat,area
1,-102.4,31.0,"POLYGON((-102.4 31.0,-102.4 31.1,-102.3 31.1,-102.3 31.0,-102.4 31.0))"
1,-102.5,31.2,"POLYGON((-102.5 31.2,-102.5 31.3,-102.4 31.3,-102.4 31.2,-102.5 31.2))"
9,-102.4,31.2,"POLYGON((-102.4 31.2,-102.4 31.3,-102.3 31.3,-102.3 31.2,-102.4 31.2))"
10,-102.7,31.3,"POLYGON((-102.7 31.3,-102.7 31.4,-102.6 31.4,-102.6 31.3,-102.7 31.3))"
5,-102.6,31.3,"POLYGON((-102.6 31.3,-102.6 31.4,-102.5 31.4,-102.5 31.3,-102.6 31.3))"
688,-102.4,31.3,"POLYGON((-102.4 31.3,-102.4 31.4,-102.3 31.4,-102.3 31.3,-102.4 31.3))"
1,-102.8,31.4,"POLYGON((-102.8 31.4,-102.8 31.5,-102.7 31.5,-102.7 31.4,-102.8 31.4))"
11,-102.7,31.4,"POLYGON((-102.7 31.4,-102.7 31.5,-102.6 31.5,-102.6 31.4,-102.7 31.4))"
7,-102.6,31.4,"POLYGON((-102.6 31.4,-102.6 31.5,-102.5 31.5,-102.5 31.4,-102.6 31.4))"
8,-102.5,31.4,"POLYGON((-102.5 31.4,-102.5 31.5,-102.4 31.5,-102.4 31.4,-102.5 31.4))"
225,-102.4,31.4,"POLYGON((-102.4 31.4,-102.4 31.5,-102.3 31.5,-102.3 31.4,-102.4 31.4))"
8,-102.7,31.5,"POLYGON((-102.7 31.5,-102.7 31.6,-102.6 31.6,-102.6 31.5,-102.7 31.5))"
7,-102.6,31.5,"POLYGON((-102.6 31.5,-102.6 31.6,-102.5 31.6,-102.5 31.5,-102.6 31.5))"
7,-102.5,31.5,"POLYGON((-102.5 31.5,-102.5 31.6,-102.4 31.6,-102.4 31.5,-102.5 31.5))"
3,-102.4,31.5,"POLYGON((-102.4 31.5,-102.4 31.6,-102.3 31.6,-102.3 31.5,-102.4 31.5))"
4,-102.8,31.6,"POLYGON((-102.8 31.6,-102.8 31.7,-102.7 31.7,-102.7 31.6,-102.8 31.6))"
2,-102.7,31.6,"POLYGON((-102.7 31.6,-102.7 31.7,-102.6 31.7,-102.6 31.6,-102.7 31.6))"
144,-102.4,31.6,"POLYGON((-102.4 31.6,-102.4 31.7,-102.3 31.7,-102.3 31.6,-102.4 31.6))"
