count,lon,lat,area
1,-101.3,33.3,"POLYGON((-101.3 33.3,-101.3 33.4,-101.2 33.4,-101.2 33.3,-101.3 33.3))"
1,-101.1,33.3,"POLYGON((-101.1 33.3,-101.1 33.4,-101.0 33.4,-101.0 33.3,-101.1 33.3))"
11,-101.6,33.4,"POLYGON((-101.6 33.4,-101.6 33.5,-101.5 33.5,-101.5 33.4,-101.6 33.4))"
13,-101.5,33.4,"POLYGON((-101.5 33.4,-101.5 33.5,-101.4 33.5,-101.4 33.4,-101.5 33.4))"
21,-101.4,33.4,"POLYGON((-101.4 33.4,-101.4 33.5,-101.3 33.5,-101.3 33.4,-101.4 33.4))"
12,-101.3,33.4,"POLYGON((-101.3 33.4,-101.3 33.5,-101.2 33.5,-101.2 33.4,-101.3 33.4))"
56,-101.2,33.4,"POLYGON((-101.2 33.4,-101.2 33.5,-101.1 33.5,-101.1 33.4,-101.2 33.4))"
243,-101.1,33.4,"POLYGON((-101.1 33.4,-101.1 33.5,-101.0 33.5,-101.0 33.4,-101.1 33.4))"
47,-101.6,33.5,"POLYGON((-101.6 33.5,-101.6 33.6,-101.5 33.6,-101.5 33.5,-101.6 33.5))"
27,-101.5,33.5,"POLYGON((-101.5 33.5,-101.5 33.6,-101.4 33.6,-101.4 33.5,-101.5 33.5))"
51,-101.4,33.5,"POLYGON((-101.4 33.5,-101.4 33.6,-101.3 33.6,-101.3 33.5,-101.4 33.5))"
13,-101.3,33.5,"POLYGON((-101.3 33.5,-101.3 33.6,-101.2 33.6,-101.2 33.5,-101.3 33.5))"
2,-101.2,33.5,"POLYGON((-101.2 33.5,-101.2 33.6,-101.1 33.6,-101.1 33.5,-101.2 33.5))"
1,-101.1,33.5,"POLYGON((-101.1 33.5,-101.1 33.6,-101.0 33.6,-101.0 33.5,-101.1 33.5))"
442,-101.6,33.6,"POLYGON((-101.6 33.6,-101.6 33.7,-101.5 33.7,-101.5 33.6,-101.6 33.6))"
43,-101.5,33.6,"POLYGON((-101.5 33.6,-101.5 33.7,-101.4 33.7,-101.4 33.6,-101.5 33.6))"
823,-101.4,33.6,"POLYGON((-101.4 33.6,-101.4 33.7,-101.3 33.7,-101.3 33.6,-101.4 33.6))"
868,-101.3,33.6,"POLYGON((-101.3 33.6,-101.3 33.7,-101.2 33.7,-101.2 33.6,-101.3 33.6))"
15,-101.2,33.6,"POLYGON((-101.2 33.6,-101.2 33.7,-101.1 33.7,-101.1 33.6,-101.2 33.6))"
10,-101.1,33.6,"POLYGON((-101.1 33.6,-101.1 33.7,-101.0 33.7,-101.0 33.6,-101.1 33.6))"
45,-101.6,33.7,"POLYGON((-101.6 33.7,-101.6 33.8,-101.5 33.8,-101.5 33.7,-101.6 33.7))"
43,-101.5,33.7,"POLYGON((-101.5 33.7,-101.5 33.8,-101.4 33.8,-101.4 33.7,-101.5 33.7))"
78,-101.4,33.7,"POLYGON((-101.4 33.7,-101.4 33.8,-101.3 33.8,-101.3 33.7,-101.4 33.7))"
26,-101.3,33.7,"POLYGON((-101.3 33.7,-101.3 33.8,-101.2 33.8,-101.2 33.7,-101.3 33.7))"
21,-101.2,33.7,"POLYGON((-101.2 33.7,-101.2 33.8,-101.1 33.8,-101.1 33.7,-101.2 33.7))"
27,-101.1,33.7,"POLYGON((-101.1 33.7,-101.1 33.8,-101.0 33.8,-101.0 33.7,-101.1 33.7))"
7,-101.6,33.8,"POLYGON((-101.6 33.8,-101.6 33.9,-101.5 33.9,-101.5 33.8,-101.6 33.8))"
4,-101.5,33.8,"POLYGON((-101.5 33.8,-101.5 33.9,-101.4 33.9,-101.4 33.8,-101.5 33.8))"
9,-101.4,33.8,"POLYGON((-101.4 33.8,-101.4 33.9,-101.3 33.9,-101.3 33.8,-101.4 33.8))"
8,-101.3,33.8,"POLYGON((-101.3 33.8,-101.3 33.9,-101.2 33.9,-101.2 33.8,-101.3 33.8))"
27,-101.2,33.8,"POLYGON((-101.2 33.8,-101.2 33.9,-101.1 33.9,-101.1 33.8,-101.2 33.8))"
13,-101.1,33.8,"POLYGON((-101.1 33.8,-101.1 33.9,-101.0 33.9,-101.0 33.8,-101.1 33.8))"
