count,lon,lat,area
13,-102.2,32.5,"POLYGON((-102.2 32.5,-102.2 32.6,-102.1 32.6,-102.1 32.5,-102.2 32.5))"
44,-102.1,32.5,"POLYGON((-102.1 32.5,-102.1 32.6,-102.0 32.6,-102.0 32.5,-102.1 32.5))"
50,-102.0,32.5,"POLYGON((-102.0 32.5,-102.0 32.6,-101.9 32.6,-101.9 32.5,-102.0 32.5))"
37,-101.9,32.5,"POLYGON((-101.9 32.5,-101.9 32.6,-101.8 32.6,-101.8 32.5,-101.9 32.5))"
114,-101.8,32.5,"POLYGON((-101.8 32.5,-101.8 32.6,-101.7 32.6,-101.7 32.5,-101.8 32.5))"
7,-101.7,32.5,"POLYGON((-101.7 32.5,-101.7 32.6,-101.6 32.6,-101.6 32.5,-101.7 32.5))"
22,-102.2,32.6,"POLYGON((-102.2 32.6,-102.2 32.7,-102.1 32.7,-102.1 32.6,-102.2 32.6))"
44,-102.1,32.6,"POLYGON((-102.1 32.6,-102.1 32.7,-102.0 32.7,-102.0 32.6,-102.1 32.6))"
89,-102.0,32.6,"POLYGON((-102.0 32.6,-102.0 32.7,-101.9 32.7,-101.9 32.6,-102.0 32.6))"
45,-101.9,32.6,"POLYGON((-101.9 32.6,-101.9 32.7,-101.8 32.7,-101.8 32.6,-101.9 32.6))"
49,-101.8,32.6,"POLYGON((-101.8 32.6,-101.8 32.7,-101.7 32.7,-101.7 32.6,-101.8 32.6))"
1,-101.7,32.6,"POLYGON((-101.7 32.6,-101.7 32.7,-101.6 32.7,-101.6 32.6,-101.7 32.6))"
16,-102.2,32.7,"POLYGON((-102.2 32.7,-102.2 32.8,-102.1 32.8,-102.1 32.7,-102.2 32.7))"
29,-102.1,32.7,"POLYGON((-102.1 32.7,-102.1 32.8,-102.0 32.8,-102.0 32.7,-102.1 32.7))"
2822,-102.0,32.7,"POLYGON((-102.0 32.7,-102.0 32.8,-101.9 32.8,-101.9 32.7,-102.0 32.7))"
54,-101.9,32.7,"POLYGON((-101.9 32.7,-101.9 32.8,-101.8 32.8,-101.8 32.7,-101.9 32.7))"
23,-101.8,32.7,"POLYGON((-101.8 32.7,-101.8 32.8,-101.7 32.8,-101.7 32.7,-101.8 32.7))"
1,-101.7,32.7,"POLYGON((-101.7 32.7,-101.7 32.8,-101.6 32.8,-101.6 32.7,-101.7 32.7))"
12,-102.2,32.8,"POLYGON((-102.2 32.8,-102.2 32.9,-102.1 32.9,-102.1 32.8,-102.2 32.8))"
40,-102.1,32.8,"POLYGON((-102.1 32.8,-102.1 32.9,-102.0 32.9,-102.0 32.8,-102.1 32.8))"
42,-102.0,32.8,"POLYGON((-102.0 32.8,-102.0 32.9,-101.9 32.9,-101.9 32.8,-102.0 32.8))"
29,-101.9,32.8,"POLYGON((-101.9 32.8,-101.9 32.9,-101.8 32.9,-101.8 32.8,-101.9 32.8))"
2,-101.8,32.8,"POLYGON((-101.8 32.8,-101.8 32.9,-101.7 32.9,-101.7 32.8,-101.8 32.8))"
171,-102.2,32.9,"POLYGON((-102.2 32.9,-102.2 33.0,-102.1 33.0,-102.1 32.9,-102.2 32.9))"
23,-102.1,32.9,"POLYGON((-102.1 32.9,-102.1 33.0,-102.0 33.0,-102.0 32.9,-102.1 32.9))"
8,-102.0,32.9,"POLYGON((-102.0 32.9,-102.0 33.0,-101.9 33.0,-101.9 32.9,-102.0 32.9))"
64,-101.9,32.9,"POLYGON((-101.9 32.9,-101.9 33.0,-101.8 33.0,-101.8 32.9,-101.9 32.9))"
21,-101.8,32.9,"POLYGON((-101.8 32.9,-101.8 33.0,-101.7 33.0,-101.7 32.9,-101.8 32.9))"
1,-101.7,32.9,"POLYGON((-101.7 32.9,-101.7 33.0,-101.6 33.0,-101.6 32.9,-101.7 32.9))"
