count,lon,lat,area
377,-97.4,32.9,"POLYGON((-97.4 32.9,-97.4 33.0,-97.3 33.0,-97.3 32.9,-97.4 32.9))"
697,-97.3,32.9,"POLYGON((-97.3 32.9,-97.3 33.0,-97.2 33.0,-97.2 32.9,-97.3 32.9))"
1485,-97.2,32.9,"POLYGON((-97.2 32.9,-97.2 33.0,-97.1 33.0,-97.1 32.9,-97.2 32.9))"
814,-97.1,32.9,"POLYGON((-97.1 32.9,-97.1 33.0,-97.0 33.0,-97.0 32.9,-97.1 32.9))"
3214,-97.0,32.9,"POLYGON((-97.0 32.9,-97.0 33.0,-96.9 33.0,-96.9 32.9,-97.0 32.9))"
4027,-96.9,32.9,"POLYGON((-96.9 32.9,-96.9 33.0,-96.8 33.0,-96.8 32.9,-96.9 32.9))"
5090,-97.4,33.0,"POLYGON((-97.4 33.0,-97.4 33.1,-97.3 33.1,-97.3 33.0,-97.4 33.0))"
8108,-97.3,33.0,"POLYGON((-97.3 33.0,-97.3 33.1,-97.2 33.1,-97.2 33.0,-97.3 33.0))"
10302,-97.2,33.0,"POLYGON((-97.2 33.0,-97.2 33.1,-97.1 33.1,-97.1 33.0,-97.2 33.0))"
43117,-97.1,33.0,"POLYGON((-97.1 33.0,-97.1 33.1,-97.0 33.1,-97.0 33.0,-97.1 33.0))"
16111,-97.0,33.0,"POLYGON((-97.0 33.0,-97.0 33.1,-96.9 33.1,-96.9 33.0,-97.0 33.0))"
23608,-96.9,33.0,"POLYGON((-96.9 33.0,-96.9 33.1,-96.8 33.1,-96.8 33.0,-96.9 33.0))"
1236,-97.4,33.1,"POLYGON((-97.4 33.1,-97.4 33.2,-97.3 33.2,-97.3 33.1,-97.4 33.1))"
4835,-97.3,33.1,"POLYGON((-97.3 33.1,-97.3 33.2,-97.2 33.2,-97.2 33.1,-97.3 33.1))"
15171,-97.2,33.1,"POLYGON((-97.2 33.1,-97.2 33.2,-97.1 33.2,-97.1 33.1,-97.2 33.1))"
19977,-97.1,33.1,"POLYGON((-97.1 33.1,-97.1 33.2,-97.0 33.2,-97.0 33.1,-97.1 33.1))"
16684,-97.0,33.1,"POLYGON((-97.0 33.1,-97.0 33.2,-96.9 33.2,-96.9 33.1,-97.0 33.1))"
26641,-96.9,33.1,"POLYGON((-96.9 33.1,-96.9 33.2,-96.8 33.2,-96.8 33.1,-96.9 33.1))"
1250,-97.4,33.2,"POLYGON((-97.4 33.2,-97.4 33.3,-97.3 33.3,-97.3 33.2,-97.4 33.2))"
3756,-97.3,33.2,"POLYGON((-97.3 33.2,-97.3 33.3,-97.2 33.3,-97.2 33.2,-97.3 33.2))"
16396,-97.2,33.2,"POLYGON((-97.2 33.2,-97.2 33.3,-97.1 33.3,-97.1 33.2,-97.2 33.2))"
4572,-97.1,33.2,"POLYGON((-97.1 33.2,-97.1 33.3,-97.0 33.3,-97.0 33.2,-97.1 33.2))"
12269,-97.0,33.2,"POLYGON((-97.0 33.2,-97.0 33.3,-96.9 33.3,-96.9 33.2,-97.0 33.2))"
3685,-96.9,33.2,"POLYGON((-96.9 33.2,-96.9 33.3,-96.8 33.3,-96.8 33.2,-96.9 33.2))"
550,-97.4,33.3,"POLYGON((-97.4 33.3,-97.4 33.4,-97.3 33.4,-97.3 33.3,-97.4 33.3))"
2157,-97.3,33.3,"POLYGON((-97.3 33.3,-97.3 33.4,-97.2 33.4,-97.2 33.3,-97.3 33.3))"
4800,-97.2,33.3,"POLYGON((-97.2 33.3,-97.2 33.4,-97.1 33.4,-97.1 33.3,-97.2 33.3))"
1257,-97.1,33.3,"POLYGON((-97.1 33.3,-97.1 33.4,-97.0 33.4,-97.0 33.3,-97.1 33.3))"
3442,-97.0,33.3,"POLYGON((-97.0 33.3,-97.0 33.4,-96.9 33.4,-96.9 33.3,-97.0 33.3))"
409,-96.9,33.3,"POLYGON((-96.9 33.3,-96.9 33.4,-96.8 33.4,-96.8 33.3,-96.9 33.3))"
129,-97.4,33.4,"POLYGON((-97.4 33.4,-97.4 33.5,-97.3 33.5,-97.3 33.4,-97.4 33.4))"
372,-97.3,33.4,"POLYGON((-97.3 33.4,-97.3 33.5,-97.2 33.5,-97.2 33.4,-97.3 33.4))"
277,-97.2,33.4,"POLYGON((-97.2 33.4,-97.2 33.5,-97.1 33.5,-97.1 33.4,-97.2 33.4))"
131,-97.1,33.4,"POLYGON((-97.1 33.4,-97.1 33.5,-97.0 33.5,-97.0 33.4,-97.1 33.4))"
1127,-97.0,33.4,"POLYGON((-97.0 33.4,-97.0 33.5,-96.9 33.5,-96.9 33.4,-97.0 33.4))"
43,-96.9,33.4,"POLYGON((-96.9 33.4,-96.9 33.5,-96.8 33.5,-96.8 33.4,-96.9 33.4))"
