count,lon,lat,area
1,-101.1,33.3,"POLYGON((-101.1 33.3,-101.1 33.4,-101.0 33.4,-101.0 33.3,-101.1 33.3))"
1,-101.0,33.3,"POLYGON((-101.0 33.3,-101.0 33.4,-100.9 33.4,-100.9 33.3,-101.0 33.3))"
2,-100.8,33.3,"POLYGON((-100.8 33.3,-100.8 33.4,-100.7 33.4,-100.7 33.3,-100.8 33.3))"
1,-100.7,33.3,"POLYGON((-100.7 33.3,-100.7 33.4,-100.6 33.4,-100.6 33.3,-100.7 33.3))"
3,-101.1,33.4,"POLYGON((-101.1 33.4,-101.1 33.5,-101.0 33.5,-101.0 33.4,-101.1 33.4))"
19,-101.0,33.4,"POLYGON((-101.0 33.4,-101.0 33.5,-100.9 33.5,-100.9 33.4,-101.0 33.4))"
724,-100.9,33.4,"POLYGON((-100.9 33.4,-100.9 33.5,-100.8 33.5,-100.8 33.4,-100.9 33.4))"
29,-100.8,33.4,"POLYGON((-100.8 33.4,-100.8 33.5,-100.7 33.5,-100.7 33.4,-100.8 33.4))"
3,-100.7,33.4,"POLYGON((-100.7 33.4,-100.7 33.5,-100.6 33.5,-100.6 33.4,-100.7 33.4))"
6,-100.6,33.4,"POLYGON((-100.6 33.4,-100.6 33.5,-100.5 33.5,-100.5 33.4,-100.6 33.4))"
9,-101.1,33.5,"POLYGON((-101.1 33.5,-101.1 33.6,-101.0 33.6,-101.0 33.5,-101.1 33.5))"
32,-101.0,33.5,"POLYGON((-101.0 33.5,-101.0 33.6,-100.9 33.6,-100.9 33.5,-101.0 33.5))"
87,-100.9,33.5,"POLYGON((-100.9 33.5,-100.9 33.6,-100.8 33.6,-100.8 33.5,-100.9 33.5))"
8,-100.8,33.5,"POLYGON((-100.8 33.5,-100.8 33.6,-100.7 33.6,-100.7 33.5,-100.8 33.5))"
3,-100.7,33.5,"POLYGON((-100.7 33.5,-100.7 33.6,-100.6 33.6,-100.6 33.5,-100.7 33.5))"
10,-100.6,33.5,"POLYGON((-100.6 33.5,-100.6 33.6,-100.5 33.6,-100.5 33.5,-100.6 33.5))"
3,-101.1,33.6,"POLYGON((-101.1 33.6,-101.1 33.7,-101.0 33.7,-101.0 33.6,-101.1 33.6))"
16,-101.0,33.6,"POLYGON((-101.0 33.6,-101.0 33.7,-100.9 33.7,-100.9 33.6,-101.0 33.6))"
224,-100.9,33.6,"POLYGON((-100.9 33.6,-100.9 33.7,-100.8 33.7,-100.8 33.6,-100.9 33.6))"
26,-100.8,33.6,"POLYGON((-100.8 33.6,-100.8 33.7,-100.7 33.7,-100.7 33.6,-100.8 33.6))"
20,-100.7,33.6,"POLYGON((-100.7 33.6,-100.7 33.7,-100.6 33.7,-100.6 33.6,-100.7 33.6))"
7,-100.6,33.6,"POLYGON((-100.6 33.6,-100.6 33.7,-100.5 33.7,-100.5 33.6,-100.6 33.6))"
68,-101.1,33.7,"POLYGON((-101.1 33.7,-101.1 33.8,-101.0 33.8,-101.0 33.7,-101.1 33.7))"
11,-101.0,33.7,"POLYGON((-101.0 33.7,-101.0 33.8,-100.9 33.8,-100.9 33.7,-101.0 33.7))"
98,-100.9,33.7,"POLYGON((-100.9 33.7,-100.9 33.8,-100.8 33.8,-100.8 33.7,-100.9 33.7))"
45,-100.8,33.7,"POLYGON((-100.8 33.7,-100.8 33.8,-100.7 33.8,-100.7 33.7,-100.8 33.7))"
13,-100.7,33.7,"POLYGON((-100.7 33.7,-100.7 33.8,-100.6 33.8,-100.6 33.7,-100.7 33.7))"
3,-100.6,33.7,"POLYGON((-100.6 33.7,-100.6 33.8,-100.5 33.8,-100.5 33.7,-100.6 33.7))"
4,-101.1,33.8,"POLYGON((-101.1 33.8,-101.1 33.9,-101.0 33.9,-101.0 33.8,-101.1 33.8))"
4,-101.0,33.8,"POLYGON((-101.0 33.8,-101.0 33.9,-100.9 33.9,-100.9 33.8,-101.0 33.8))"
4,-100.9,33.8,"POLYGON((-100.9 33.8,-100.9 33.9,-100.8 33.9,-100.8 33.8,-100.9 33.8))"
5,-100.8,33.8,"POLYGON((-100.8 33.8,-100.8 33.9,-100.7 33.9,-100.7 33.8,-100.8 33.8))"
2,-100.6,33.8,"POLYGON((-100.6 33.8,-100.6 33.9,-100.5 33.9,-100.5 33.8,-100.6 33.8))"
