count,lon,lat,area
848,-97.2,29.6,"POLYGON((-97.2 29.6,-97.2 29.7,-97.1 29.7,-97.1 29.6,-97.2 29.6))"
524,-97.1,29.6,"POLYGON((-97.1 29.6,-97.1 29.7,-97.0 29.7,-97.0 29.6,-97.1 29.6))"
1920,-97.0,29.6,"POLYGON((-97.0 29.6,-97.0 29.7,-96.9 29.7,-96.9 29.6,-97.0 29.6))"
463,-96.9,29.6,"POLYGON((-96.9 29.6,-96.9 29.7,-96.8 29.7,-96.8 29.6,-96.9 29.6))"
15,-97.4,29.7,"POLYGON((-97.4 29.7,-97.4 29.8,-97.3 29.8,-97.3 29.7,-97.4 29.7))"
256,-97.3,29.7,"POLYGON((-97.3 29.7,-97.3 29.8,-97.2 29.8,-97.2 29.7,-97.3 29.7))"
386,-97.2,29.7,"POLYGON((-97.2 29.7,-97.2 29.8,-97.1 29.8,-97.1 29.7,-97.2 29.7))"
372,-97.1,29.7,"POLYGON((-97.1 29.7,-97.1 29.8,-97.0 29.8,-97.0 29.7,-97.1 29.7))"
537,-97.0,29.7,"POLYGON((-97.0 29.7,-97.0 29.8,-96.9 29.8,-96.9 29.7,-97.0 29.7))"
525,-96.9,29.7,"POLYGON((-96.9 29.7,-96.9 29.8,-96.8 29.8,-96.8 29.7,-96.9 29.7))"
186,-96.8,29.7,"POLYGON((-96.8 29.7,-96.8 29.8,-96.7 29.8,-96.7 29.7,-96.8 29.7))"
195,-97.3,29.8,"POLYGON((-97.3 29.8,-97.3 29.9,-97.2 29.9,-97.2 29.8,-97.3 29.8))"
249,-97.2,29.8,"POLYGON((-97.2 29.8,-97.2 29.9,-97.1 29.9,-97.1 29.8,-97.2 29.8))"
338,-97.1,29.8,"POLYGON((-97.1 29.8,-97.1 29.9,-97.0 29.9,-97.0 29.8,-97.1 29.8))"
662,-97.0,29.8,"POLYGON((-97.0 29.8,-97.0 29.9,-96.9 29.9,-96.9 29.8,-97.0 29.8))"
1363,-96.9,29.8,"POLYGON((-96.9 29.8,-96.9 29.9,-96.8 29.9,-96.8 29.8,-96.9 29.8))"
638,-96.8,29.8,"POLYGON((-96.8 29.8,-96.8 29.9,-96.7 29.9,-96.7 29.8,-96.8 29.8))"
219,-96.7,29.8,"POLYGON((-96.7 29.8,-96.7 29.9,-96.6 29.9,-96.6 29.8,-96.7 29.8))"
141,-97.2,29.9,"POLYGON((-97.2 29.9,-97.2 30.0,-97.1 30.0,-97.1 29.9,-97.2 29.9))"
518,-97.1,29.9,"POLYGON((-97.1 29.9,-97.1 30.0,-97.0 30.0,-97.0 29.9,-97.1 29.9))"
769,-97.0,29.9,"POLYGON((-97.0 29.9,-97.0 30.0,-96.9 30.0,-96.9 29.9,-97.0 29.9))"
3496,-96.9,29.9,"POLYGON((-96.9 29.9,-96.9 30.0,-96.8 30.0,-96.8 29.9,-96.9 29.9))"
554,-96.8,29.9,"POLYGON((-96.8 29.9,-96.8 30.0,-96.7 30.0,-96.7 29.9,-96.8 29.9))"
904,-96.7,29.9,"POLYGON((-96.7 29.9,-96.7 30.0,-96.6 30.0,-96.6 29.9,-96.7 29.9))"
69,-96.6,29.9,"POLYGON((-96.6 29.9,-96.6 30.0,-96.5 30.0,-96.5 29.9,-96.6 29.9))"
233,-97.1,30.0,"POLYGON((-97.1 30.0,-97.1 30.1,-97.0 30.1,-97.0 30.0,-97.1 30.0))"
442,-97.0,30.0,"POLYGON((-97.0 30.0,-97.0 30.1,-96.9 30.1,-96.9 30.0,-97.0 30.0))"
394,-96.9,30.0,"POLYGON((-96.9 30.0,-96.9 30.1,-96.8 30.1,-96.8 30.0,-96.9 30.0))"
820,-96.8,30.0,"POLYGON((-96.8 30.0,-96.8 30.1,-96.7 30.1,-96.7 30.0,-96.8 30.0))"
682,-96.7,30.0,"POLYGON((-96.7 30.0,-96.7 30.1,-96.6 30.1,-96.6 30.0,-96.7 30.0))"
6,-96.6,30.0,"POLYGON((-96.6 30.0,-96.6 30.1,-96.5 30.1,-96.5 30.0,-96.6 30.0))"
54,-96.9,30.1,"POLYGON((-96.9 30.1,-96.9 30.2,-96.8 30.2,-96.8 30.1,-96.9 30.1))"
271,-96.8,30.1,"POLYGON((-96.8 30.1,-96.8 30.2,-96.7 30.2,-96.7 30.1,-96.8 30.1))"
400,-96.7,30.1,"POLYGON((-96.7 30.1,-96.7 30.2,-96.6 30.2,-96.6 30.1,-96.7 30.1))"
