count,lon,lat,area
16,-101.6,33.8,"POLYGON((-101.6 33.8,-101.6 33.9,-101.5 33.9,-101.5 33.8,-101.6 33.8))"
18,-101.5,33.8,"POLYGON((-101.5 33.8,-101.5 33.9,-101.4 33.9,-101.4 33.8,-101.5 33.8))"
47,-101.4,33.8,"POLYGON((-101.4 33.8,-101.4 33.9,-101.3 33.9,-101.3 33.8,-101.4 33.8))"
27,-101.3,33.8,"POLYGON((-101.3 33.8,-101.3 33.9,-101.2 33.9,-101.2 33.8,-101.3 33.8))"
15,-101.2,33.8,"POLYGON((-101.2 33.8,-101.2 33.9,-101.1 33.9,-101.1 33.8,-101.2 33.8))"
12,-101.1,33.8,"POLYGON((-101.1 33.8,-101.1 33.9,-101.0 33.9,-101.0 33.8,-101.1 33.8))"
25,-101.6,33.9,"POLYGON((-101.6 33.9,-101.6 34.0,-101.5 34.0,-101.5 33.9,-101.6 33.9))"
29,-101.5,33.9,"POLYGON((-101.5 33.9,-101.5 34.0,-101.4 34.0,-101.4 33.9,-101.5 33.9))"
1696,-101.4,33.9,"POLYGON((-101.4 33.9,-101.4 34.0,-101.3 34.0,-101.3 33.9,-101.4 33.9))"
32,-101.3,33.9,"POLYGON((-101.3 33.9,-101.3 34.0,-101.2 34.0,-101.2 33.9,-101.3 33.9))"
24,-101.2,33.9,"POLYGON((-101.2 33.9,-101.2 34.0,-101.1 34.0,-101.1 33.9,-101.2 33.9))"
59,-101.1,33.9,"POLYGON((-101.1 33.9,-101.1 34.0,-101.0 34.0,-101.0 33.9,-101.1 33.9))"
21,-101.6,34.0,"POLYGON((-101.6 34.0,-101.6 34.1,-101.5 34.1,-101.5 34.0,-101.6 34.0))"
31,-101.5,34.0,"POLYGON((-101.5 34.0,-101.5 34.1,-101.4 34.1,-101.4 34.0,-101.5 34.0))"
28,-101.4,34.0,"POLYGON((-101.4 34.0,-101.4 34.1,-101.3 34.1,-101.3 34.0,-101.4 34.0))"
22,-101.3,34.0,"POLYGON((-101.3 34.0,-101.3 34.1,-101.2 34.1,-101.2 34.0,-101.3 34.0))"
13,-101.2,34.0,"POLYGON((-101.2 34.0,-101.2 34.1,-101.1 34.1,-101.1 34.0,-101.2 34.0))"
10,-101.1,34.0,"POLYGON((-101.1 34.0,-101.1 34.1,-101.0 34.1,-101.0 34.0,-101.1 34.0))"
69,-101.6,34.1,"POLYGON((-101.6 34.1,-101.6 34.2,-101.5 34.2,-101.5 34.1,-101.6 34.1))"
739,-101.5,34.1,"POLYGON((-101.5 34.1,-101.5 34.2,-101.4 34.2,-101.4 34.1,-101.5 34.1))"
34,-101.4,34.1,"POLYGON((-101.4 34.1,-101.4 34.2,-101.3 34.2,-101.3 34.1,-101.4 34.1))"
20,-101.3,34.1,"POLYGON((-101.3 34.1,-101.3 34.2,-101.2 34.2,-101.2 34.1,-101.3 34.1))"
13,-101.2,34.1,"POLYGON((-101.2 34.1,-101.2 34.2,-101.1 34.2,-101.1 34.1,-101.2 34.1))"
4,-101.1,34.1,"POLYGON((-101.1 34.1,-101.1 34.2,-101.0 34.2,-101.0 34.1,-101.1 34.1))"
49,-101.6,34.2,"POLYGON((-101.6 34.2,-101.6 34.3,-101.5 34.3,-101.5 34.2,-101.6 34.2))"
58,-101.5,34.2,"POLYGON((-101.5 34.2,-101.5 34.3,-101.4 34.3,-101.4 34.2,-101.5 34.2))"
57,-101.4,34.2,"POLYGON((-101.4 34.2,-101.4 34.3,-101.3 34.3,-101.3 34.2,-101.4 34.2))"
19,-101.3,34.2,"POLYGON((-101.3 34.2,-101.3 34.3,-101.2 34.3,-101.2 34.2,-101.3 34.2))"
11,-101.2,34.2,"POLYGON((-101.2 34.2,-101.2 34.3,-101.1 34.3,-101.1 34.2,-101.2 34.2))"
15,-101.1,34.2,"POLYGON((-101.1 34.2,-101.1 34.3,-101.0 34.3,-101.0 34.2,-101.1 34.2))"
6,-101.6,34.3,"POLYGON((-101.6 34.3,-101.6 34.4,-101.5 34.4,-101.5 34.3,-101.6 34.3))"
10,-101.5,34.3,"POLYGON((-101.5 34.3,-101.5 34.4,-101.4 34.4,-101.4 34.3,-101.5 34.3))"
4,-101.4,34.3,"POLYGON((-101.4 34.3,-101.4 34.4,-101.3 34.4,-101.3 34.3,-101.4 34.3))"
1,-101.2,34.3,"POLYGON((-101.2 34.3,-101.2 34.4,-101.1 34.4,-101.1 34.3,-101.2 34.3))"
2,-101.1,34.3,"POLYGON((-101.1 34.3,-101.1 34.4,-101.0 34.4,-101.0 34.3,-101.1 34.3))"
