count,lon,lat,area
3,-100.0,33.8,"POLYGON((-100.0 33.8,-100.0 33.9,-99.9 33.9,-99.9 33.8,-100.0 33.8))"
17,-99.9,33.8,"POLYGON((-99.9 33.8,-99.9 33.9,-99.8 33.9,-99.8 33.8,-99.9 33.8))"
11,-99.8,33.8,"POLYGON((-99.8 33.8,-99.8 33.9,-99.7 33.9,-99.7 33.8,-99.8 33.8))"
6,-99.7,33.8,"POLYGON((-99.7 33.8,-99.7 33.9,-99.6 33.9,-99.6 33.8,-99.7 33.8))"
4,-99.6,33.8,"POLYGON((-99.6 33.8,-99.6 33.9,-99.5 33.9,-99.5 33.8,-99.6 33.8))"
1,-100.1,33.9,"POLYGON((-100.1 33.9,-100.1 34.0,-100.0 34.0,-100.0 33.9,-100.1 33.9))"
5,-100.0,33.9,"POLYGON((-100.0 33.9,-100.0 34.0,-99.9 34.0,-99.9 33.9,-100.0 33.9))"
15,-99.9,33.9,"POLYGON((-99.9 33.9,-99.9 34.0,-99.8 34.0,-99.8 33.9,-99.9 33.9))"
744,-99.8,33.9,"POLYGON((-99.8 33.9,-99.8 34.0,-99.7 34.0,-99.7 33.9,-99.8 33.9))"
20,-99.7,33.9,"POLYGON((-99.7 33.9,-99.7 34.0,-99.6 34.0,-99.6 33.9,-99.7 33.9))"
62,-99.6,33.9,"POLYGON((-99.6 33.9,-99.6 34.0,-99.5 34.0,-99.5 33.9,-99.6 33.9))"
2,-99.5,33.9,"POLYGON((-99.5 33.9,-99.5 34.0,-99.4 34.0,-99.4 33.9,-99.5 33.9))"
6,-100.1,34.0,"POLYGON((-100.1 34.0,-100.1 34.1,-100.0 34.1,-100.0 34.0,-100.1 34.0))"
7,-100.0,34.0,"POLYGON((-100.0 34.0,-100.0 34.1,-99.9 34.1,-99.9 34.0,-100.0 34.0))"
11,-99.9,34.0,"POLYGON((-99.9 34.0,-99.9 34.1,-99.8 34.1,-99.8 34.0,-99.9 34.0))"
43,-99.8,34.0,"POLYGON((-99.8 34.0,-99.8 34.1,-99.7 34.1,-99.7 34.0,-99.8 34.0))"
48,-99.7,34.0,"POLYGON((-99.7 34.0,-99.7 34.1,-99.6 34.1,-99.6 34.0,-99.7 34.0))"
39,-99.6,34.0,"POLYGON((-99.6 34.0,-99.6 34.1,-99.5 34.1,-99.5 34.0,-99.6 34.0))"
18,-99.5,34.0,"POLYGON((-99.5 34.0,-99.5 34.1,-99.4 34.1,-99.4 34.0,-99.5 34.0))"
1,-100.1,34.1,"POLYGON((-100.1 34.1,-100.1 34.2,-100.0 34.2,-100.0 34.1,-100.1 34.1))"
4,-100.0,34.1,"POLYGON((-100.0 34.1,-100.0 34.2,-99.9 34.2,-99.9 34.1,-100.0 34.1))"
