count,lon,lat,area
2,-103.0,32.5,"POLYGON((-103.0 32.5,-103.0 32.6,-102.9 32.6,-102.9 32.5,-103.0 32.5))"
12,-102.9,32.5,"POLYGON((-102.9 32.5,-102.9 32.6,-102.8 32.6,-102.8 32.5,-102.9 32.5))"
16,-102.8,32.5,"POLYGON((-102.8 32.5,-102.8 32.6,-102.7 32.6,-102.7 32.5,-102.8 32.5))"
22,-102.7,32.5,"POLYGON((-102.7 32.5,-102.7 32.6,-102.6 32.6,-102.6 32.5,-102.7 32.5))"
7,-102.6,32.5,"POLYGON((-102.6 32.5,-102.6 32.6,-102.5 32.6,-102.5 32.5,-102.6 32.5))"
3,-102.5,32.5,"POLYGON((-102.5 32.5,-102.5 32.6,-102.4 32.6,-102.4 32.5,-102.5 32.5))"
2,-102.3,32.5,"POLYGON((-102.3 32.5,-102.3 32.6,-102.2 32.6,-102.2 32.5,-102.3 32.5))"
24,-103.1,32.6,"POLYGON((-103.1 32.6,-103.1 32.7,-103.0 32.7,-103.0 32.6,-103.1 32.6))"
52,-103.0,32.6,"POLYGON((-103.0 32.6,-103.0 32.7,-102.9 32.7,-102.9 32.6,-103.0 32.6))"
20,-102.9,32.6,"POLYGON((-102.9 32.6,-102.9 32.7,-102.8 32.7,-102.8 32.6,-102.9 32.6))"
128,-102.8,32.6,"POLYGON((-102.8 32.6,-102.8 32.7,-102.7 32.7,-102.7 32.6,-102.8 32.6))"
987,-102.7,32.6,"POLYGON((-102.7 32.6,-102.7 32.7,-102.6 32.7,-102.6 32.6,-102.7 32.6))"
46,-102.6,32.6,"POLYGON((-102.6 32.6,-102.6 32.7,-102.5 32.7,-102.5 32.6,-102.6 32.6))"
8,-102.5,32.6,"POLYGON((-102.5 32.6,-102.5 32.7,-102.4 32.7,-102.4 32.6,-102.5 32.6))"
3,-102.4,32.6,"POLYGON((-102.4 32.6,-102.4 32.7,-102.3 32.7,-102.3 32.6,-102.4 32.6))"
4,-102.3,32.6,"POLYGON((-102.3 32.6,-102.3 32.7,-102.2 32.7,-102.2 32.6,-102.3 32.6))"
225,-103.1,32.7,"POLYGON((-103.1 32.7,-103.1 32.8,-103.0 32.8,-103.0 32.7,-103.1 32.7))"
60,-103.0,32.7,"POLYGON((-103.0 32.7,-103.0 32.8,-102.9 32.8,-102.9 32.7,-103.0 32.7))"
134,-102.9,32.7,"POLYGON((-102.9 32.7,-102.9 32.8,-102.8 32.8,-102.8 32.7,-102.9 32.7))"
270,-102.8,32.7,"POLYGON((-102.8 32.7,-102.8 32.8,-102.7 32.8,-102.7 32.7,-102.8 32.7))"
1983,-102.7,32.7,"POLYGON((-102.7 32.7,-102.7 32.8,-102.6 32.8,-102.6 32.7,-102.7 32.7))"
338,-102.6,32.7,"POLYGON((-102.6 32.7,-102.6 32.8,-102.5 32.8,-102.5 32.7,-102.6 32.7))"
16,-102.5,32.7,"POLYGON((-102.5 32.7,-102.5 32.8,-102.4 32.8,-102.4 32.7,-102.5 32.7))"
11,-102.4,32.7,"POLYGON((-102.4 32.7,-102.4 32.8,-102.3 32.8,-102.3 32.7,-102.4 32.7))"
8,-102.3,32.7,"POLYGON((-102.3 32.7,-102.3 32.8,-102.2 32.8,-102.2 32.7,-102.3 32.7))"
20,-103.1,32.8,"POLYGON((-103.1 32.8,-103.1 32.9,-103.0 32.9,-103.0 32.8,-103.1 32.8))"
21,-103.0,32.8,"POLYGON((-103.0 32.8,-103.0 32.9,-102.9 32.9,-102.9 32.8,-103.0 32.8))"
127,-102.9,32.8,"POLYGON((-102.9 32.8,-102.9 32.9,-102.8 32.9,-102.8 32.8,-102.9 32.8))"
100,-102.8,32.8,"POLYGON((-102.8 32.8,-102.8 32.9,-102.7 32.9,-102.7 32.8,-102.8 32.8))"
78,-102.7,32.8,"POLYGON((-102.7 32.8,-102.7 32.9,-102.6 32.9,-102.6 32.8,-102.7 32.8))"
22,-102.6,32.8,"POLYGON((-102.6 32.8,-102.6 32.9,-102.5 32.9,-102.5 32.8,-102.6 32.8))"
29,-102.5,32.8,"POLYGON((-102.5 32.8,-102.5 32.9,-102.4 32.9,-102.4 32.8,-102.5 32.8))"
20,-102.4,32.8,"POLYGON((-102.4 32.8,-102.4 32.9,-102.3 32.9,-102.3 32.8,-102.4 32.8))"
8,-102.3,32.8,"POLYGON((-102.3 32.8,-102.3 32.9,-102.2 32.9,-102.2 32.8,-102.3 32.8))"
26,-103.1,32.9,"POLYGON((-103.1 32.9,-103.1 33.0,-103.0 33.0,-103.0 32.9,-103.1 32.9))"
29,-103.0,32.9,"POLYGON((-103.0 32.9,-103.0 33.0,-102.9 33.0,-102.9 32.9,-103.0 32.9))"
48,-102.9,32.9,"POLYGON((-102.9 32.9,-102.9 33.0,-102.8 33.0,-102.8 32.9,-102.9 32.9))"
124,-102.8,32.9,"POLYGON((-102.8 32.9,-102.8 33.0,-102.7 33.0,-102.7 32.9,-102.8 32.9))"
14,-102.7,32.9,"POLYGON((-102.7 32.9,-102.7 33.0,-102.6 33.0,-102.6 32.9,-102.7 32.9))"
654,-102.6,32.9,"POLYGON((-102.6 32.9,-102.6 33.0,-102.5 33.0,-102.5 32.9,-102.6 32.9))"
196,-102.5,32.9,"POLYGON((-102.5 32.9,-102.5 33.0,-102.4 33.0,-102.4 32.9,-102.5 32.9))"
14,-102.4,32.9,"POLYGON((-102.4 32.9,-102.4 33.0,-102.3 33.0,-102.3 32.9,-102.4 32.9))"
