count,lon,lat,area
2,-101.1,35.1,"POLYGON((-101.1 35.1,-101.1 35.2,-101.0 35.2,-101.0 35.1,-101.1 35.1))"
13,-101.0,35.1,"POLYGON((-101.0 35.1,-101.0 35.2,-100.9 35.2,-100.9 35.1,-101.0 35.1))"
1,-100.9,35.1,"POLYGON((-100.9 35.1,-100.9 35.2,-100.8 35.2,-100.8 35.1,-100.9 35.1))"
7,-100.8,35.1,"POLYGON((-100.8 35.1,-100.8 35.2,-100.7 35.2,-100.7 35.1,-100.8 35.1))"
1,-100.7,35.1,"POLYGON((-100.7 35.1,-100.7 35.2,-100.6 35.2,-100.6 35.1,-100.7 35.1))"
2,-100.6,35.1,"POLYGON((-100.6 35.1,-100.6 35.2,-100.5 35.2,-100.5 35.1,-100.6 35.1))"
32,-101.1,35.2,"POLYGON((-101.1 35.2,-101.1 35.3,-101.0 35.3,-101.0 35.2,-101.1 35.2))"
17,-101.0,35.2,"POLYGON((-101.0 35.2,-101.0 35.3,-100.9 35.3,-100.9 35.2,-101.0 35.2))"
4,-100.9,35.2,"POLYGON((-100.9 35.2,-100.9 35.3,-100.8 35.3,-100.8 35.2,-100.9 35.2))"
56,-100.8,35.2,"POLYGON((-100.8 35.2,-100.8 35.3,-100.7 35.3,-100.7 35.2,-100.8 35.2))"
346,-100.7,35.2,"POLYGON((-100.7 35.2,-100.7 35.3,-100.6 35.3,-100.6 35.2,-100.7 35.2))"
312,-100.6,35.2,"POLYGON((-100.6 35.2,-100.6 35.3,-100.5 35.3,-100.5 35.2,-100.6 35.2))"
70,-101.1,35.3,"POLYGON((-101.1 35.3,-101.1 35.4,-101.0 35.4,-101.0 35.3,-101.1 35.3))"
26,-101.0,35.3,"POLYGON((-101.0 35.3,-101.0 35.4,-100.9 35.4,-100.9 35.3,-101.0 35.3))"
2,-100.9,35.3,"POLYGON((-100.9 35.3,-100.9 35.4,-100.8 35.4,-100.8 35.3,-100.9 35.3))"
2,-100.8,35.3,"POLYGON((-100.8 35.3,-100.8 35.4,-100.7 35.4,-100.7 35.3,-100.8 35.3))"
23,-100.7,35.3,"POLYGON((-100.7 35.3,-100.7 35.4,-100.6 35.4,-100.6 35.3,-100.7 35.3))"
7,-100.6,35.3,"POLYGON((-100.6 35.3,-100.6 35.4,-100.5 35.4,-100.5 35.3,-100.6 35.3))"
54,-101.1,35.4,"POLYGON((-101.1 35.4,-101.1 35.5,-101.0 35.5,-101.0 35.4,-101.1 35.4))"
104,-101.0,35.4,"POLYGON((-101.0 35.4,-101.0 35.5,-100.9 35.5,-100.9 35.4,-101.0 35.4))"
336,-100.9,35.4,"POLYGON((-100.9 35.4,-100.9 35.5,-100.8 35.5,-100.8 35.4,-100.9 35.4))"
27,-100.8,35.4,"POLYGON((-100.8 35.4,-100.8 35.5,-100.7 35.5,-100.7 35.4,-100.8 35.4))"
12,-100.7,35.4,"POLYGON((-100.7 35.4,-100.7 35.5,-100.6 35.5,-100.6 35.4,-100.7 35.4))"
10,-100.6,35.4,"POLYGON((-100.6 35.4,-100.6 35.5,-100.5 35.5,-100.5 35.4,-100.6 35.4))"
140,-101.1,35.5,"POLYGON((-101.1 35.5,-101.1 35.6,-101.0 35.6,-101.0 35.5,-101.1 35.5))"
10527,-101.0,35.5,"POLYGON((-101.0 35.5,-101.0 35.6,-100.9 35.6,-100.9 35.5,-101.0 35.5))"
42,-100.9,35.5,"POLYGON((-100.9 35.5,-100.9 35.6,-100.8 35.6,-100.8 35.5,-100.9 35.5))"
36,-100.8,35.5,"POLYGON((-100.8 35.5,-100.8 35.6,-100.7 35.6,-100.7 35.5,-100.8 35.5))"
20,-100.7,35.5,"POLYGON((-100.7 35.5,-100.7 35.6,-100.6 35.6,-100.6 35.5,-100.7 35.5))"
10,-100.6,35.5,"POLYGON((-100.6 35.5,-100.6 35.6,-100.5 35.6,-100.5 35.5,-100.6 35.5))"
1,-101.1,35.6,"POLYGON((-101.1 35.6,-101.1 35.7,-101.0 35.7,-101.0 35.6,-101.1 35.6))"
13,-101.0,35.6,"POLYGON((-101.0 35.6,-101.0 35.7,-100.9 35.7,-100.9 35.6,-101.0 35.6))"
2,-100.9,35.6,"POLYGON((-100.9 35.6,-100.9 35.7,-100.8 35.7,-100.8 35.6,-100.9 35.6))"
2,-100.7,35.6,"POLYGON((-100.7 35.6,-100.7 35.7,-100.6 35.7,-100.6 35.6,-100.7 35.6))"
1,-100.6,35.6,"POLYGON((-100.6 35.6,-100.6 35.7,-100.5 35.7,-100.5 35.6,-100.6 35.6))"
