count,lon,lat,area
24,-94.2,30.2,"POLYGON((-94.2 30.2,-94.2 30.3,-94.1 30.3,-94.1 30.2,-94.2 30.2))"
364,-94.1,30.2,"POLYGON((-94.1 30.2,-94.1 30.3,-94.0 30.3,-94.0 30.2,-94.1 30.2))"
182,-94.0,30.2,"POLYGON((-94.0 30.2,-94.0 30.3,-93.9 30.3,-93.9 30.2,-94.0 30.2))"
17,-93.9,30.2,"POLYGON((-93.9 30.2,-93.9 30.3,-93.8 30.3,-93.8 30.2,-93.9 30.2))"
1172,-94.1,30.3,"POLYGON((-94.1 30.3,-94.1 30.4,-94.0 30.4,-94.0 30.3,-94.1 30.3))"
361,-94.0,30.3,"POLYGON((-94.0 30.3,-94.0 30.4,-93.9 30.4,-93.9 30.3,-94.0 30.3))"
2,-93.9,30.3,"POLYGON((-93.9 30.3,-93.9 30.4,-93.8 30.4,-93.8 30.3,-93.9 30.3))"
337,-94.1,30.4,"POLYGON((-94.1 30.4,-94.1 30.5,-94.0 30.5,-94.0 30.4,-94.1 30.4))"
2833,-94.0,30.4,"POLYGON((-94.0 30.4,-94.0 30.5,-93.9 30.5,-93.9 30.4,-94.0 30.4))"
57,-93.9,30.4,"POLYGON((-93.9 30.4,-93.9 30.5,-93.8 30.5,-93.8 30.4,-93.9 30.4))"
361,-94.1,30.5,"POLYGON((-94.1 30.5,-94.1 30.6,-94.0 30.6,-94.0 30.5,-94.1 30.5))"
735,-94.0,30.5,"POLYGON((-94.0 30.5,-94.0 30.6,-93.9 30.6,-93.9 30.5,-94.0 30.5))"
39,-93.9,30.5,"POLYGON((-93.9 30.5,-93.9 30.6,-93.8 30.6,-93.8 30.5,-93.9 30.5))"
202,-94.1,30.6,"POLYGON((-94.1 30.6,-94.1 30.7,-94.0 30.7,-94.0 30.6,-94.1 30.6))"
803,-94.0,30.6,"POLYGON((-94.0 30.6,-94.0 30.7,-93.9 30.7,-93.9 30.6,-94.0 30.6))"
753,-93.9,30.6,"POLYGON((-93.9 30.6,-93.9 30.7,-93.8 30.7,-93.8 30.6,-93.9 30.6))"
81,-94.2,30.7,"POLYGON((-94.2 30.7,-94.2 30.8,-94.1 30.8,-94.1 30.7,-94.2 30.7))"
308,-94.1,30.7,"POLYGON((-94.1 30.7,-94.1 30.8,-94.0 30.8,-94.0 30.7,-94.1 30.7))"
836,-94.0,30.7,"POLYGON((-94.0 30.7,-94.0 30.8,-93.9 30.8,-93.9 30.7,-94.0 30.7))"
143,-93.9,30.7,"POLYGON((-93.9 30.7,-93.9 30.8,-93.8 30.8,-93.8 30.7,-93.9 30.7))"
357,-94.2,30.8,"POLYGON((-94.2 30.8,-94.2 30.9,-94.1 30.9,-94.1 30.8,-94.2 30.8))"
782,-94.1,30.8,"POLYGON((-94.1 30.8,-94.1 30.9,-94.0 30.9,-94.0 30.8,-94.1 30.8))"
422,-94.0,30.8,"POLYGON((-94.0 30.8,-94.0 30.9,-93.9 30.9,-93.9 30.8,-94.0 30.8))"
141,-93.9,30.8,"POLYGON((-93.9 30.8,-93.9 30.9,-93.8 30.9,-93.8 30.8,-93.9 30.8))"
100,-94.3,30.9,"POLYGON((-94.3 30.9,-94.3 31.0,-94.2 31.0,-94.2 30.9,-94.3 30.9))"
621,-94.2,30.9,"POLYGON((-94.2 30.9,-94.2 31.0,-94.1 31.0,-94.1 30.9,-94.2 30.9))"
1692,-94.1,30.9,"POLYGON((-94.1 30.9,-94.1 31.0,-94.0 31.0,-94.0 30.9,-94.1 30.9))"
1349,-94.0,30.9,"POLYGON((-94.0 30.9,-94.0 31.0,-93.9 31.0,-93.9 30.9,-94.0 30.9))"
153,-93.9,30.9,"POLYGON((-93.9 30.9,-93.9 31.0,-93.8 31.0,-93.8 30.9,-93.9 30.9))"
26,-94.5,31.0,"POLYGON((-94.5 31.0,-94.5 31.1,-94.4 31.1,-94.4 31.0,-94.5 31.0))"
39,-94.4,31.0,"POLYGON((-94.4 31.0,-94.4 31.1,-94.3 31.1,-94.3 31.0,-94.4 31.0))"
53,-94.3,31.0,"POLYGON((-94.3 31.0,-94.3 31.1,-94.2 31.1,-94.2 31.0,-94.3 31.0))"
899,-94.2,31.0,"POLYGON((-94.2 31.0,-94.2 31.1,-94.1 31.1,-94.1 31.0,-94.2 31.0))"
1346,-94.1,31.0,"POLYGON((-94.1 31.0,-94.1 31.1,-94.0 31.1,-94.0 31.0,-94.1 31.0))"
239,-94.0,31.0,"POLYGON((-94.0 31.0,-94.0 31.1,-93.9 31.1,-93.9 31.0,-94.0 31.0))"
35,-93.9,31.0,"POLYGON((-93.9 31.0,-93.9 31.1,-93.8 31.1,-93.8 31.0,-93.9 31.0))"
198,-94.1,31.1,"POLYGON((-94.1 31.1,-94.1 31.2,-94.0 31.2,-94.0 31.1,-94.1 31.1))"
606,-94.0,31.1,"POLYGON((-94.0 31.1,-94.0 31.2,-93.9 31.2,-93.9 31.1,-94.0 31.1))"
