count,lon,lat,area
18,-98.3,27.2,"POLYGON((-98.3 27.2,-98.3 27.3,-98.2 27.3,-98.2 27.2,-98.3 27.2))"
86,-98.2,27.2,"POLYGON((-98.2 27.2,-98.2 27.3,-98.1 27.3,-98.1 27.2,-98.2 27.2))"
20,-98.1,27.2,"POLYGON((-98.1 27.2,-98.1 27.3,-98.0 27.3,-98.0 27.2,-98.1 27.2))"
63,-98.3,27.3,"POLYGON((-98.3 27.3,-98.3 27.4,-98.2 27.4,-98.2 27.3,-98.3 27.3))"
1309,-98.2,27.3,"POLYGON((-98.2 27.3,-98.2 27.4,-98.1 27.4,-98.1 27.3,-98.2 27.3))"
11,-98.1,27.3,"POLYGON((-98.1 27.3,-98.1 27.4,-98.0 27.4,-98.0 27.3,-98.1 27.3))"
22,-98.3,27.4,"POLYGON((-98.3 27.4,-98.3 27.5,-98.2 27.5,-98.2 27.4,-98.3 27.4))"
27,-98.2,27.4,"POLYGON((-98.2 27.4,-98.2 27.5,-98.1 27.5,-98.1 27.4,-98.2 27.4))"
1,-98.1,27.4,"POLYGON((-98.1 27.4,-98.1 27.5,-98.0 27.5,-98.0 27.4,-98.1 27.4))"
40,-98.3,27.5,"POLYGON((-98.3 27.5,-98.3 27.6,-98.2 27.6,-98.2 27.5,-98.3 27.5))"
131,-98.2,27.5,"POLYGON((-98.2 27.5,-98.2 27.6,-98.1 27.6,-98.1 27.5,-98.2 27.5))"
41,-98.3,27.6,"POLYGON((-98.3 27.6,-98.3 27.7,-98.2 27.7,-98.2 27.6,-98.3 27.6))"
214,-98.2,27.6,"POLYGON((-98.2 27.6,-98.2 27.7,-98.1 27.7,-98.1 27.6,-98.2 27.6))"
827,-98.1,27.6,"POLYGON((-98.1 27.6,-98.1 27.7,-98.0 27.7,-98.0 27.6,-98.1 27.6))"
2,-98.0,27.6,"POLYGON((-98.0 27.6,-98.0 27.7,-97.9 27.7,-97.9 27.6,-98.0 27.6))"
349,-98.3,27.7,"POLYGON((-98.3 27.7,-98.3 27.8,-98.2 27.8,-98.2 27.7,-98.3 27.7))"
1116,-98.2,27.7,"POLYGON((-98.2 27.7,-98.2 27.8,-98.1 27.8,-98.1 27.7,-98.2 27.7))"
5768,-98.1,27.7,"POLYGON((-98.1 27.7,-98.1 27.8,-98.0 27.8,-98.0 27.7,-98.1 27.7))"
1,-98.0,27.7,"POLYGON((-98.0 27.7,-98.0 27.8,-97.9 27.8,-97.9 27.7,-98.0 27.7))"
21,-98.3,27.8,"POLYGON((-98.3 27.8,-98.3 27.9,-98.2 27.9,-98.2 27.8,-98.3 27.8))"
167,-98.2,27.8,"POLYGON((-98.2 27.8,-98.2 27.9,-98.1 27.9,-98.1 27.8,-98.2 27.8))"
393,-98.1,27.8,"POLYGON((-98.1 27.8,-98.1 27.9,-98.0 27.9,-98.0 27.8,-98.1 27.8))"
228,-98.0,27.8,"POLYGON((-98.0 27.8,-98.0 27.9,-97.9 27.9,-97.9 27.8,-98.0 27.8))"
2,-98.3,27.9,"POLYGON((-98.3 27.9,-98.3 28.0,-98.2 28.0,-98.2 27.9,-98.3 27.9))"
41,-98.2,27.9,"POLYGON((-98.2 27.9,-98.2 28.0,-98.1 28.0,-98.1 27.9,-98.2 27.9))"
397,-98.1,27.9,"POLYGON((-98.1 27.9,-98.1 28.0,-98.0 28.0,-98.0 27.9,-98.1 27.9))"
1698,-98.0,27.9,"POLYGON((-98.0 27.9,-98.0 28.0,-97.9 28.0,-97.9 27.9,-98.0 27.9))"
236,-97.9,27.9,"POLYGON((-97.9 27.9,-97.9 28.0,-97.8 28.0,-97.8 27.9,-97.9 27.9))"
32,-98.3,28.0,"POLYGON((-98.3 28.0,-98.3 28.1,-98.2 28.1,-98.2 28.0,-98.3 28.0))"
23,-98.2,28.0,"POLYGON((-98.2 28.0,-98.2 28.1,-98.1 28.1,-98.1 28.0,-98.2 28.0))"
173,-98.1,28.0,"POLYGON((-98.1 28.0,-98.1 28.1,-98.0 28.1,-98.0 28.0,-98.1 28.0))"
305,-98.0,28.0,"POLYGON((-98.0 28.0,-98.0 28.1,-97.9 28.1,-97.9 28.0,-98.0 28.0))"
462,-97.9,28.0,"POLYGON((-97.9 28.0,-97.9 28.1,-97.8 28.1,-97.8 28.0,-97.9 28.0))"
5,-97.8,28.0,"POLYGON((-97.8 28.0,-97.8 28.1,-97.7 28.1,-97.7 28.0,-97.8 28.0))"
