count,lon,lat,area
23,-100.2,32.5,"POLYGON((-100.2 32.5,-100.2 32.6,-100.1 32.6,-100.1 32.5,-100.2 32.5))"
105,-100.1,32.5,"POLYGON((-100.1 32.5,-100.1 32.6,-100.0 32.6,-100.0 32.5,-100.1 32.5))"
219,-100.0,32.5,"POLYGON((-100.0 32.5,-100.0 32.6,-99.9 32.6,-99.9 32.5,-100.0 32.5))"
343,-99.9,32.5,"POLYGON((-99.9 32.5,-99.9 32.6,-99.8 32.6,-99.8 32.5,-99.9 32.5))"
331,-99.8,32.5,"POLYGON((-99.8 32.5,-99.8 32.6,-99.7 32.6,-99.7 32.5,-99.8 32.5))"
123,-99.7,32.5,"POLYGON((-99.7 32.5,-99.7 32.6,-99.6 32.6,-99.6 32.5,-99.7 32.5))"
24,-100.2,32.6,"POLYGON((-100.2 32.6,-100.2 32.7,-100.1 32.7,-100.1 32.6,-100.2 32.6))"
65,-100.1,32.6,"POLYGON((-100.1 32.6,-100.1 32.7,-100.0 32.7,-100.0 32.6,-100.1 32.6))"
121,-100.0,32.6,"POLYGON((-100.0 32.6,-100.0 32.7,-99.9 32.7,-99.9 32.6,-100.0 32.6))"
987,-99.9,32.6,"POLYGON((-99.9 32.6,-99.9 32.7,-99.8 32.7,-99.8 32.6,-99.9 32.6))"
604,-99.8,32.6,"POLYGON((-99.8 32.6,-99.8 32.7,-99.7 32.7,-99.7 32.6,-99.8 32.6))"
142,-99.7,32.6,"POLYGON((-99.7 32.6,-99.7 32.7,-99.6 32.7,-99.6 32.6,-99.7 32.6))"
1,-99.6,32.6,"POLYGON((-99.6 32.6,-99.6 32.7,-99.5 32.7,-99.5 32.6,-99.6 32.6))"
18,-100.2,32.7,"POLYGON((-100.2 32.7,-100.2 32.8,-100.1 32.8,-100.1 32.7,-100.2 32.7))"
60,-100.1,32.7,"POLYGON((-100.1 32.7,-100.1 32.8,-100.0 32.8,-100.0 32.7,-100.1 32.7))"
486,-100.0,32.7,"POLYGON((-100.0 32.7,-100.0 32.8,-99.9 32.8,-99.9 32.7,-100.0 32.7))"
1096,-99.9,32.7,"POLYGON((-99.9 32.7,-99.9 32.8,-99.8 32.8,-99.8 32.7,-99.9 32.7))"
158,-99.8,32.7,"POLYGON((-99.8 32.7,-99.8 32.8,-99.7 32.8,-99.7 32.7,-99.8 32.7))"
174,-99.7,32.7,"POLYGON((-99.7 32.7,-99.7 32.8,-99.6 32.8,-99.6 32.7,-99.7 32.7))"
1,-99.6,32.7,"POLYGON((-99.6 32.7,-99.6 32.8,-99.5 32.8,-99.5 32.7,-99.6 32.7))"
1215,-100.2,32.8,"POLYGON((-100.2 32.8,-100.2 32.9,-100.1 32.9,-100.1 32.8,-100.2 32.8))"
50,-100.1,32.8,"POLYGON((-100.1 32.8,-100.1 32.9,-100.0 32.9,-100.0 32.8,-100.1 32.8))"
27,-100.0,32.8,"POLYGON((-100.0 32.8,-100.0 32.9,-99.9 32.9,-99.9 32.8,-100.0 32.8))"
50,-99.9,32.8,"POLYGON((-99.9 32.8,-99.9 32.9,-99.8 32.9,-99.8 32.8,-99.9 32.8))"
102,-99.8,32.8,"POLYGON((-99.8 32.8,-99.8 32.9,-99.7 32.9,-99.7 32.8,-99.8 32.8))"
154,-99.7,32.8,"POLYGON((-99.7 32.8,-99.7 32.9,-99.6 32.9,-99.6 32.8,-99.7 32.8))"
24,-100.2,32.9,"POLYGON((-100.2 32.9,-100.2 33.0,-100.1 33.0,-100.1 32.9,-100.2 32.9))"
21,-100.1,32.9,"POLYGON((-100.1 32.9,-100.1 33.0,-100.0 33.0,-100.0 32.9,-100.1 32.9))"
39,-100.0,32.9,"POLYGON((-100.0 32.9,-100.0 33.0,-99.9 33.0,-99.9 32.9,-100.0 32.9))"
616,-99.9,32.9,"POLYGON((-99.9 32.9,-99.9 33.0,-99.8 33.0,-99.8 32.9,-99.9 32.9))"
1393,-99.8,32.9,"POLYGON((-99.8 32.9,-99.8 33.0,-99.7 33.0,-99.7 32.9,-99.8 32.9))"
36,-99.7,32.9,"POLYGON((-99.7 32.9,-99.7 33.0,-99.6 33.0,-99.6 32.9,-99.7 32.9))"
