count,lon,lat,area
1,-98.4,28.0,"POLYGON((-98.4 28.0,-98.4 28.1,-98.3 28.1,-98.3 28.0,-98.4 28.0))"
9,-98.3,28.0,"POLYGON((-98.3 28.0,-98.3 28.1,-98.2 28.1,-98.2 28.0,-98.3 28.0))"
27,-98.2,28.0,"POLYGON((-98.2 28.0,-98.2 28.1,-98.1 28.1,-98.1 28.0,-98.2 28.0))"
251,-98.0,28.0,"POLYGON((-98.0 28.0,-98.0 28.1,-97.9 28.1,-97.9 28.0,-98.0 28.0))"
35,-97.9,28.0,"POLYGON((-97.9 28.0,-97.9 28.1,-97.8 28.1,-97.8 28.0,-97.9 28.0))"
11,-98.4,28.1,"POLYGON((-98.4 28.1,-98.4 28.2,-98.3 28.2,-98.3 28.1,-98.4 28.1))"
53,-98.3,28.1,"POLYGON((-98.3 28.1,-98.3 28.2,-98.2 28.2,-98.2 28.1,-98.3 28.1))"
40,-98.2,28.1,"POLYGON((-98.2 28.1,-98.2 28.2,-98.1 28.2,-98.1 28.1,-98.2 28.1))"
6,-98.1,28.1,"POLYGON((-98.1 28.1,-98.1 28.2,-98.0 28.2,-98.0 28.1,-98.1 28.1))"
522,-98.0,28.1,"POLYGON((-98.0 28.1,-98.0 28.2,-97.9 28.2,-97.9 28.1,-98.0 28.1))"
296,-97.9,28.1,"POLYGON((-97.9 28.1,-97.9 28.2,-97.8 28.2,-97.8 28.1,-97.9 28.1))"
9,-98.4,28.2,"POLYGON((-98.4 28.2,-98.4 28.3,-98.3 28.3,-98.3 28.2,-98.4 28.2))"
47,-98.3,28.2,"POLYGON((-98.3 28.2,-98.3 28.3,-98.2 28.3,-98.2 28.2,-98.3 28.2))"
53,-98.2,28.2,"POLYGON((-98.2 28.2,-98.2 28.3,-98.1 28.3,-98.1 28.2,-98.2 28.2))"
66,-98.1,28.2,"POLYGON((-98.1 28.2,-98.1 28.3,-98.0 28.3,-98.0 28.2,-98.1 28.2))"
213,-98.0,28.2,"POLYGON((-98.0 28.2,-98.0 28.3,-97.9 28.3,-97.9 28.2,-98.0 28.2))"
16,-97.9,28.2,"POLYGON((-97.9 28.2,-97.9 28.3,-97.8 28.3,-97.8 28.2,-97.9 28.2))"
11,-98.4,28.3,"POLYGON((-98.4 28.3,-98.4 28.4,-98.3 28.4,-98.3 28.3,-98.4 28.3))"
45,-98.3,28.3,"POLYGON((-98.3 28.3,-98.3 28.4,-98.2 28.4,-98.2 28.3,-98.3 28.3))"
1189,-98.2,28.3,"POLYGON((-98.2 28.3,-98.2 28.4,-98.1 28.4,-98.1 28.3,-98.2 28.3))"
173,-98.1,28.3,"POLYGON((-98.1 28.3,-98.1 28.4,-98.0 28.4,-98.0 28.3,-98.1 28.3))"
39,-98.0,28.3,"POLYGON((-98.0 28.3,-98.0 28.4,-97.9 28.4,-97.9 28.3,-98.0 28.3))"
1,-97.9,28.3,"POLYGON((-97.9 28.3,-97.9 28.4,-97.8 28.4,-97.8 28.3,-97.9 28.3))"
40,-98.4,28.4,"POLYGON((-98.4 28.4,-98.4 28.5,-98.3 28.5,-98.3 28.4,-98.4 28.4))"
194,-98.3,28.4,"POLYGON((-98.3 28.4,-98.3 28.5,-98.2 28.5,-98.2 28.4,-98.3 28.4))"
584,-98.2,28.4,"POLYGON((-98.2 28.4,-98.2 28.5,-98.1 28.5,-98.1 28.4,-98.2 28.4))"
92,-98.1,28.4,"POLYGON((-98.1 28.4,-98.1 28.5,-98.0 28.5,-98.0 28.4,-98.1 28.4))"
33,-98.0,28.4,"POLYGON((-98.0 28.4,-98.0 28.5,-97.9 28.5,-97.9 28.4,-98.0 28.4))"
4,-98.4,28.5,"POLYGON((-98.4 28.5,-98.4 28.6,-98.3 28.6,-98.3 28.5,-98.4 28.5))"
28,-98.3,28.5,"POLYGON((-98.3 28.5,-98.3 28.6,-98.2 28.6,-98.2 28.5,-98.3 28.5))"
82,-98.2,28.5,"POLYGON((-98.2 28.5,-98.2 28.6,-98.1 28.6,-98.1 28.5,-98.2 28.5))"
75,-98.1,28.5,"POLYGON((-98.1 28.5,-98.1 28.6,-98.0 28.6,-98.0 28.5,-98.1 28.5))"
1,-98.0,28.5,"POLYGON((-98.0 28.5,-98.0 28.6,-97.9 28.6,-97.9 28.5,-98.0 28.5))"
2,-98.4,28.6,"POLYGON((-98.4 28.6,-98.4 28.7,-98.3 28.7,-98.3 28.6,-98.4 28.6))"
67,-98.3,28.6,"POLYGON((-98.3 28.6,-98.3 28.7,-98.2 28.7,-98.2 28.6,-98.3 28.6))"
29,-98.2,28.6,"POLYGON((-98.2 28.6,-98.2 28.7,-98.1 28.7,-98.1 28.6,-98.2 28.6))"
12,-98.1,28.6,"POLYGON((-98.1 28.6,-98.1 28.7,-98.0 28.7,-98.0 28.6,-98.1 28.6))"
11,-98.2,28.7,"POLYGON((-98.2 28.7,-98.2 28.8,-98.1 28.8,-98.1 28.7,-98.2 28.7))"
16,-98.1,28.7,"POLYGON((-98.1 28.7,-98.1 28.8,-98.0 28.8,-98.0 28.7,-98.1 28.7))"
