count,lon,lat,area
3,-102.2,32.0,"POLYGON((-102.2 32.0,-102.2 32.1,-102.1 32.1,-102.1 32.0,-102.2 32.0))"
106,-102.1,32.0,"POLYGON((-102.1 32.0,-102.1 32.1,-102.0 32.1,-102.0 32.0,-102.1 32.0))"
20,-102.0,32.0,"POLYGON((-102.0 32.0,-102.0 32.1,-101.9 32.1,-101.9 32.0,-102.0 32.0))"
129,-101.9,32.0,"POLYGON((-101.9 32.0,-101.9 32.1,-101.8 32.1,-101.8 32.0,-101.9 32.0))"
19,-101.8,32.0,"POLYGON((-101.8 32.0,-101.8 32.1,-101.7 32.1,-101.7 32.0,-101.8 32.0))"
9,-102.2,32.1,"POLYGON((-102.2 32.1,-102.2 32.2,-102.1 32.2,-102.1 32.1,-102.2 32.1))"
44,-102.1,32.1,"POLYGON((-102.1 32.1,-102.1 32.2,-102.0 32.2,-102.0 32.1,-102.1 32.1))"
191,-102.0,32.1,"POLYGON((-102.0 32.1,-102.0 32.2,-101.9 32.2,-101.9 32.1,-102.0 32.1))"
418,-101.9,32.1,"POLYGON((-101.9 32.1,-101.9 32.2,-101.8 32.2,-101.8 32.1,-101.9 32.1))"
728,-101.8,32.1,"POLYGON((-101.8 32.1,-101.8 32.2,-101.7 32.2,-101.7 32.1,-101.8 32.1))"
31,-102.2,32.2,"POLYGON((-102.2 32.2,-102.2 32.3,-102.1 32.3,-102.1 32.2,-102.2 32.2))"
42,-102.1,32.2,"POLYGON((-102.1 32.2,-102.1 32.3,-102.0 32.3,-102.0 32.2,-102.1 32.2))"
113,-102.0,32.2,"POLYGON((-102.0 32.2,-102.0 32.3,-101.9 32.3,-101.9 32.2,-102.0 32.2))"
84,-101.9,32.2,"POLYGON((-101.9 32.2,-101.9 32.3,-101.8 32.3,-101.8 32.2,-101.9 32.2))"
35,-101.8,32.2,"POLYGON((-101.8 32.2,-101.8 32.3,-101.7 32.3,-101.7 32.2,-101.8 32.2))"
1,-101.7,32.2,"POLYGON((-101.7 32.2,-101.7 32.3,-101.6 32.3,-101.6 32.2,-101.7 32.2))"
1,-102.3,32.3,"POLYGON((-102.3 32.3,-102.3 32.4,-102.2 32.4,-102.2 32.3,-102.3 32.3))"
13,-102.2,32.3,"POLYGON((-102.2 32.3,-102.2 32.4,-102.1 32.4,-102.1 32.3,-102.2 32.3))"
35,-102.1,32.3,"POLYGON((-102.1 32.3,-102.1 32.4,-102.0 32.4,-102.0 32.3,-102.1 32.3))"
115,-102.0,32.3,"POLYGON((-102.0 32.3,-102.0 32.4,-101.9 32.4,-101.9 32.3,-102.0 32.3))"
93,-101.9,32.3,"POLYGON((-101.9 32.3,-101.9 32.4,-101.8 32.4,-101.8 32.3,-101.9 32.3))"
43,-101.8,32.3,"POLYGON((-101.8 32.3,-101.8 32.4,-101.7 32.4,-101.7 32.3,-101.8 32.3))"
6,-101.7,32.3,"POLYGON((-101.7 32.3,-101.7 32.4,-101.6 32.4,-101.6 32.3,-101.7 32.3))"
19,-102.2,32.4,"POLYGON((-102.2 32.4,-102.2 32.5,-102.1 32.5,-102.1 32.4,-102.2 32.4))"
8,-102.1,32.4,"POLYGON((-102.1 32.4,-102.1 32.5,-102.0 32.5,-102.0 32.4,-102.1 32.4))"
31,-102.0,32.4,"POLYGON((-102.0 32.4,-102.0 32.5,-101.9 32.5,-101.9 32.4,-102.0 32.4))"
48,-101.9,32.4,"POLYGON((-101.9 32.4,-101.9 32.5,-101.8 32.5,-101.8 32.4,-101.9 32.4))"
43,-101.8,32.4,"POLYGON((-101.8 32.4,-101.8 32.5,-101.7 32.5,-101.7 32.4,-101.8 32.4))"
11,-101.7,32.4,"POLYGON((-101.7 32.4,-101.7 32.5,-101.6 32.5,-101.6 32.4,-101.7 32.4))"
12,-102.1,32.5,"POLYGON((-102.1 32.5,-102.1 32.6,-102.0 32.6,-102.0 32.5,-102.1 32.5))"
17,-102.0,32.5,"POLYGON((-102.0 32.5,-102.0 32.6,-101.9 32.6,-101.9 32.5,-102.0 32.5))"
10,-101.9,32.5,"POLYGON((-101.9 32.5,-101.9 32.6,-101.8 32.6,-101.8 32.5,-101.9 32.5))"
65,-101.8,32.5,"POLYGON((-101.8 32.5,-101.8 32.6,-101.7 32.6,-101.7 32.5,-101.8 32.5))"
3,-101.7,32.5,"POLYGON((-101.7 32.5,-101.7 32.6,-101.6 32.6,-101.6 32.5,-101.7 32.5))"
