count,lon,lat,area
1,-100.2,28.1,"POLYGON((-100.2 28.1,-100.2 28.2,-100.1 28.2,-100.1 28.1,-100.2 28.1))"
3,-100.3,28.2,"POLYGON((-100.3 28.2,-100.3 28.3,-100.2 28.3,-100.2 28.2,-100.3 28.2))"
4,-100.2,28.2,"POLYGON((-100.2 28.2,-100.2 28.3,-100.1 28.3,-100.1 28.2,-100.2 28.2))"
8,-100.4,28.3,"POLYGON((-100.4 28.3,-100.4 28.4,-100.3 28.4,-100.3 28.3,-100.4 28.3))"
14,-100.3,28.3,"POLYGON((-100.3 28.3,-100.3 28.4,-100.2 28.4,-100.2 28.3,-100.3 28.3))"
2,-100.2,28.3,"POLYGON((-100.2 28.3,-100.2 28.4,-100.1 28.4,-100.1 28.3,-100.2 28.3))"
78,-100.4,28.4,"POLYGON((-100.4 28.4,-100.4 28.5,-100.3 28.5,-100.3 28.4,-100.4 28.4))"
5,-100.3,28.4,"POLYGON((-100.3 28.4,-100.3 28.5,-100.2 28.5,-100.2 28.4,-100.3 28.4))"
3,-100.2,28.4,"POLYGON((-100.2 28.4,-100.2 28.5,-100.1 28.5,-100.1 28.4,-100.2 28.4))"
6,-100.5,28.5,"POLYGON((-100.5 28.5,-100.5 28.6,-100.4 28.6,-100.4 28.5,-100.5 28.5))"
195,-100.4,28.5,"POLYGON((-100.4 28.5,-100.4 28.6,-100.3 28.6,-100.3 28.5,-100.4 28.5))"
2,-100.3,28.5,"POLYGON((-100.3 28.5,-100.3 28.6,-100.2 28.6,-100.2 28.5,-100.3 28.5))"
3,-100.2,28.5,"POLYGON((-100.2 28.5,-100.2 28.6,-100.1 28.6,-100.1 28.5,-100.2 28.5))"
88,-100.6,28.6,"POLYGON((-100.6 28.6,-100.6 28.7,-100.5 28.7,-100.5 28.6,-100.6 28.6))"
10327,-100.5,28.6,"POLYGON((-100.5 28.6,-100.5 28.7,-100.4 28.7,-100.4 28.6,-100.5 28.6))"
380,-100.4,28.6,"POLYGON((-100.4 28.6,-100.4 28.7,-100.3 28.7,-100.3 28.6,-100.4 28.6))"
8,-100.3,28.6,"POLYGON((-100.3 28.6,-100.3 28.7,-100.2 28.7,-100.2 28.6,-100.3 28.6))"
10,-100.2,28.6,"POLYGON((-100.2 28.6,-100.2 28.7,-100.1 28.7,-100.1 28.6,-100.2 28.6))"
1769,-100.6,28.7,"POLYGON((-100.6 28.7,-100.6 28.8,-100.5 28.8,-100.5 28.7,-100.6 28.7))"
9610,-100.5,28.7,"POLYGON((-100.5 28.7,-100.5 28.8,-100.4 28.8,-100.4 28.7,-100.5 28.7))"
34,-100.4,28.7,"POLYGON((-100.4 28.7,-100.4 28.8,-100.3 28.8,-100.3 28.7,-100.4 28.7))"
4,-100.3,28.7,"POLYGON((-100.3 28.7,-100.3 28.8,-100.2 28.8,-100.2 28.7,-100.3 28.7))"
414,-100.6,28.8,"POLYGON((-100.6 28.8,-100.6 28.9,-100.5 28.9,-100.5 28.8,-100.6 28.8))"
48,-100.5,28.8,"POLYGON((-100.5 28.8,-100.5 28.9,-100.4 28.9,-100.4 28.8,-100.5 28.8))"
14,-100.4,28.8,"POLYGON((-100.4 28.8,-100.4 28.9,-100.3 28.9,-100.3 28.8,-100.4 28.8))"
14,-100.3,28.8,"POLYGON((-100.3 28.8,-100.3 28.9,-100.2 28.9,-100.2 28.8,-100.3 28.8))"
4,-100.2,28.8,"POLYGON((-100.2 28.8,-100.2 28.9,-100.1 28.9,-100.1 28.8,-100.2 28.8))"
500,-100.7,28.9,"POLYGON((-100.7 28.9,-100.7 29.0,-100.6 29.0,-100.6 28.9,-100.7 28.9))"
105,-100.6,28.9,"POLYGON((-100.6 28.9,-100.6 29.0,-100.5 29.0,-100.5 28.9,-100.6 28.9))"
4,-100.5,28.9,"POLYGON((-100.5 28.9,-100.5 29.0,-100.4 29.0,-100.4 28.9,-100.5 28.9))"
6,-100.3,28.9,"POLYGON((-100.3 28.9,-100.3 29.0,-100.2 29.0,-100.2 28.9,-100.3 28.9))"
15,-100.2,28.9,"POLYGON((-100.2 28.9,-100.2 29.0,-100.1 29.0,-100.1 28.9,-100.2 28.9))"
20,-100.7,29.0,"POLYGON((-100.7 29.0,-100.7 29.1,-100.6 29.1,-100.6 29.0,-100.7 29.0))"
4,-100.6,29.0,"POLYGON((-100.6 29.0,-100.6 29.1,-100.5 29.1,-100.5 29.0,-100.6 29.0))"
2,-100.5,29.0,"POLYGON((-100.5 29.0,-100.5 29.1,-100.4 29.1,-100.4 29.0,-100.5 29.0))"
17,-100.4,29.0,"POLYGON((-100.4 29.0,-100.4 29.1,-100.3 29.1,-100.3 29.0,-100.4 29.0))"
6,-100.3,29.0,"POLYGON((-100.3 29.0,-100.3 29.1,-100.2 29.1,-100.2 29.0,-100.3 29.0))"
17,-100.2,29.0,"POLYGON((-100.2 29.0,-100.2 29.1,-100.1 29.1,-100.1 29.0,-100.2 29.0))"
