count,lon,lat,area
14,-100.2,30.7,"POLYGON((-100.2 30.7,-100.2 30.8,-100.1 30.8,-100.1 30.7,-100.2 30.7))"
92,-100.1,30.7,"POLYGON((-100.1 30.7,-100.1 30.8,-100.0 30.8,-100.0 30.7,-100.1 30.7))"
15,-100.0,30.7,"POLYGON((-100.0 30.7,-100.0 30.8,-99.9 30.8,-99.9 30.7,-100.0 30.7))"
21,-99.9,30.7,"POLYGON((-99.9 30.7,-99.9 30.8,-99.8 30.8,-99.8 30.7,-99.9 30.7))"
39,-99.8,30.7,"POLYGON((-99.8 30.7,-99.8 30.8,-99.7 30.8,-99.7 30.7,-99.8 30.7))"
40,-99.7,30.7,"POLYGON((-99.7 30.7,-99.7 30.8,-99.6 30.8,-99.6 30.7,-99.7 30.7))"
80,-99.6,30.7,"POLYGON((-99.6 30.7,-99.6 30.8,-99.5 30.8,-99.5 30.7,-99.6 30.7))"
22,-99.5,30.7,"POLYGON((-99.5 30.7,-99.5 30.8,-99.4 30.8,-99.4 30.7,-99.5 30.7))"
30,-100.2,30.8,"POLYGON((-100.2 30.8,-100.2 30.9,-100.1 30.9,-100.1 30.8,-100.2 30.8))"
77,-100.1,30.8,"POLYGON((-100.1 30.8,-100.1 30.9,-100.0 30.9,-100.0 30.8,-100.1 30.8))"
39,-100.0,30.8,"POLYGON((-100.0 30.8,-100.0 30.9,-99.9 30.9,-99.9 30.8,-100.0 30.8))"
21,-99.9,30.8,"POLYGON((-99.9 30.8,-99.9 30.9,-99.8 30.9,-99.8 30.8,-99.9 30.8))"
52,-99.8,30.8,"POLYGON((-99.8 30.8,-99.8 30.9,-99.7 30.9,-99.7 30.8,-99.8 30.8))"
65,-99.7,30.8,"POLYGON((-99.7 30.8,-99.7 30.9,-99.6 30.9,-99.6 30.8,-99.7 30.8))"
134,-99.6,30.8,"POLYGON((-99.6 30.8,-99.6 30.9,-99.5 30.9,-99.5 30.8,-99.6 30.8))"
3,-99.5,30.8,"POLYGON((-99.5 30.8,-99.5 30.9,-99.4 30.9,-99.4 30.8,-99.5 30.8))"
9,-100.2,30.9,"POLYGON((-100.2 30.9,-100.2 31.0,-100.1 31.0,-100.1 30.9,-100.2 30.9))"
15,-100.1,30.9,"POLYGON((-100.1 30.9,-100.1 31.0,-100.0 31.0,-100.0 30.9,-100.1 30.9))"
71,-100.0,30.9,"POLYGON((-100.0 30.9,-100.0 31.0,-99.9 31.0,-99.9 30.9,-100.0 30.9))"
90,-99.9,30.9,"POLYGON((-99.9 30.9,-99.9 31.0,-99.8 31.0,-99.8 30.9,-99.9 30.9))"
1151,-99.8,30.9,"POLYGON((-99.8 30.9,-99.8 31.0,-99.7 31.0,-99.7 30.9,-99.8 30.9))"
18,-99.7,30.9,"POLYGON((-99.7 30.9,-99.7 31.0,-99.6 31.0,-99.6 30.9,-99.7 30.9))"
5,-99.6,30.9,"POLYGON((-99.6 30.9,-99.6 31.0,-99.5 31.0,-99.5 30.9,-99.6 30.9))"
6,-99.5,30.9,"POLYGON((-99.5 30.9,-99.5 31.0,-99.4 31.0,-99.4 30.9,-99.5 30.9))"
2,-100.2,31.0,"POLYGON((-100.2 31.0,-100.2 31.1,-100.1 31.1,-100.1 31.0,-100.2 31.0))"
17,-100.1,31.0,"POLYGON((-100.1 31.0,-100.1 31.1,-100.0 31.1,-100.0 31.0,-100.1 31.0))"
28,-100.0,31.0,"POLYGON((-100.0 31.0,-100.0 31.1,-99.9 31.1,-99.9 31.0,-100.0 31.0))"
21,-99.9,31.0,"POLYGON((-99.9 31.0,-99.9 31.1,-99.8 31.1,-99.8 31.0,-99.9 31.0))"
11,-99.8,31.0,"POLYGON((-99.8 31.0,-99.8 31.1,-99.7 31.1,-99.7 31.0,-99.8 31.0))"
11,-99.7,31.0,"POLYGON((-99.7 31.0,-99.7 31.1,-99.6 31.1,-99.6 31.0,-99.7 31.0))"
