count,lon,lat,area
5,-102.2,35.6,"POLYGON((-102.2 35.6,-102.2 35.7,-102.1 35.7,-102.1 35.6,-102.2 35.6))"
2,-102.1,35.6,"POLYGON((-102.1 35.6,-102.1 35.7,-102.0 35.7,-102.0 35.6,-102.1 35.6))"
34,-102.0,35.6,"POLYGON((-102.0 35.6,-102.0 35.7,-101.9 35.7,-101.9 35.6,-102.0 35.6))"
14,-101.9,35.6,"POLYGON((-101.9 35.6,-101.9 35.7,-101.8 35.7,-101.8 35.6,-101.9 35.6))"
5,-101.8,35.6,"POLYGON((-101.8 35.6,-101.8 35.7,-101.7 35.7,-101.7 35.6,-101.8 35.6))"
90,-101.7,35.6,"POLYGON((-101.7 35.6,-101.7 35.7,-101.6 35.7,-101.6 35.6,-101.7 35.6))"
18,-102.2,35.7,"POLYGON((-102.2 35.7,-102.2 35.8,-102.1 35.8,-102.1 35.7,-102.2 35.7))"
72,-102.1,35.7,"POLYGON((-102.1 35.7,-102.1 35.8,-102.0 35.8,-102.0 35.7,-102.1 35.7))"
8,-102.0,35.7,"POLYGON((-102.0 35.7,-102.0 35.8,-101.9 35.8,-101.9 35.7,-102.0 35.7))"
6,-101.9,35.7,"POLYGON((-101.9 35.7,-101.9 35.8,-101.8 35.8,-101.8 35.7,-101.9 35.7))"
7,-101.8,35.7,"POLYGON((-101.8 35.7,-101.8 35.8,-101.7 35.8,-101.7 35.7,-101.8 35.7))"
4,-101.7,35.7,"POLYGON((-101.7 35.7,-101.7 35.8,-101.6 35.8,-101.6 35.7,-101.7 35.7))"
16,-102.2,35.8,"POLYGON((-102.2 35.8,-102.2 35.9,-102.1 35.9,-102.1 35.8,-102.2 35.8))"
137,-102.1,35.8,"POLYGON((-102.1 35.8,-102.1 35.9,-102.0 35.9,-102.0 35.8,-102.1 35.8))"
5996,-102.0,35.8,"POLYGON((-102.0 35.8,-102.0 35.9,-101.9 35.9,-101.9 35.8,-102.0 35.8))"
18,-101.9,35.8,"POLYGON((-101.9 35.8,-101.9 35.9,-101.8 35.9,-101.8 35.8,-101.9 35.8))"
13,-101.8,35.8,"POLYGON((-101.8 35.8,-101.8 35.9,-101.7 35.9,-101.7 35.8,-101.8 35.8))"
25,-101.7,35.8,"POLYGON((-101.7 35.8,-101.7 35.9,-101.6 35.9,-101.6 35.8,-101.7 35.8))"
4,-102.2,35.9,"POLYGON((-102.2 35.9,-102.2 36.0,-102.1 36.0,-102.1 35.9,-102.2 35.9))"
24,-102.1,35.9,"POLYGON((-102.1 35.9,-102.1 36.0,-102.0 36.0,-102.0 35.9,-102.1 35.9))"
174,-102.0,35.9,"POLYGON((-102.0 35.9,-102.0 36.0,-101.9 36.0,-101.9 35.9,-102.0 35.9))"
45,-101.9,35.9,"POLYGON((-101.9 35.9,-101.9 36.0,-101.8 36.0,-101.8 35.9,-101.9 35.9))"
9,-101.8,35.9,"POLYGON((-101.8 35.9,-101.8 36.0,-101.7 36.0,-101.7 35.9,-101.8 35.9))"
10,-101.7,35.9,"POLYGON((-101.7 35.9,-101.7 36.0,-101.6 36.0,-101.6 35.9,-101.7 35.9))"
8,-102.2,36.0,"POLYGON((-102.2 36.0,-102.2 36.1,-102.1 36.1,-102.1 36.0,-102.2 36.0))"
594,-102.1,36.0,"POLYGON((-102.1 36.0,-102.1 36.1,-102.0 36.1,-102.0 36.0,-102.1 36.0))"
471,-102.0,36.0,"POLYGON((-102.0 36.0,-102.0 36.1,-101.9 36.1,-101.9 36.0,-102.0 36.0))"
887,-101.9,36.0,"POLYGON((-101.9 36.0,-101.9 36.1,-101.8 36.1,-101.8 36.0,-101.9 36.0))"
20,-101.8,36.0,"POLYGON((-101.8 36.0,-101.8 36.1,-101.7 36.1,-101.7 36.0,-101.8 36.0))"
11,-101.7,36.0,"POLYGON((-101.7 36.0,-101.7 36.1,-101.6 36.1,-101.6 36.0,-101.7 36.0))"
