count,lon,lat,area
40,-94.4,31.2,"POLYGON((-94.4 31.2,-94.4 31.3,-94.3 31.3,-94.3 31.2,-94.4 31.2))"
720,-94.5,31.3,"POLYGON((-94.5 31.3,-94.5 31.4,-94.4 31.4,-94.4 31.3,-94.5 31.3))"
600,-94.4,31.3,"POLYGON((-94.4 31.3,-94.4 31.4,-94.3 31.4,-94.3 31.3,-94.4 31.3))"
15,-94.9,31.4,"POLYGON((-94.9 31.4,-94.9 31.5,-94.8 31.5,-94.8 31.4,-94.9 31.4))"
295,-94.8,31.4,"POLYGON((-94.8 31.4,-94.8 31.5,-94.7 31.5,-94.7 31.4,-94.8 31.4))"
75,-94.7,31.4,"POLYGON((-94.7 31.4,-94.7 31.5,-94.6 31.5,-94.6 31.4,-94.7 31.4))"
349,-94.6,31.4,"POLYGON((-94.6 31.4,-94.6 31.5,-94.5 31.5,-94.5 31.4,-94.6 31.4))"
64,-94.5,31.4,"POLYGON((-94.5 31.4,-94.5 31.5,-94.4 31.5,-94.4 31.4,-94.5 31.4))"
372,-94.4,31.4,"POLYGON((-94.4 31.4,-94.4 31.5,-94.3 31.5,-94.3 31.4,-94.4 31.4))"
484,-94.9,31.5,"POLYGON((-94.9 31.5,-94.9 31.6,-94.8 31.6,-94.8 31.5,-94.9 31.5))"
1242,-94.8,31.5,"POLYGON((-94.8 31.5,-94.8 31.6,-94.7 31.6,-94.7 31.5,-94.8 31.5))"
6554,-94.7,31.5,"POLYGON((-94.7 31.5,-94.7 31.6,-94.6 31.6,-94.6 31.5,-94.7 31.5))"
1338,-94.6,31.5,"POLYGON((-94.6 31.5,-94.6 31.6,-94.5 31.6,-94.5 31.5,-94.6 31.5))"
707,-94.5,31.5,"POLYGON((-94.5 31.5,-94.5 31.6,-94.4 31.6,-94.4 31.5,-94.5 31.5))"
505,-94.4,31.5,"POLYGON((-94.4 31.5,-94.4 31.6,-94.3 31.6,-94.3 31.5,-94.4 31.5))"
66,-95.0,31.6,"POLYGON((-95.0 31.6,-95.0 31.7,-94.9 31.7,-94.9 31.6,-95.0 31.6))"
868,-94.9,31.6,"POLYGON((-94.9 31.6,-94.9 31.7,-94.8 31.7,-94.8 31.6,-94.9 31.6))"
1015,-94.8,31.6,"POLYGON((-94.8 31.6,-94.8 31.7,-94.7 31.7,-94.7 31.6,-94.8 31.6))"
12663,-94.7,31.6,"POLYGON((-94.7 31.6,-94.7 31.7,-94.6 31.7,-94.6 31.6,-94.7 31.6))"
817,-94.6,31.6,"POLYGON((-94.6 31.6,-94.6 31.7,-94.5 31.7,-94.5 31.6,-94.6 31.6))"
546,-94.5,31.6,"POLYGON((-94.5 31.6,-94.5 31.7,-94.4 31.7,-94.4 31.6,-94.5 31.6))"
61,-94.4,31.6,"POLYGON((-94.4 31.6,-94.4 31.7,-94.3 31.7,-94.3 31.6,-94.4 31.6))"
241,-95.0,31.7,"POLYGON((-95.0 31.7,-95.0 31.8,-94.9 31.8,-94.9 31.7,-95.0 31.7))"
530,-94.9,31.7,"POLYGON((-94.9 31.7,-94.9 31.8,-94.8 31.8,-94.8 31.7,-94.9 31.7))"
619,-94.8,31.7,"POLYGON((-94.8 31.7,-94.8 31.8,-94.7 31.8,-94.7 31.7,-94.8 31.7))"
1863,-94.7,31.7,"POLYGON((-94.7 31.7,-94.7 31.8,-94.6 31.8,-94.6 31.7,-94.7 31.7))"
926,-94.6,31.7,"POLYGON((-94.6 31.7,-94.6 31.8,-94.5 31.8,-94.5 31.7,-94.6 31.7))"
295,-94.5,31.7,"POLYGON((-94.5 31.7,-94.5 31.8,-94.4 31.8,-94.4 31.7,-94.5 31.7))"
186,-95.0,31.8,"POLYGON((-95.0 31.8,-95.0 31.9,-94.9 31.9,-94.9 31.8,-95.0 31.8))"
730,-94.9,31.8,"POLYGON((-94.9 31.8,-94.9 31.9,-94.8 31.9,-94.8 31.8,-94.9 31.8))"
172,-94.8,31.8,"POLYGON((-94.8 31.8,-94.8 31.9,-94.7 31.9,-94.7 31.8,-94.8 31.8))"
270,-94.7,31.8,"POLYGON((-94.7 31.8,-94.7 31.9,-94.6 31.9,-94.6 31.8,-94.7 31.8))"
251,-94.6,31.8,"POLYGON((-94.6 31.8,-94.6 31.9,-94.5 31.9,-94.5 31.8,-94.6 31.8))"
706,-94.5,31.8,"POLYGON((-94.5 31.8,-94.5 31.9,-94.4 31.9,-94.4 31.8,-94.5 31.8))"
