count,lon,lat,area
740,-103.1,34.3,"POLYGON((-103.1 34.3,-103.1 34.4,-103.0 34.4,-103.0 34.3,-103.1 34.3))"
85,-103.0,34.3,"POLYGON((-103.0 34.3,-103.0 34.4,-102.9 34.4,-102.9 34.3,-103.0 34.3))"
62,-102.9,34.3,"POLYGON((-102.9 34.3,-102.9 34.4,-102.8 34.4,-102.8 34.3,-102.9 34.3))"
73,-102.8,34.3,"POLYGON((-102.8 34.3,-102.8 34.4,-102.7 34.4,-102.7 34.3,-102.8 34.3))"
129,-102.7,34.3,"POLYGON((-102.7 34.3,-102.7 34.4,-102.6 34.4,-102.6 34.3,-102.7 34.3))"
51,-102.6,34.3,"POLYGON((-102.6 34.3,-102.6 34.4,-102.5 34.4,-102.5 34.3,-102.6 34.3))"
52,-103.1,34.4,"POLYGON((-103.1 34.4,-103.1 34.5,-103.0 34.5,-103.0 34.4,-103.1 34.4))"
54,-103.0,34.4,"POLYGON((-103.0 34.4,-103.0 34.5,-102.9 34.5,-102.9 34.4,-103.0 34.4))"
60,-102.9,34.4,"POLYGON((-102.9 34.4,-102.9 34.5,-102.8 34.5,-102.8 34.4,-102.9 34.4))"
40,-102.8,34.4,"POLYGON((-102.8 34.4,-102.8 34.5,-102.7 34.5,-102.7 34.4,-102.8 34.4))"
44,-102.7,34.4,"POLYGON((-102.7 34.4,-102.7 34.5,-102.6 34.5,-102.6 34.4,-102.7 34.4))"
16,-102.6,34.4,"POLYGON((-102.6 34.4,-102.6 34.5,-102.5 34.5,-102.5 34.4,-102.6 34.4))"
14,-103.1,34.5,"POLYGON((-103.1 34.5,-103.1 34.6,-103.0 34.6,-103.0 34.5,-103.1 34.5))"
45,-103.0,34.5,"POLYGON((-103.0 34.5,-103.0 34.6,-102.9 34.6,-102.9 34.5,-103.0 34.5))"
701,-102.9,34.5,"POLYGON((-102.9 34.5,-102.9 34.6,-102.8 34.6,-102.8 34.5,-102.9 34.5))"
80,-102.8,34.5,"POLYGON((-102.8 34.5,-102.8 34.6,-102.7 34.6,-102.7 34.5,-102.8 34.5))"
46,-102.7,34.5,"POLYGON((-102.7 34.5,-102.7 34.6,-102.6 34.6,-102.6 34.5,-102.7 34.5))"
35,-102.6,34.5,"POLYGON((-102.6 34.5,-102.6 34.6,-102.5 34.6,-102.5 34.5,-102.6 34.5))"
7,-103.1,34.6,"POLYGON((-103.1 34.6,-103.1 34.7,-103.0 34.7,-103.0 34.6,-103.1 34.6))"
19,-103.0,34.6,"POLYGON((-103.0 34.6,-103.0 34.7,-102.9 34.7,-102.9 34.6,-103.0 34.6))"
23,-102.9,34.6,"POLYGON((-102.9 34.6,-102.9 34.7,-102.8 34.7,-102.8 34.6,-102.9 34.6))"
1578,-102.8,34.6,"POLYGON((-102.8 34.6,-102.8 34.7,-102.7 34.7,-102.7 34.6,-102.8 34.6))"
87,-102.7,34.6,"POLYGON((-102.7 34.6,-102.7 34.7,-102.6 34.7,-102.6 34.6,-102.7 34.6))"
41,-102.6,34.6,"POLYGON((-102.6 34.6,-102.6 34.7,-102.5 34.7,-102.5 34.6,-102.6 34.6))"
14,-103.1,34.7,"POLYGON((-103.1 34.7,-103.1 34.8,-103.0 34.8,-103.0 34.7,-103.1 34.7))"
16,-103.0,34.7,"POLYGON((-103.0 34.7,-103.0 34.8,-102.9 34.8,-102.9 34.7,-103.0 34.7))"
2,-102.9,34.7,"POLYGON((-102.9 34.7,-102.9 34.8,-102.8 34.8,-102.8 34.7,-102.9 34.7))"
14,-102.8,34.7,"POLYGON((-102.8 34.7,-102.8 34.8,-102.7 34.8,-102.7 34.7,-102.8 34.7))"
8,-102.7,34.7,"POLYGON((-102.7 34.7,-102.7 34.8,-102.6 34.8,-102.6 34.7,-102.7 34.7))"
14,-102.6,34.7,"POLYGON((-102.6 34.7,-102.6 34.8,-102.5 34.8,-102.5 34.7,-102.6 34.7))"
