count,lon,lat,area
983,-97.6,32.5,"POLYGON((-97.6 32.5,-97.6 32.6,-97.5 32.6,-97.5 32.5,-97.6 32.5))"
1537,-97.5,32.5,"POLYGON((-97.5 32.5,-97.5 32.6,-97.4 32.6,-97.4 32.5,-97.5 32.5))"
14877,-97.4,32.5,"POLYGON((-97.4 32.5,-97.4 32.6,-97.3 32.6,-97.3 32.5,-97.4 32.5))"
6636,-97.3,32.5,"POLYGON((-97.3 32.5,-97.3 32.6,-97.2 32.6,-97.2 32.5,-97.3 32.5))"
12761,-97.2,32.5,"POLYGON((-97.2 32.5,-97.2 32.6,-97.1 32.6,-97.1 32.5,-97.2 32.5))"
10227,-97.1,32.5,"POLYGON((-97.1 32.5,-97.1 32.6,-97.0 32.6,-97.0 32.5,-97.1 32.5))"
3376,-97.6,32.6,"POLYGON((-97.6 32.6,-97.6 32.7,-97.5 32.7,-97.5 32.6,-97.6 32.6))"
19528,-97.5,32.6,"POLYGON((-97.5 32.6,-97.5 32.7,-97.4 32.7,-97.4 32.6,-97.5 32.6))"
52083,-97.4,32.6,"POLYGON((-97.4 32.6,-97.4 32.7,-97.3 32.7,-97.3 32.6,-97.4 32.6))"
27739,-97.3,32.6,"POLYGON((-97.3 32.6,-97.3 32.7,-97.2 32.7,-97.2 32.6,-97.3 32.6))"
51213,-97.2,32.6,"POLYGON((-97.2 32.6,-97.2 32.7,-97.1 32.7,-97.1 32.6,-97.2 32.6))"
27213,-97.1,32.6,"POLYGON((-97.1 32.6,-97.1 32.7,-97.0 32.7,-97.0 32.6,-97.1 32.6))"
6810,-97.6,32.7,"POLYGON((-97.6 32.7,-97.6 32.8,-97.5 32.8,-97.5 32.7,-97.6 32.7))"
32889,-97.5,32.7,"POLYGON((-97.5 32.7,-97.5 32.8,-97.4 32.8,-97.4 32.7,-97.5 32.7))"
55991,-97.4,32.7,"POLYGON((-97.4 32.7,-97.4 32.8,-97.3 32.8,-97.3 32.7,-97.4 32.7))"
40856,-97.3,32.7,"POLYGON((-97.3 32.7,-97.3 32.8,-97.2 32.8,-97.2 32.7,-97.3 32.7))"
39812,-97.2,32.7,"POLYGON((-97.2 32.7,-97.2 32.8,-97.1 32.8,-97.1 32.7,-97.2 32.7))"
23241,-97.1,32.7,"POLYGON((-97.1 32.7,-97.1 32.8,-97.0 32.8,-97.0 32.7,-97.1 32.7))"
5973,-97.6,32.8,"POLYGON((-97.6 32.8,-97.6 32.9,-97.5 32.9,-97.5 32.8,-97.6 32.8))"
21642,-97.5,32.8,"POLYGON((-97.5 32.8,-97.5 32.9,-97.4 32.9,-97.4 32.8,-97.5 32.8))"
35884,-97.4,32.8,"POLYGON((-97.4 32.8,-97.4 32.9,-97.3 32.9,-97.3 32.8,-97.4 32.8))"
56899,-97.3,32.8,"POLYGON((-97.3 32.8,-97.3 32.9,-97.2 32.9,-97.2 32.8,-97.3 32.8))"
47728,-97.2,32.8,"POLYGON((-97.2 32.8,-97.2 32.9,-97.1 32.9,-97.1 32.8,-97.2 32.8))"
18421,-97.1,32.8,"POLYGON((-97.1 32.8,-97.1 32.9,-97.0 32.9,-97.0 32.8,-97.1 32.8))"
5661,-97.6,32.9,"POLYGON((-97.6 32.9,-97.6 33.0,-97.5 33.0,-97.5 32.9,-97.6 32.9))"
5398,-97.5,32.9,"POLYGON((-97.5 32.9,-97.5 33.0,-97.4 33.0,-97.4 32.9,-97.5 32.9))"
21158,-97.4,32.9,"POLYGON((-97.4 32.9,-97.4 33.0,-97.3 33.0,-97.3 32.9,-97.4 32.9))"
36984,-97.3,32.9,"POLYGON((-97.3 32.9,-97.3 33.0,-97.2 33.0,-97.2 32.9,-97.3 32.9))"
24715,-97.2,32.9,"POLYGON((-97.2 32.9,-97.2 33.0,-97.1 33.0,-97.1 32.9,-97.2 32.9))"
8241,-97.1,32.9,"POLYGON((-97.1 32.9,-97.1 33.0,-97.0 33.0,-97.0 32.9,-97.1 32.9))"
