count,lon,lat,area
7,-97.1,33.3,"POLYGON((-97.1 33.3,-97.1 33.4,-97.0 33.4,-97.0 33.3,-97.1 33.3))"
12,-96.6,33.3,"POLYGON((-96.6 33.3,-96.6 33.4,-96.5 33.4,-96.5 33.3,-96.6 33.3))"
20,-96.5,33.3,"POLYGON((-96.5 33.3,-96.5 33.4,-96.4 33.4,-96.4 33.3,-96.5 33.3))"
520,-96.4,33.3,"POLYGON((-96.4 33.3,-96.4 33.4,-96.3 33.4,-96.3 33.3,-96.4 33.3))"
1129,-96.3,33.3,"POLYGON((-96.3 33.3,-96.3 33.4,-96.2 33.4,-96.2 33.3,-96.3 33.3))"
67,-96.2,33.3,"POLYGON((-96.2 33.3,-96.2 33.4,-96.1 33.4,-96.1 33.3,-96.2 33.3))"
36,-96.1,33.3,"POLYGON((-96.1 33.3,-96.1 33.4,-96.0 33.4,-96.0 33.3,-96.1 33.3))"
8,-96.0,33.3,"POLYGON((-96.0 33.3,-96.0 33.4,-95.9 33.4,-95.9 33.3,-96.0 33.3))"
181,-97.5,33.4,"POLYGON((-97.5 33.4,-97.5 33.5,-97.4 33.5,-97.4 33.4,-97.5 33.4))"
95,-97.4,33.4,"POLYGON((-97.4 33.4,-97.4 33.5,-97.3 33.5,-97.3 33.4,-97.4 33.4))"
514,-97.3,33.4,"POLYGON((-97.3 33.4,-97.3 33.5,-97.2 33.5,-97.2 33.4,-97.3 33.4))"
565,-97.2,33.4,"POLYGON((-97.2 33.4,-97.2 33.5,-97.1 33.5,-97.1 33.4,-97.2 33.4))"
1338,-97.1,33.4,"POLYGON((-97.1 33.4,-97.1 33.5,-97.0 33.5,-97.0 33.4,-97.1 33.4))"
668,-97.0,33.4,"POLYGON((-97.0 33.4,-97.0 33.5,-96.9 33.5,-96.9 33.4,-97.0 33.4))"
290,-96.9,33.4,"POLYGON((-96.9 33.4,-96.9 33.5,-96.8 33.5,-96.8 33.4,-96.9 33.4))"
1507,-96.8,33.4,"POLYGON((-96.8 33.4,-96.8 33.5,-96.7 33.5,-96.7 33.4,-96.8 33.4))"
1196,-96.7,33.4,"POLYGON((-96.7 33.4,-96.7 33.5,-96.6 33.5,-96.6 33.4,-96.7 33.4))"
3147,-96.6,33.4,"POLYGON((-96.6 33.4,-96.6 33.5,-96.5 33.5,-96.5 33.4,-96.6 33.4))"
1106,-96.5,33.4,"POLYGON((-96.5 33.4,-96.5 33.5,-96.4 33.5,-96.4 33.4,-96.5 33.4))"
