count,lon,lat,area
18,-95.8,30.5,"POLYGON((-95.8 30.5,-95.8 30.6,-95.7 30.6,-95.7 30.5,-95.8 30.5))"
337,-95.7,30.5,"POLYGON((-95.7 30.5,-95.7 30.6,-95.6 30.6,-95.6 30.5,-95.7 30.5))"
885,-95.6,30.5,"POLYGON((-95.6 30.5,-95.6 30.6,-95.5 30.6,-95.5 30.5,-95.6 30.5))"
1488,-95.5,30.5,"POLYGON((-95.5 30.5,-95.5 30.6,-95.4 30.6,-95.4 30.5,-95.5 30.5))"
299,-95.4,30.5,"POLYGON((-95.4 30.5,-95.4 30.6,-95.3 30.6,-95.3 30.5,-95.4 30.5))"
120,-95.9,30.6,"POLYGON((-95.9 30.6,-95.9 30.7,-95.8 30.7,-95.8 30.6,-95.9 30.6))"
483,-95.8,30.6,"POLYGON((-95.8 30.6,-95.8 30.7,-95.7 30.7,-95.7 30.6,-95.8 30.6))"
1066,-95.7,30.6,"POLYGON((-95.7 30.6,-95.7 30.7,-95.6 30.7,-95.6 30.6,-95.7 30.6))"
4110,-95.6,30.6,"POLYGON((-95.6 30.6,-95.6 30.7,-95.5 30.7,-95.5 30.6,-95.6 30.6))"
825,-95.5,30.6,"POLYGON((-95.5 30.6,-95.5 30.7,-95.4 30.7,-95.4 30.6,-95.5 30.6))"
104,-95.4,30.6,"POLYGON((-95.4 30.6,-95.4 30.7,-95.3 30.7,-95.3 30.6,-95.4 30.6))"
155,-95.9,30.7,"POLYGON((-95.9 30.7,-95.9 30.8,-95.8 30.8,-95.8 30.7,-95.9 30.7))"
424,-95.8,30.7,"POLYGON((-95.8 30.7,-95.8 30.8,-95.7 30.8,-95.7 30.7,-95.8 30.7))"
1570,-95.7,30.7,"POLYGON((-95.7 30.7,-95.7 30.8,-95.6 30.8,-95.6 30.7,-95.7 30.7))"
8097,-95.6,30.7,"POLYGON((-95.6 30.7,-95.6 30.8,-95.5 30.8,-95.5 30.7,-95.6 30.7))"
1657,-95.5,30.7,"POLYGON((-95.5 30.7,-95.5 30.8,-95.4 30.8,-95.4 30.7,-95.5 30.7))"
412,-95.4,30.7,"POLYGON((-95.4 30.7,-95.4 30.8,-95.3 30.8,-95.3 30.7,-95.4 30.7))"
88,-95.9,30.8,"POLYGON((-95.9 30.8,-95.9 30.9,-95.8 30.9,-95.8 30.8,-95.9 30.8))"
202,-95.8,30.8,"POLYGON((-95.8 30.8,-95.8 30.9,-95.7 30.9,-95.7 30.8,-95.8 30.8))"
158,-95.7,30.8,"POLYGON((-95.7 30.8,-95.7 30.9,-95.6 30.9,-95.6 30.8,-95.7 30.8))"
658,-95.6,30.8,"POLYGON((-95.6 30.8,-95.6 30.9,-95.5 30.9,-95.5 30.8,-95.6 30.8))"
2003,-95.5,30.8,"POLYGON((-95.5 30.8,-95.5 30.9,-95.4 30.9,-95.4 30.8,-95.5 30.8))"
1299,-95.4,30.8,"POLYGON((-95.4 30.8,-95.4 30.9,-95.3 30.9,-95.3 30.8,-95.4 30.8))"
24,-95.7,30.9,"POLYGON((-95.7 30.9,-95.7 31.0,-95.6 31.0,-95.6 30.9,-95.7 30.9))"
126,-95.6,30.9,"POLYGON((-95.6 30.9,-95.6 31.0,-95.5 31.0,-95.5 30.9,-95.6 30.9))"
212,-95.5,30.9,"POLYGON((-95.5 30.9,-95.5 31.0,-95.4 31.0,-95.4 30.9,-95.5 30.9))"
76,-95.5,31.0,"POLYGON((-95.5 31.0,-95.5 31.1,-95.4 31.1,-95.4 31.0,-95.5 31.0))"
