count,lon,lat,area
1,-99.0,33.8,"POLYGON((-99.0 33.8,-99.0 33.9,-98.9 33.9,-98.9 33.8,-99.0 33.8))"
198,-98.9,33.8,"POLYGON((-98.9 33.8,-98.9 33.9,-98.8 33.9,-98.8 33.8,-98.9 33.8))"
374,-98.8,33.8,"POLYGON((-98.8 33.8,-98.8 33.9,-98.7 33.9,-98.7 33.8,-98.8 33.8))"
490,-98.7,33.8,"POLYGON((-98.7 33.8,-98.7 33.9,-98.6 33.9,-98.6 33.8,-98.7 33.8))"
31,-98.6,33.8,"POLYGON((-98.6 33.8,-98.6 33.9,-98.5 33.9,-98.5 33.8,-98.6 33.8))"
57,-98.5,33.8,"POLYGON((-98.5 33.8,-98.5 33.9,-98.4 33.9,-98.4 33.8,-98.5 33.8))"
11,-99.0,33.9,"POLYGON((-99.0 33.9,-99.0 34.0,-98.9 34.0,-98.9 33.9,-99.0 33.9))"
26,-98.9,33.9,"POLYGON((-98.9 33.9,-98.9 34.0,-98.8 34.0,-98.8 33.9,-98.9 33.9))"
212,-98.8,33.9,"POLYGON((-98.8 33.9,-98.8 34.0,-98.7 34.0,-98.7 33.9,-98.8 33.9))"
959,-98.7,33.9,"POLYGON((-98.7 33.9,-98.7 34.0,-98.6 34.0,-98.6 33.9,-98.7 33.9))"
347,-98.6,33.9,"POLYGON((-98.6 33.9,-98.6 34.0,-98.5 34.0,-98.5 33.9,-98.6 33.9))"
543,-98.5,33.9,"POLYGON((-98.5 33.9,-98.5 34.0,-98.4 34.0,-98.4 33.9,-98.5 33.9))"
162,-99.0,34.0,"POLYGON((-99.0 34.0,-99.0 34.1,-98.9 34.1,-98.9 34.0,-99.0 34.0))"
41,-98.9,34.0,"POLYGON((-98.9 34.0,-98.9 34.1,-98.8 34.1,-98.8 34.0,-98.9 34.0))"
64,-98.8,34.0,"POLYGON((-98.8 34.0,-98.8 34.1,-98.7 34.1,-98.7 34.0,-98.8 34.0))"
178,-98.7,34.0,"POLYGON((-98.7 34.0,-98.7 34.1,-98.6 34.1,-98.6 34.0,-98.7 34.0))"
200,-98.6,34.0,"POLYGON((-98.6 34.0,-98.6 34.1,-98.5 34.1,-98.5 34.0,-98.6 34.0))"
238,-98.5,34.0,"POLYGON((-98.5 34.0,-98.5 34.1,-98.4 34.1,-98.4 34.0,-98.5 34.0))"
42,-99.0,34.1,"POLYGON((-99.0 34.1,-99.0 34.2,-98.9 34.2,-98.9 34.1,-99.0 34.1))"
26,-98.9,34.1,"POLYGON((-98.9 34.1,-98.9 34.2,-98.8 34.2,-98.8 34.1,-98.9 34.1))"
7,-98.8,34.1,"POLYGON((-98.8 34.1,-98.8 34.2,-98.7 34.2,-98.7 34.1,-98.8 34.1))"
46,-98.7,34.1,"POLYGON((-98.7 34.1,-98.7 34.2,-98.6 34.2,-98.6 34.1,-98.7 34.1))"
115,-98.6,34.1,"POLYGON((-98.6 34.1,-98.6 34.2,-98.5 34.2,-98.5 34.1,-98.6 34.1))"
