count,lon,lat,area
146,-97.9,26.3,"POLYGON((-97.9 26.3,-97.9 26.4,-97.8 26.4,-97.8 26.3,-97.9 26.3))"
1010,-97.8,26.3,"POLYGON((-97.8 26.3,-97.8 26.4,-97.7 26.4,-97.7 26.3,-97.8 26.3))"
45,-97.7,26.3,"POLYGON((-97.7 26.3,-97.7 26.4,-97.6 26.4,-97.6 26.3,-97.7 26.3))"
70,-97.6,26.3,"POLYGON((-97.6 26.3,-97.6 26.4,-97.5 26.4,-97.5 26.3,-97.6 26.3))"
500,-98.0,26.4,"POLYGON((-98.0 26.4,-98.0 26.5,-97.9 26.5,-97.9 26.4,-98.0 26.4))"
297,-97.9,26.4,"POLYGON((-97.9 26.4,-97.9 26.5,-97.8 26.5,-97.8 26.4,-97.9 26.4))"
4314,-97.8,26.4,"POLYGON((-97.8 26.4,-97.8 26.5,-97.7 26.5,-97.7 26.4,-97.8 26.4))"
205,-97.7,26.4,"POLYGON((-97.7 26.4,-97.7 26.5,-97.6 26.5,-97.6 26.4,-97.7 26.4))"
15,-97.6,26.4,"POLYGON((-97.6 26.4,-97.6 26.5,-97.5 26.5,-97.5 26.4,-97.6 26.4))"
6,-98.0,26.5,"POLYGON((-98.0 26.5,-98.0 26.6,-97.9 26.6,-97.9 26.5,-98.0 26.5))"
49,-97.9,26.5,"POLYGON((-97.9 26.5,-97.9 26.6,-97.8 26.6,-97.8 26.5,-97.9 26.5))"
143,-97.8,26.5,"POLYGON((-97.8 26.5,-97.8 26.6,-97.7 26.6,-97.7 26.5,-97.8 26.5))"
212,-97.7,26.5,"POLYGON((-97.7 26.5,-97.7 26.6,-97.6 26.6,-97.6 26.5,-97.7 26.5))"
730,-97.5,26.5,"POLYGON((-97.5 26.5,-97.5 26.6,-97.4 26.6,-97.4 26.5,-97.5 26.5))"
