count,lon,lat,area
13,-99.0,32.9,"POLYGON((-99.0 32.9,-99.0 33.0,-98.9 33.0,-98.9 32.9,-99.0 32.9))"
6,-98.9,32.9,"POLYGON((-98.9 32.9,-98.9 33.0,-98.8 33.0,-98.8 32.9,-98.9 32.9))"
90,-98.8,32.9,"POLYGON((-98.8 32.9,-98.8 33.0,-98.7 33.0,-98.7 32.9,-98.8 32.9))"
45,-98.7,32.9,"POLYGON((-98.7 32.9,-98.7 33.0,-98.6 33.0,-98.6 32.9,-98.7 32.9))"
51,-98.6,32.9,"POLYGON((-98.6 32.9,-98.6 33.0,-98.5 33.0,-98.5 32.9,-98.6 32.9))"
29,-98.5,32.9,"POLYGON((-98.5 32.9,-98.5 33.0,-98.4 33.0,-98.4 32.9,-98.5 32.9))"
20,-99.0,33.0,"POLYGON((-99.0 33.0,-99.0 33.1,-98.9 33.1,-98.9 33.0,-99.0 33.0))"
42,-98.9,33.0,"POLYGON((-98.9 33.0,-98.9 33.1,-98.8 33.1,-98.8 33.0,-98.9 33.0))"
56,-98.8,33.0,"POLYGON((-98.8 33.0,-98.8 33.1,-98.7 33.1,-98.7 33.0,-98.8 33.0))"
421,-98.7,33.0,"POLYGON((-98.7 33.0,-98.7 33.1,-98.6 33.1,-98.6 33.0,-98.7 33.0))"
2469,-98.6,33.0,"POLYGON((-98.6 33.0,-98.6 33.1,-98.5 33.1,-98.5 33.0,-98.6 33.0))"
105,-98.5,33.0,"POLYGON((-98.5 33.0,-98.5 33.1,-98.4 33.1,-98.4 33.0,-98.5 33.0))"
17,-99.0,33.1,"POLYGON((-99.0 33.1,-99.0 33.2,-98.9 33.2,-98.9 33.1,-99.0 33.1))"
28,-98.9,33.1,"POLYGON((-98.9 33.1,-98.9 33.2,-98.8 33.2,-98.8 33.1,-98.9 33.1))"
464,-98.8,33.1,"POLYGON((-98.8 33.1,-98.8 33.2,-98.7 33.2,-98.7 33.1,-98.8 33.1))"
537,-98.7,33.1,"POLYGON((-98.7 33.1,-98.7 33.2,-98.6 33.2,-98.6 33.1,-98.7 33.1))"
2832,-98.6,33.1,"POLYGON((-98.6 33.1,-98.6 33.2,-98.5 33.2,-98.5 33.1,-98.6 33.1))"
144,-98.5,33.1,"POLYGON((-98.5 33.1,-98.5 33.2,-98.4 33.2,-98.4 33.1,-98.5 33.1))"
15,-99.0,33.2,"POLYGON((-99.0 33.2,-99.0 33.3,-98.9 33.3,-98.9 33.2,-99.0 33.2))"
30,-98.9,33.2,"POLYGON((-98.9 33.2,-98.9 33.3,-98.8 33.3,-98.8 33.2,-98.9 33.2))"
50,-98.8,33.2,"POLYGON((-98.8 33.2,-98.8 33.3,-98.7 33.3,-98.7 33.2,-98.8 33.2))"
161,-98.7,33.2,"POLYGON((-98.7 33.2,-98.7 33.3,-98.6 33.3,-98.6 33.2,-98.7 33.2))"
251,-98.6,33.2,"POLYGON((-98.6 33.2,-98.6 33.3,-98.5 33.3,-98.5 33.2,-98.6 33.2))"
52,-98.5,33.2,"POLYGON((-98.5 33.2,-98.5 33.3,-98.4 33.3,-98.4 33.2,-98.5 33.2))"
15,-99.0,33.3,"POLYGON((-99.0 33.3,-99.0 33.4,-98.9 33.4,-98.9 33.3,-99.0 33.3))"
51,-98.9,33.3,"POLYGON((-98.9 33.3,-98.9 33.4,-98.8 33.4,-98.8 33.3,-98.9 33.3))"
2079,-98.8,33.3,"POLYGON((-98.8 33.3,-98.8 33.4,-98.7 33.4,-98.7 33.3,-98.8 33.3))"
66,-98.7,33.3,"POLYGON((-98.7 33.3,-98.7 33.4,-98.6 33.4,-98.6 33.3,-98.7 33.3))"
69,-98.6,33.3,"POLYGON((-98.6 33.3,-98.6 33.4,-98.5 33.4,-98.5 33.3,-98.6 33.3))"
40,-98.5,33.3,"POLYGON((-98.5 33.3,-98.5 33.4,-98.4 33.4,-98.4 33.3,-98.5 33.3))"
