count,lon,lat,area
1,-114.1,41.0,"POLYGON((-114.1 41.0,-114.1 41.1,-114.0 41.1,-114.0 41.0,-114.1 41.0))"
3,-114.0,41.0,"POLYGON((-114.0 41.0,-114.0 41.1,-113.9 41.1,-113.9 41.0,-114.0 41.0))"
2,-113.0,41.0,"POLYGON((-113.0 41.0,-113.0 41.1,-112.9 41.1,-112.9 41.0,-113.0 41.0))"
2,-114.0,41.1,"POLYGON((-114.0 41.1,-114.0 41.2,-113.9 41.2,-113.9 41.1,-114.0 41.1))"
5,-114.0,41.2,"POLYGON((-114.0 41.2,-114.0 41.3,-113.9 41.3,-113.9 41.2,-114.0 41.2))"
2,-112.5,41.2,"POLYGON((-112.5 41.2,-112.5 41.3,-112.4 41.3,-112.4 41.2,-112.5 41.2))"
3,-114.1,41.3,"POLYGON((-114.1 41.3,-114.1 41.4,-114.0 41.4,-114.0 41.3,-114.1 41.3))"
3,-114.0,41.3,"POLYGON((-114.0 41.3,-114.0 41.4,-113.9 41.4,-113.9 41.3,-114.0 41.3))"
2,-113.9,41.3,"POLYGON((-113.9 41.3,-113.9 41.4,-113.8 41.4,-113.8 41.3,-113.9 41.3))"
1,-112.5,41.3,"POLYGON((-112.5 41.3,-112.5 41.4,-112.4 41.4,-112.4 41.3,-112.5 41.3))"
829,-112.1,41.3,"POLYGON((-112.1 41.3,-112.1 41.4,-112.0 41.4,-112.0 41.3,-112.1 41.3))"
1,-114.1,41.4,"POLYGON((-114.1 41.4,-114.1 41.5,-114.0 41.5,-114.0 41.4,-114.1 41.4))"
2,-114.0,41.4,"POLYGON((-114.0 41.4,-114.0 41.5,-113.9 41.5,-113.9 41.4,-114.0 41.4))"
1,-113.8,41.4,"POLYGON((-113.8 41.4,-113.8 41.5,-113.7 41.5,-113.7 41.4,-113.8 41.4))"
1,-113.7,41.4,"POLYGON((-113.7 41.4,-113.7 41.5,-113.6 41.5,-113.6 41.4,-113.7 41.4))"
11,-112.5,41.4,"POLYGON((-112.5 41.4,-112.5 41.5,-112.4 41.5,-112.4 41.4,-112.5 41.4))"
5,-112.2,41.4,"POLYGON((-112.2 41.4,-112.2 41.5,-112.1 41.5,-112.1 41.4,-112.2 41.4))"
4673,-112.1,41.4,"POLYGON((-112.1 41.4,-112.1 41.5,-112.0 41.5,-112.0 41.4,-112.1 41.4))"
374,-112.0,41.4,"POLYGON((-112.0 41.4,-112.0 41.5,-111.9 41.5,-111.9 41.4,-112.0 41.4))"
4,-114.0,41.5,"POLYGON((-114.0 41.5,-114.0 41.6,-113.9 41.6,-113.9 41.5,-114.0 41.5))"
1,-113.5,41.5,"POLYGON((-113.5 41.5,-113.5 41.6,-113.4 41.6,-113.4 41.5,-113.5 41.5))"
2,-113.4,41.5,"POLYGON((-113.4 41.5,-113.4 41.6,-113.3 41.6,-113.3 41.5,-113.4 41.5))"
1,-112.8,41.5,"POLYGON((-112.8 41.5,-112.8 41.6,-112.7 41.6,-112.7 41.5,-112.8 41.5))"
1,-112.7,41.5,"POLYGON((-112.7 41.5,-112.7 41.6,-112.6 41.6,-112.6 41.5,-112.7 41.5))"
8,-112.5,41.5,"POLYGON((-112.5 41.5,-112.5 41.6,-112.4 41.6,-112.4 41.5,-112.5 41.5))"
14,-112.3,41.5,"POLYGON((-112.3 41.5,-112.3 41.6,-112.2 41.6,-112.2 41.5,-112.3 41.5))"
610,-112.2,41.5,"POLYGON((-112.2 41.5,-112.2 41.6,-112.1 41.6,-112.1 41.5,-112.2 41.5))"
5109,-112.1,41.5,"POLYGON((-112.1 41.5,-112.1 41.6,-112.0 41.6,-112.0 41.5,-112.1 41.5))"
411,-112.0,41.5,"POLYGON((-112.0 41.5,-112.0 41.6,-111.9 41.6,-111.9 41.5,-112.0 41.5))"
13,-114.0,41.6,"POLYGON((-114.0 41.6,-114.0 41.7,-113.9 41.7,-113.9 41.6,-114.0 41.6))"
4,-113.9,41.6,"POLYGON((-113.9 41.6,-113.9 41.7,-113.8 41.7,-113.8 41.6,-113.9 41.6))"
3,-113.7,41.6,"POLYGON((-113.7 41.6,-113.7 41.7,-113.6 41.7,-113.6 41.6,-113.7 41.6))"
2,-113.6,41.6,"POLYGON((-113.6 41.6,-113.6 41.7,-113.5 41.7,-113.5 41.6,-113.6 41.6))"
2,-113.5,41.6,"POLYGON((-113.5 41.6,-113.5 41.7,-113.4 41.7,-113.4 41.6,-113.5 41.6))"
2,-112.7,41.6,"POLYGON((-112.7 41.6,-112.7 41.7,-112.6 41.7,-112.6 41.6,-112.7 41.6))"
6,-112.6,41.6,"POLYGON((-112.6 41.6,-112.6 41.7,-112.5 41.7,-112.5 41.6,-112.6 41.6))"
7,-112.5,41.6,"POLYGON((-112.5 41.6,-112.5 41.7,-112.4 41.7,-112.4 41.6,-112.5 41.6))"
89,-112.4,41.6,"POLYGON((-112.4 41.6,-112.4 41.7,-112.3 41.7,-112.3 41.6,-112.4 41.6))"
254,-112.3,41.6,"POLYGON((-112.3 41.6,-112.3 41.7,-112.2 41.7,-112.2 41.6,-112.3 41.6))"
1337,-112.2,41.6,"POLYGON((-112.2 41.6,-112.2 41.7,-112.1 41.7,-112.1 41.6,-112.2 41.6))"
620,-112.1,41.6,"POLYGON((-112.1 41.6,-112.1 41.7,-112.0 41.7,-112.0 41.6,-112.1 41.6))"
66,-113.9,41.7,"POLYGON((-113.9 41.7,-113.9 41.8,-113.8 41.8,-113.8 41.7,-113.9 41.7))"
185,-113.6,41.7,"POLYGON((-113.6 41.7,-113.6 41.8,-113.5 41.8,-113.5 41.7,-113.6 41.7))"
7,-113.5,41.7,"POLYGON((-113.5 41.7,-113.5 41.8,-113.4 41.8,-113.4 41.7,-113.5 41.7))"
2,-113.4,41.7,"POLYGON((-113.4 41.7,-113.4 41.8,-113.3 41.8,-113.3 41.7,-113.4 41.7))"
3,-113.2,41.7,"POLYGON((-113.2 41.7,-113.2 41.8,-113.1 41.8,-113.1 41.7,-113.2 41.7))"
1,-112.8,41.7,"POLYGON((-112.8 41.7,-112.8 41.8,-112.7 41.8,-112.7 41.7,-112.8 41.7))"
