count,lon,lat,area
4,-110.9,39.8,"POLYGON((-110.9 39.8,-110.9 39.9,-110.8 39.9,-110.8 39.8,-110.9 39.8))"
133,-110.8,39.8,"POLYGON((-110.8 39.8,-110.8 39.9,-110.7 39.9,-110.7 39.8,-110.8 39.8))"
45,-110.7,39.8,"POLYGON((-110.7 39.8,-110.7 39.9,-110.6 39.9,-110.6 39.8,-110.7 39.8))"
5,-110.6,39.8,"POLYGON((-110.6 39.8,-110.6 39.9,-110.5 39.9,-110.5 39.8,-110.6 39.8))"
3,-110.5,39.8,"POLYGON((-110.5 39.8,-110.5 39.9,-110.4 39.9,-110.4 39.8,-110.5 39.8))"
4,-110.4,39.8,"POLYGON((-110.4 39.8,-110.4 39.9,-110.3 39.9,-110.3 39.8,-110.4 39.8))"
3,-110.3,39.8,"POLYGON((-110.3 39.8,-110.3 39.9,-110.2 39.9,-110.2 39.8,-110.3 39.8))"
1,-110.1,39.8,"POLYGON((-110.1 39.8,-110.1 39.9,-110.0 39.9,-110.0 39.8,-110.1 39.8))"
1,-110.9,39.9,"POLYGON((-110.9 39.9,-110.9 40.0,-110.8 40.0,-110.8 39.9,-110.9 39.9))"
2,-110.7,39.9,"POLYGON((-110.7 39.9,-110.7 40.0,-110.6 40.0,-110.6 39.9,-110.7 39.9))"
1,-110.2,39.9,"POLYGON((-110.2 39.9,-110.2 40.0,-110.1 40.0,-110.1 39.9,-110.2 39.9))"
1,-110.9,40.0,"POLYGON((-110.9 40.0,-110.9 40.1,-110.8 40.1,-110.8 40.0,-110.9 40.0))"
3,-110.8,40.0,"POLYGON((-110.8 40.0,-110.8 40.1,-110.7 40.1,-110.7 40.0,-110.8 40.0))"
5,-110.7,40.0,"POLYGON((-110.7 40.0,-110.7 40.1,-110.6 40.1,-110.6 40.0,-110.7 40.0))"
10,-110.6,40.0,"POLYGON((-110.6 40.0,-110.6 40.1,-110.5 40.1,-110.5 40.0,-110.6 40.0))"
3,-110.4,40.0,"POLYGON((-110.4 40.0,-110.4 40.1,-110.3 40.1,-110.3 40.0,-110.4 40.0))"
1,-110.1,40.0,"POLYGON((-110.1 40.0,-110.1 40.1,-110.0 40.1,-110.0 40.0,-110.1 40.0))"
283,-110.9,40.1,"POLYGON((-110.9 40.1,-110.9 40.2,-110.8 40.2,-110.8 40.1,-110.9 40.1))"
332,-110.8,40.1,"POLYGON((-110.8 40.1,-110.8 40.2,-110.7 40.2,-110.7 40.1,-110.8 40.1))"
405,-110.7,40.1,"POLYGON((-110.7 40.1,-110.7 40.2,-110.6 40.2,-110.6 40.1,-110.7 40.1))"
