count,lon,lat,area
2,-79.1,37.3,"POLYGON((-79.1 37.3,-79.1 37.4,-79.0 37.4,-79.0 37.3,-79.1 37.3))"
106,-79.3,37.4,"POLYGON((-79.3 37.4,-79.3 37.5,-79.2 37.5,-79.2 37.4,-79.3 37.4))"
5352,-79.2,37.4,"POLYGON((-79.2 37.4,-79.2 37.5,-79.1 37.5,-79.1 37.4,-79.2 37.4))"
2573,-79.1,37.4,"POLYGON((-79.1 37.4,-79.1 37.5,-79.0 37.5,-79.0 37.4,-79.1 37.4))"
96,-79.0,37.4,"POLYGON((-79.0 37.4,-79.0 37.5,-78.9 37.5,-78.9 37.4,-79.0 37.4))"
208,-79.4,37.5,"POLYGON((-79.4 37.5,-79.4 37.6,-79.3 37.6,-79.3 37.5,-79.4 37.5))"
605,-79.3,37.5,"POLYGON((-79.3 37.5,-79.3 37.6,-79.2 37.6,-79.2 37.5,-79.3 37.5))"
1498,-79.2,37.5,"POLYGON((-79.2 37.5,-79.2 37.6,-79.1 37.6,-79.1 37.5,-79.2 37.5))"
2423,-79.1,37.5,"POLYGON((-79.1 37.5,-79.1 37.6,-79.0 37.6,-79.0 37.5,-79.1 37.5))"
433,-79.0,37.5,"POLYGON((-79.0 37.5,-79.0 37.6,-78.9 37.6,-78.9 37.5,-79.0 37.5))"
51,-78.9,37.5,"POLYGON((-78.9 37.5,-78.9 37.6,-78.8 37.6,-78.8 37.5,-78.9 37.5))"
1,-79.5,37.6,"POLYGON((-79.5 37.6,-79.5 37.7,-79.4 37.7,-79.4 37.6,-79.5 37.6))"
38,-79.4,37.6,"POLYGON((-79.4 37.6,-79.4 37.7,-79.3 37.7,-79.3 37.6,-79.4 37.6))"
352,-79.3,37.6,"POLYGON((-79.3 37.6,-79.3 37.7,-79.2 37.7,-79.2 37.6,-79.3 37.6))"
444,-79.2,37.6,"POLYGON((-79.2 37.6,-79.2 37.7,-79.1 37.7,-79.1 37.6,-79.2 37.6))"
1079,-79.1,37.6,"POLYGON((-79.1 37.6,-79.1 37.7,-79.0 37.7,-79.0 37.6,-79.1 37.6))"
453,-79.0,37.6,"POLYGON((-79.0 37.6,-79.0 37.7,-78.9 37.7,-78.9 37.6,-79.0 37.6))"
4,-79.4,37.7,"POLYGON((-79.4 37.7,-79.4 37.8,-79.3 37.8,-79.3 37.7,-79.4 37.7))"
174,-79.3,37.7,"POLYGON((-79.3 37.7,-79.3 37.8,-79.2 37.8,-79.2 37.7,-79.3 37.7))"
118,-79.2,37.7,"POLYGON((-79.2 37.7,-79.2 37.8,-79.1 37.8,-79.1 37.7,-79.2 37.7))"
206,-79.1,37.7,"POLYGON((-79.1 37.7,-79.1 37.8,-79.0 37.8,-79.0 37.7,-79.1 37.7))"
3,-79.0,37.7,"POLYGON((-79.0 37.7,-79.0 37.8,-78.9 37.8,-78.9 37.7,-79.0 37.7))"
1,-79.3,37.8,"POLYGON((-79.3 37.8,-79.3 37.9,-79.2 37.9,-79.2 37.8,-79.3 37.8))"
