count,lon,lat,area
1,-81.0,37.1,"POLYGON((-81.0 37.1,-81.0 37.2,-80.9 37.2,-80.9 37.1,-81.0 37.1))"
160,-80.9,37.1,"POLYGON((-80.9 37.1,-80.9 37.2,-80.8 37.2,-80.8 37.1,-80.9 37.1))"
161,-81.0,37.2,"POLYGON((-81.0 37.2,-81.0 37.3,-80.9 37.3,-80.9 37.2,-81.0 37.2))"
203,-80.9,37.2,"POLYGON((-80.9 37.2,-80.9 37.3,-80.8 37.3,-80.8 37.2,-80.9 37.2))"
720,-80.8,37.2,"POLYGON((-80.8 37.2,-80.8 37.3,-80.7 37.3,-80.7 37.2,-80.8 37.2))"
499,-80.7,37.2,"POLYGON((-80.7 37.2,-80.7 37.3,-80.6 37.3,-80.6 37.2,-80.7 37.2))"
341,-80.6,37.2,"POLYGON((-80.6 37.2,-80.6 37.3,-80.5 37.3,-80.5 37.2,-80.6 37.2))"
98,-80.5,37.2,"POLYGON((-80.5 37.2,-80.5 37.3,-80.4 37.3,-80.4 37.2,-80.5 37.2))"
2217,-80.9,37.3,"POLYGON((-80.9 37.3,-80.9 37.4,-80.8 37.4,-80.8 37.3,-80.9 37.3))"
2274,-80.8,37.3,"POLYGON((-80.8 37.3,-80.8 37.4,-80.7 37.4,-80.7 37.3,-80.8 37.3))"
1674,-80.7,37.3,"POLYGON((-80.7 37.3,-80.7 37.4,-80.6 37.4,-80.6 37.3,-80.7 37.3))"
694,-80.6,37.3,"POLYGON((-80.6 37.3,-80.6 37.4,-80.5 37.4,-80.5 37.3,-80.6 37.3))"
220,-80.5,37.3,"POLYGON((-80.5 37.3,-80.5 37.4,-80.4 37.4,-80.4 37.3,-80.5 37.3))"
32,-80.9,37.4,"POLYGON((-80.9 37.4,-80.9 37.5,-80.8 37.5,-80.8 37.4,-80.9 37.4))"
33,-80.7,37.4,"POLYGON((-80.7 37.4,-80.7 37.5,-80.6 37.5,-80.6 37.4,-80.7 37.4))"
91,-80.6,37.4,"POLYGON((-80.6 37.4,-80.6 37.5,-80.5 37.5,-80.5 37.4,-80.6 37.4))"
2,-80.5,37.4,"POLYGON((-80.5 37.4,-80.5 37.5,-80.4 37.5,-80.4 37.4,-80.5 37.4))"
