count,lon,lat,area
1772,-77.5,38.2,"POLYGON((-77.5 38.2,-77.5 38.3,-77.4 38.3,-77.4 38.2,-77.5 38.2))"
574,-77.4,38.2,"POLYGON((-77.4 38.2,-77.4 38.3,-77.3 38.3,-77.3 38.2,-77.4 38.2))"
125,-77.7,38.3,"POLYGON((-77.7 38.3,-77.7 38.4,-77.6 38.4,-77.6 38.3,-77.7 38.3))"
5976,-77.6,38.3,"POLYGON((-77.6 38.3,-77.6 38.4,-77.5 38.4,-77.5 38.3,-77.6 38.3))"
12444,-77.5,38.3,"POLYGON((-77.5 38.3,-77.5 38.4,-77.4 38.4,-77.4 38.3,-77.5 38.3))"
1699,-77.4,38.3,"POLYGON((-77.4 38.3,-77.4 38.4,-77.3 38.4,-77.3 38.3,-77.4 38.3))"
119,-77.3,38.3,"POLYGON((-77.3 38.3,-77.3 38.4,-77.2 38.4,-77.2 38.3,-77.3 38.3))"
760,-77.7,38.4,"POLYGON((-77.7 38.4,-77.7 38.5,-77.6 38.5,-77.6 38.4,-77.7 38.4))"
3702,-77.6,38.4,"POLYGON((-77.6 38.4,-77.6 38.5,-77.5 38.5,-77.5 38.4,-77.6 38.4))"
19844,-77.5,38.4,"POLYGON((-77.5 38.4,-77.5 38.5,-77.4 38.5,-77.4 38.4,-77.5 38.4))"
7748,-77.4,38.4,"POLYGON((-77.4 38.4,-77.4 38.5,-77.3 38.5,-77.3 38.4,-77.4 38.4))"
899,-77.6,38.5,"POLYGON((-77.6 38.5,-77.6 38.6,-77.5 38.6,-77.5 38.5,-77.6 38.5))"
452,-77.4,38.5,"POLYGON((-77.4 38.5,-77.4 38.6,-77.3 38.6,-77.3 38.5,-77.4 38.5))"
