count,lon,lat,area
78,-124.4,47.5,"POLYGON((-124.4 47.5,-124.4 47.6,-124.3 47.6,-124.3 47.5,-124.4 47.5))"
50,-124.3,47.5,"POLYGON((-124.3 47.5,-124.3 47.6,-124.2 47.6,-124.2 47.5,-124.3 47.5))"
1,-124.4,47.6,"POLYGON((-124.4 47.6,-124.4 47.7,-124.3 47.7,-124.3 47.6,-124.4 47.6))"
9,-124.3,47.6,"POLYGON((-124.3 47.6,-124.3 47.7,-124.2 47.7,-124.2 47.6,-124.3 47.6))"
8,-123.1,47.6,"POLYGON((-123.1 47.6,-123.1 47.7,-123.0 47.7,-123.0 47.6,-123.1 47.6))"
1111,-123.0,47.6,"POLYGON((-123.0 47.6,-123.0 47.7,-122.9 47.7,-122.9 47.6,-123.0 47.6))"
202,-122.9,47.6,"POLYGON((-122.9 47.6,-122.9 47.7,-122.8 47.7,-122.8 47.6,-122.9 47.6))"
69,-122.8,47.6,"POLYGON((-122.8 47.6,-122.8 47.7,-122.7 47.7,-122.7 47.6,-122.8 47.6))"
42,-124.5,47.7,"POLYGON((-124.5 47.7,-124.5 47.8,-124.4 47.8,-124.4 47.7,-124.5 47.7))"
32,-124.4,47.7,"POLYGON((-124.4 47.7,-124.4 47.8,-124.3 47.8,-124.3 47.7,-124.4 47.7))"
15,-124.3,47.7,"POLYGON((-124.3 47.7,-124.3 47.8,-124.2 47.8,-124.2 47.7,-124.3 47.7))"
2,-124.2,47.7,"POLYGON((-124.2 47.7,-124.2 47.8,-124.1 47.8,-124.1 47.7,-124.2 47.7))"
1,-124.1,47.7,"POLYGON((-124.1 47.7,-124.1 47.8,-124.0 47.8,-124.0 47.7,-124.1 47.7))"
8,-123.1,47.7,"POLYGON((-123.1 47.7,-123.1 47.8,-123.0 47.8,-123.0 47.7,-123.1 47.7))"
239,-123.0,47.7,"POLYGON((-123.0 47.7,-123.0 47.8,-122.9 47.8,-122.9 47.7,-123.0 47.7))"
391,-122.9,47.7,"POLYGON((-122.9 47.7,-122.9 47.8,-122.8 47.8,-122.8 47.7,-122.9 47.7))"
228,-122.8,47.7,"POLYGON((-122.8 47.7,-122.8 47.8,-122.7 47.8,-122.7 47.7,-122.8 47.7))"
31,-124.4,47.8,"POLYGON((-124.4 47.8,-124.4 47.9,-124.3 47.9,-124.3 47.8,-124.4 47.8))"
17,-124.3,47.8,"POLYGON((-124.3 47.8,-124.3 47.9,-124.2 47.9,-124.2 47.8,-124.3 47.8))"
17,-124.2,47.8,"POLYGON((-124.2 47.8,-124.2 47.9,-124.1 47.9,-124.1 47.8,-124.2 47.8))"
29,-124.1,47.8,"POLYGON((-124.1 47.8,-124.1 47.9,-124.0 47.9,-124.0 47.8,-124.1 47.8))"
95,-123.0,47.8,"POLYGON((-123.0 47.8,-123.0 47.9,-122.9 47.9,-122.9 47.8,-123.0 47.8))"
905,-122.9,47.8,"POLYGON((-122.9 47.8,-122.9 47.9,-122.8 47.9,-122.8 47.8,-122.9 47.8))"
130,-122.8,47.8,"POLYGON((-122.8 47.8,-122.8 47.9,-122.7 47.9,-122.7 47.8,-122.8 47.8))"
823,-122.7,47.8,"POLYGON((-122.7 47.8,-122.7 47.9,-122.6 47.9,-122.6 47.8,-122.7 47.8))"
20,-123.0,47.9,"POLYGON((-123.0 47.9,-123.0 48.0,-122.9 48.0,-122.9 47.9,-123.0 47.9))"
421,-122.9,47.9,"POLYGON((-122.9 47.9,-122.9 48.0,-122.8 48.0,-122.8 47.9,-122.9 47.9))"
1124,-122.8,47.9,"POLYGON((-122.8 47.9,-122.8 48.0,-122.7 48.0,-122.7 47.9,-122.8 47.9))"
1941,-122.7,47.9,"POLYGON((-122.7 47.9,-122.7 48.0,-122.6 48.0,-122.6 47.9,-122.7 47.9))"
249,-123.0,48.0,"POLYGON((-123.0 48.0,-123.0 48.1,-122.9 48.1,-122.9 48.0,-123.0 48.0))"
2035,-122.9,48.0,"POLYGON((-122.9 48.0,-122.9 48.1,-122.8 48.1,-122.8 48.0,-122.9 48.0))"
3619,-122.8,48.0,"POLYGON((-122.8 48.0,-122.8 48.1,-122.7 48.1,-122.7 48.0,-122.8 48.0))"
565,-122.7,48.0,"POLYGON((-122.7 48.0,-122.7 48.1,-122.6 48.1,-122.6 48.0,-122.7 48.0))"
1399,-122.9,48.1,"POLYGON((-122.9 48.1,-122.9 48.2,-122.8 48.2,-122.8 48.1,-122.9 48.1))"
5281,-122.8,48.1,"POLYGON((-122.8 48.1,-122.8 48.2,-122.7 48.2,-122.7 48.1,-122.8 48.1))"
3,-122.7,48.1,"POLYGON((-122.7 48.1,-122.7 48.2,-122.6 48.2,-122.6 48.1,-122.7 48.1))"
