count,lon,lat,area
1150,-122.1,47.1,"POLYGON((-122.1 47.1,-122.1 47.2,-122.0 47.2,-122.0 47.1,-122.1 47.1))"
1836,-122.0,47.1,"POLYGON((-122.0 47.1,-122.0 47.2,-121.9 47.2,-121.9 47.1,-122.0 47.1))"
1,-121.8,47.1,"POLYGON((-121.8 47.1,-121.8 47.2,-121.7 47.2,-121.7 47.1,-121.8 47.1))"
35,-121.7,47.1,"POLYGON((-121.7 47.1,-121.7 47.2,-121.6 47.2,-121.6 47.1,-121.7 47.1))"
6689,-122.4,47.2,"POLYGON((-122.4 47.2,-122.4 47.3,-122.3 47.3,-122.3 47.2,-122.4 47.2))"
14310,-122.3,47.2,"POLYGON((-122.3 47.2,-122.3 47.3,-122.2 47.3,-122.2 47.2,-122.3 47.2))"
3717,-122.2,47.2,"POLYGON((-122.2 47.2,-122.2 47.3,-122.1 47.3,-122.1 47.2,-122.2 47.2))"
3261,-122.1,47.2,"POLYGON((-122.1 47.2,-122.1 47.3,-122.0 47.3,-122.0 47.2,-122.1 47.2))"
3283,-122.0,47.2,"POLYGON((-122.0 47.2,-122.0 47.3,-121.9 47.3,-121.9 47.2,-122.0 47.2))"
13,-121.9,47.2,"POLYGON((-121.9 47.2,-121.9 47.3,-121.8 47.3,-121.8 47.2,-121.9 47.2))"
2,-121.8,47.2,"POLYGON((-121.8 47.2,-121.8 47.3,-121.7 47.3,-121.7 47.2,-121.8 47.2))"
2,-121.5,47.2,"POLYGON((-121.5 47.2,-121.5 47.3,-121.4 47.3,-121.4 47.2,-121.5 47.2))"
526,-122.6,47.3,"POLYGON((-122.6 47.3,-122.6 47.4,-122.5 47.4,-122.5 47.3,-122.6 47.3))"
1826,-122.5,47.3,"POLYGON((-122.5 47.3,-122.5 47.4,-122.4 47.4,-122.4 47.3,-122.5 47.3))"
22985,-122.4,47.3,"POLYGON((-122.4 47.3,-122.4 47.4,-122.3 47.4,-122.3 47.3,-122.4 47.3))"
26494,-122.3,47.3,"POLYGON((-122.3 47.3,-122.3 47.4,-122.2 47.4,-122.2 47.3,-122.3 47.3))"
24149,-122.2,47.3,"POLYGON((-122.2 47.3,-122.2 47.4,-122.1 47.4,-122.1 47.3,-122.2 47.3))"
19113,-122.1,47.3,"POLYGON((-122.1 47.3,-122.1 47.4,-122.0 47.4,-122.0 47.3,-122.1 47.3))"
1700,-122.0,47.3,"POLYGON((-122.0 47.3,-122.0 47.4,-121.9 47.4,-121.9 47.3,-122.0 47.3))"
407,-121.9,47.3,"POLYGON((-121.9 47.3,-121.9 47.4,-121.8 47.4,-121.8 47.3,-121.9 47.3))"
1,-121.6,47.3,"POLYGON((-121.6 47.3,-121.6 47.4,-121.5 47.4,-121.5 47.3,-121.6 47.3))"
91,-121.5,47.3,"POLYGON((-121.5 47.3,-121.5 47.4,-121.4 47.4,-121.4 47.3,-121.5 47.3))"
130,-121.4,47.3,"POLYGON((-121.4 47.3,-121.4 47.4,-121.3 47.4,-121.3 47.3,-121.4 47.3))"
362,-122.6,47.4,"POLYGON((-122.6 47.4,-122.6 47.5,-122.5 47.5,-122.5 47.4,-122.6 47.4))"
2610,-122.5,47.4,"POLYGON((-122.5 47.4,-122.5 47.5,-122.4 47.5,-122.4 47.4,-122.5 47.4))"
20489,-122.4,47.4,"POLYGON((-122.4 47.4,-122.4 47.5,-122.3 47.5,-122.3 47.4,-122.4 47.4))"
26545,-122.3,47.4,"POLYGON((-122.3 47.4,-122.3 47.5,-122.2 47.5,-122.2 47.4,-122.3 47.4))"
32040,-122.2,47.4,"POLYGON((-122.2 47.4,-122.2 47.5,-122.1 47.5,-122.1 47.4,-122.2 47.4))"
5456,-122.1,47.4,"POLYGON((-122.1 47.4,-122.1 47.5,-122.0 47.5,-122.0 47.4,-122.1 47.4))"
1419,-122.0,47.4,"POLYGON((-122.0 47.4,-122.0 47.5,-121.9 47.5,-121.9 47.4,-122.0 47.4))"
473,-121.9,47.4,"POLYGON((-121.9 47.4,-121.9 47.5,-121.8 47.5,-121.8 47.4,-121.9 47.4))"
5447,-121.8,47.4,"POLYGON((-121.8 47.4,-121.8 47.5,-121.7 47.5,-121.7 47.4,-121.8 47.4))"
105,-121.7,47.4,"POLYGON((-121.7 47.4,-121.7 47.5,-121.6 47.5,-121.6 47.4,-121.7 47.4))"
4,-121.6,47.4,"POLYGON((-121.6 47.4,-121.6 47.5,-121.5 47.5,-121.5 47.4,-121.6 47.4))"
319,-121.5,47.4,"POLYGON((-121.5 47.4,-121.5 47.5,-121.4 47.5,-121.4 47.4,-121.5 47.4))"
79,-121.4,47.4,"POLYGON((-121.4 47.4,-121.4 47.5,-121.3 47.5,-121.3 47.4,-121.4 47.4))"
2889,-122.5,47.5,"POLYGON((-122.5 47.5,-122.5 47.6,-122.4 47.6,-122.4 47.5,-122.5 47.5))"
51270,-122.4,47.5,"POLYGON((-122.4 47.5,-122.4 47.6,-122.3 47.6,-122.3 47.5,-122.4 47.5))"
34904,-122.3,47.5,"POLYGON((-122.3 47.5,-122.3 47.6,-122.2 47.6,-122.2 47.5,-122.3 47.5))"
