count,lon,lat,area
118,-123.2,46.7,"POLYGON((-123.2 46.7,-123.2 46.8,-123.1 46.8,-123.1 46.7,-123.2 46.7))"
783,-123.1,46.7,"POLYGON((-123.1 46.7,-123.1 46.8,-123.0 46.8,-123.0 46.7,-123.1 46.7))"
199,-123.0,46.7,"POLYGON((-123.0 46.7,-123.0 46.8,-122.9 46.8,-122.9 46.7,-123.0 46.7))"
303,-122.9,46.7,"POLYGON((-122.9 46.7,-122.9 46.8,-122.8 46.8,-122.8 46.7,-122.9 46.7))"
149,-122.8,46.7,"POLYGON((-122.8 46.7,-122.8 46.8,-122.7 46.8,-122.7 46.7,-122.8 46.7))"
108,-122.5,46.7,"POLYGON((-122.5 46.7,-122.5 46.8,-122.4 46.8,-122.4 46.7,-122.5 46.7))"
2,-122.3,46.7,"POLYGON((-122.3 46.7,-122.3 46.8,-122.2 46.8,-122.2 46.7,-122.3 46.7))"
525,-123.2,46.8,"POLYGON((-123.2 46.8,-123.2 46.9,-123.1 46.9,-123.1 46.8,-123.2 46.8))"
3427,-123.1,46.8,"POLYGON((-123.1 46.8,-123.1 46.9,-123.0 46.9,-123.0 46.8,-123.1 46.8))"
2016,-123.0,46.8,"POLYGON((-123.0 46.8,-123.0 46.9,-122.9 46.9,-122.9 46.8,-123.0 46.8))"
1921,-122.9,46.8,"POLYGON((-122.9 46.8,-122.9 46.9,-122.8 46.9,-122.8 46.8,-122.9 46.8))"
750,-122.8,46.8,"POLYGON((-122.8 46.8,-122.8 46.9,-122.7 46.9,-122.7 46.8,-122.8 46.8))"
1986,-122.7,46.8,"POLYGON((-122.7 46.8,-122.7 46.9,-122.6 46.9,-122.6 46.8,-122.7 46.8))"
1973,-122.6,46.8,"POLYGON((-122.6 46.8,-122.6 46.9,-122.5 46.9,-122.5 46.8,-122.6 46.8))"
1818,-122.5,46.8,"POLYGON((-122.5 46.8,-122.5 46.9,-122.4 46.9,-122.4 46.8,-122.5 46.8))"
4,-123.2,46.9,"POLYGON((-123.2 46.9,-123.2 47.0,-123.1 47.0,-123.1 46.9,-123.2 46.9))"
1691,-123.1,46.9,"POLYGON((-123.1 46.9,-123.1 47.0,-123.0 47.0,-123.0 46.9,-123.1 46.9))"
6868,-123.0,46.9,"POLYGON((-123.0 46.9,-123.0 47.0,-122.9 47.0,-122.9 46.9,-123.0 46.9))"
10659,-122.9,46.9,"POLYGON((-122.9 46.9,-122.9 47.0,-122.8 47.0,-122.8 46.9,-122.9 46.9))"
3667,-122.8,46.9,"POLYGON((-122.8 46.9,-122.8 47.0,-122.7 47.0,-122.7 46.9,-122.8 46.9))"
3653,-122.7,46.9,"POLYGON((-122.7 46.9,-122.7 47.0,-122.6 47.0,-122.6 46.9,-122.7 46.9))"
2819,-122.6,46.9,"POLYGON((-122.6 46.9,-122.6 47.0,-122.5 47.0,-122.5 46.9,-122.6 46.9))"
366,-123.2,47.0,"POLYGON((-123.2 47.0,-123.2 47.1,-123.1 47.1,-123.1 47.0,-123.2 47.0))"
1496,-123.1,47.0,"POLYGON((-123.1 47.0,-123.1 47.1,-123.0 47.1,-123.0 47.0,-123.1 47.0))"
20153,-123.0,47.0,"POLYGON((-123.0 47.0,-123.0 47.1,-122.9 47.1,-122.9 47.0,-123.0 47.0))"
31697,-122.9,47.0,"POLYGON((-122.9 47.0,-122.9 47.1,-122.8 47.1,-122.8 47.0,-122.9 47.0))"
21356,-122.8,47.0,"POLYGON((-122.8 47.0,-122.8 47.1,-122.7 47.1,-122.7 47.0,-122.8 47.0))"
916,-122.7,47.0,"POLYGON((-122.7 47.0,-122.7 47.1,-122.6 47.1,-122.6 47.0,-122.7 47.0))"
413,-123.1,47.1,"POLYGON((-123.1 47.1,-123.1 47.2,-123.0 47.2,-123.0 47.1,-123.1 47.1))"
2753,-123.0,47.1,"POLYGON((-123.0 47.1,-123.0 47.2,-122.9 47.2,-122.9 47.1,-123.0 47.1))"
2519,-122.9,47.1,"POLYGON((-122.9 47.1,-122.9 47.2,-122.8 47.2,-122.8 47.1,-122.9 47.1))"
2062,-122.8,47.1,"POLYGON((-122.8 47.1,-122.8 47.2,-122.7 47.2,-122.7 47.1,-122.8 47.1))"
