count,lon,lat,area
95,-119.0,46.0,"POLYGON((-119.0 46.0,-119.0 46.1,-118.9 46.1,-118.9 46.0,-119.0 46.0))"
18,-118.9,46.0,"POLYGON((-118.9 46.0,-118.9 46.1,-118.8 46.1,-118.8 46.0,-118.9 46.0))"
48,-118.8,46.0,"POLYGON((-118.8 46.0,-118.8 46.1,-118.7 46.1,-118.7 46.0,-118.8 46.0))"
417,-118.7,46.0,"POLYGON((-118.7 46.0,-118.7 46.1,-118.6 46.1,-118.6 46.0,-118.7 46.0))"
244,-118.6,46.0,"POLYGON((-118.6 46.0,-118.6 46.1,-118.5 46.1,-118.5 46.0,-118.6 46.0))"
1215,-118.5,46.0,"POLYGON((-118.5 46.0,-118.5 46.1,-118.4 46.1,-118.4 46.0,-118.5 46.0))"
20114,-118.4,46.0,"POLYGON((-118.4 46.0,-118.4 46.1,-118.3 46.1,-118.3 46.0,-118.4 46.0))"
1779,-118.3,46.0,"POLYGON((-118.3 46.0,-118.3 46.1,-118.2 46.1,-118.2 46.0,-118.3 46.0))"
254,-118.2,46.0,"POLYGON((-118.2 46.0,-118.2 46.1,-118.1 46.1,-118.1 46.0,-118.2 46.0))"
66,-118.1,46.0,"POLYGON((-118.1 46.0,-118.1 46.1,-118.0 46.1,-118.0 46.0,-118.1 46.0))"
1,-118.0,46.0,"POLYGON((-118.0 46.0,-118.0 46.1,-117.9 46.1,-117.9 46.0,-118.0 46.0))"
414,-119.1,46.1,"POLYGON((-119.1 46.1,-119.1 46.2,-119.0 46.2,-119.0 46.1,-119.1 46.1))"
429,-119.0,46.1,"POLYGON((-119.0 46.1,-119.0 46.2,-118.9 46.2,-118.9 46.1,-119.0 46.1))"
25,-118.9,46.1,"POLYGON((-118.9 46.1,-118.9 46.2,-118.8 46.2,-118.8 46.1,-118.9 46.1))"
2,-118.8,46.1,"POLYGON((-118.8 46.1,-118.8 46.2,-118.7 46.2,-118.7 46.1,-118.8 46.1))"
26,-118.7,46.1,"POLYGON((-118.7 46.1,-118.7 46.2,-118.6 46.2,-118.6 46.1,-118.7 46.1))"
16,-118.6,46.1,"POLYGON((-118.6 46.1,-118.6 46.2,-118.5 46.2,-118.5 46.1,-118.6 46.1))"
36,-118.5,46.1,"POLYGON((-118.5 46.1,-118.5 46.2,-118.4 46.2,-118.4 46.1,-118.5 46.1))"
72,-118.4,46.1,"POLYGON((-118.4 46.1,-118.4 46.2,-118.3 46.2,-118.3 46.1,-118.4 46.1))"
68,-118.3,46.1,"POLYGON((-118.3 46.1,-118.3 46.2,-118.2 46.2,-118.2 46.1,-118.3 46.1))"
177,-118.2,46.1,"POLYGON((-118.2 46.1,-118.2 46.2,-118.1 46.2,-118.1 46.1,-118.2 46.1))"
107,-118.1,46.1,"POLYGON((-118.1 46.1,-118.1 46.2,-118.0 46.2,-118.0 46.1,-118.1 46.1))"
3,-118.0,46.1,"POLYGON((-118.0 46.1,-118.0 46.2,-117.9 46.2,-117.9 46.1,-118.0 46.1))"
223,-119.1,46.2,"POLYGON((-119.1 46.2,-119.1 46.3,-119.0 46.3,-119.0 46.2,-119.1 46.2))"
373,-119.0,46.2,"POLYGON((-119.0 46.2,-119.0 46.3,-118.9 46.3,-118.9 46.2,-119.0 46.2))"
142,-118.9,46.2,"POLYGON((-118.9 46.2,-118.9 46.3,-118.8 46.3,-118.8 46.2,-118.9 46.2))"
12,-118.8,46.2,"POLYGON((-118.8 46.2,-118.8 46.3,-118.7 46.3,-118.7 46.2,-118.8 46.2))"
12,-118.7,46.2,"POLYGON((-118.7 46.2,-118.7 46.3,-118.6 46.3,-118.6 46.2,-118.7 46.2))"
21,-118.6,46.2,"POLYGON((-118.6 46.2,-118.6 46.3,-118.5 46.3,-118.5 46.2,-118.6 46.2))"
29,-118.5,46.2,"POLYGON((-118.5 46.2,-118.5 46.3,-118.4 46.3,-118.4 46.2,-118.5 46.2))"
119,-118.4,46.2,"POLYGON((-118.4 46.2,-118.4 46.3,-118.3 46.3,-118.3 46.2,-118.4 46.2))"
34,-118.3,46.2,"POLYGON((-118.3 46.2,-118.3 46.3,-118.2 46.3,-118.2 46.2,-118.3 46.2))"
760,-118.2,46.2,"POLYGON((-118.2 46.2,-118.2 46.3,-118.1 46.3,-118.1 46.2,-118.2 46.2))"
1,-118.1,46.2,"POLYGON((-118.1 46.2,-118.1 46.3,-118.0 46.3,-118.0 46.2,-118.1 46.2))"
293,-118.8,46.3,"POLYGON((-118.8 46.3,-118.8 46.4,-118.7 46.4,-118.7 46.3,-118.8 46.3))"
70,-118.7,46.3,"POLYGON((-118.7 46.3,-118.7 46.4,-118.6 46.4,-118.6 46.3,-118.7 46.3))"
18,-118.6,46.3,"POLYGON((-118.6 46.3,-118.6 46.4,-118.5 46.4,-118.5 46.3,-118.6 46.3))"
9,-118.5,46.3,"POLYGON((-118.5 46.3,-118.5 46.4,-118.4 46.4,-118.4 46.3,-118.5 46.3))"
117,-118.4,46.3,"POLYGON((-118.4 46.3,-118.4 46.4,-118.3 46.4,-118.3 46.3,-118.4 46.3))"
11,-118.3,46.3,"POLYGON((-118.3 46.3,-118.3 46.4,-118.2 46.4,-118.2 46.3,-118.3 46.3))"
4,-118.7,46.4,"POLYGON((-118.7 46.4,-118.7 46.5,-118.6 46.5,-118.6 46.4,-118.7 46.4))"
13,-118.6,46.4,"POLYGON((-118.6 46.4,-118.6 46.5,-118.5 46.5,-118.5 46.4,-118.6 46.4))"
25,-118.5,46.4,"POLYGON((-118.5 46.4,-118.5 46.5,-118.4 46.5,-118.4 46.4,-118.5 46.4))"
18,-118.4,46.4,"POLYGON((-118.4 46.4,-118.4 46.5,-118.3 46.5,-118.3 46.4,-118.4 46.4))"
10,-118.3,46.4,"POLYGON((-118.3 46.4,-118.3 46.5,-118.2 46.5,-118.2 46.4,-118.3 46.4))"
1,-118.7,46.5,"POLYGON((-118.7 46.5,-118.7 46.6,-118.6 46.6,-118.6 46.5,-118.7 46.5))"
9,-118.6,46.5,"POLYGON((-118.6 46.5,-118.6 46.6,-118.5 46.6,-118.5 46.5,-118.6 46.5))"
9,-118.5,46.5,"POLYGON((-118.5 46.5,-118.5 46.6,-118.4 46.6,-118.4 46.5,-118.5 46.5))"
17,-118.4,46.5,"POLYGON((-118.4 46.5,-118.4 46.6,-118.3 46.6,-118.3 46.5,-118.4 46.5))"
6,-118.3,46.5,"POLYGON((-118.3 46.5,-118.3 46.6,-118.2 46.6,-118.2 46.5,-118.3 46.5))"
1,-118.4,46.6,"POLYGON((-118.4 46.6,-118.4 46.7,-118.3 46.7,-118.3 46.6,-118.4 46.6))"
