count,lon,lat,area
276,-89.6,45.5,"POLYGON((-89.6 45.5,-89.6 45.6,-89.5 45.6,-89.5 45.5,-89.6 45.5))"
278,-89.5,45.5,"POLYGON((-89.5 45.5,-89.5 45.6,-89.4 45.6,-89.4 45.5,-89.5 45.5))"
241,-89.4,45.5,"POLYGON((-89.4 45.5,-89.4 45.6,-89.3 45.6,-89.3 45.5,-89.4 45.5))"
975,-89.6,45.6,"POLYGON((-89.6 45.6,-89.6 45.7,-89.5 45.7,-89.5 45.6,-89.6 45.6))"
4854,-89.5,45.6,"POLYGON((-89.5 45.6,-89.5 45.7,-89.4 45.7,-89.4 45.6,-89.5 45.6))"
2425,-89.4,45.6,"POLYGON((-89.4 45.6,-89.4 45.7,-89.3 45.7,-89.3 45.6,-89.4 45.6))"
5,-89.3,45.6,"POLYGON((-89.3 45.6,-89.3 45.7,-89.2 45.7,-89.2 45.6,-89.3 45.6))"
95,-89.6,45.7,"POLYGON((-89.6 45.7,-89.6 45.8,-89.5 45.8,-89.5 45.7,-89.6 45.7))"
140,-89.5,45.7,"POLYGON((-89.5 45.7,-89.5 45.8,-89.4 45.8,-89.4 45.7,-89.5 45.7))"
269,-89.4,45.7,"POLYGON((-89.4 45.7,-89.4 45.8,-89.3 45.8,-89.3 45.7,-89.4 45.7))"
1,-89.3,45.7,"POLYGON((-89.3 45.7,-89.3 45.8,-89.2 45.8,-89.2 45.7,-89.3 45.7))"
