count,lon,lat,area
1,-108.0,41.0,"POLYGON((-108.0 41.0,-108.0 41.1,-107.9 41.1,-107.9 41.0,-108.0 41.0))"
19,-107.9,41.0,"POLYGON((-107.9 41.0,-107.9 41.1,-107.8 41.1,-107.8 41.0,-107.9 41.0))"
15,-107.8,41.0,"POLYGON((-107.8 41.0,-107.8 41.1,-107.7 41.1,-107.7 41.0,-107.8 41.0))"
533,-107.7,41.0,"POLYGON((-107.7 41.0,-107.7 41.1,-107.6 41.1,-107.6 41.0,-107.7 41.0))"
144,-107.6,41.0,"POLYGON((-107.6 41.0,-107.6 41.1,-107.5 41.1,-107.5 41.0,-107.6 41.0))"
102,-107.5,41.0,"POLYGON((-107.5 41.0,-107.5 41.1,-107.4 41.1,-107.4 41.0,-107.5 41.0))"
25,-107.4,41.0,"POLYGON((-107.4 41.0,-107.4 41.1,-107.3 41.1,-107.3 41.0,-107.4 41.0))"
40,-107.3,41.0,"POLYGON((-107.3 41.0,-107.3 41.1,-107.2 41.1,-107.2 41.0,-107.3 41.0))"
14,-107.2,41.0,"POLYGON((-107.2 41.0,-107.2 41.1,-107.1 41.1,-107.1 41.0,-107.2 41.0))"
20,-107.1,41.0,"POLYGON((-107.1 41.0,-107.1 41.1,-107.0 41.1,-107.0 41.0,-107.1 41.0))"
8,-107.0,41.0,"POLYGON((-107.0 41.0,-107.0 41.1,-106.9 41.1,-106.9 41.0,-107.0 41.0))"
3,-106.9,41.0,"POLYGON((-106.9 41.0,-106.9 41.1,-106.8 41.1,-106.8 41.0,-106.9 41.0))"
5,-106.8,41.0,"POLYGON((-106.8 41.0,-106.8 41.1,-106.7 41.1,-106.7 41.0,-106.8 41.0))"
7,-106.7,41.0,"POLYGON((-106.7 41.0,-106.7 41.1,-106.6 41.1,-106.6 41.0,-106.7 41.0))"
4,-106.6,41.0,"POLYGON((-106.6 41.0,-106.6 41.1,-106.5 41.1,-106.5 41.0,-106.6 41.0))"
17,-106.5,41.0,"POLYGON((-106.5 41.0,-106.5 41.1,-106.4 41.1,-106.4 41.0,-106.5 41.0))"
5,-106.4,41.0,"POLYGON((-106.4 41.0,-106.4 41.1,-106.3 41.1,-106.3 41.0,-106.4 41.0))"
2,-107.9,41.1,"POLYGON((-107.9 41.1,-107.9 41.2,-107.8 41.2,-107.8 41.1,-107.9 41.1))"
