count,lon,lat,area
4,-105.1,44.1,"POLYGON((-105.1 44.1,-105.1 44.2,-105.0 44.2,-105.0 44.1,-105.1 44.1))"
2,-104.9,44.1,"POLYGON((-104.9 44.1,-104.9 44.2,-104.8 44.2,-104.8 44.1,-104.9 44.1))"
7,-104.7,44.1,"POLYGON((-104.7 44.1,-104.7 44.2,-104.6 44.2,-104.6 44.1,-104.7 44.1))"
1,-104.6,44.1,"POLYGON((-104.6 44.1,-104.6 44.2,-104.5 44.2,-104.5 44.1,-104.6 44.1))"
12,-104.5,44.1,"POLYGON((-104.5 44.1,-104.5 44.2,-104.4 44.2,-104.4 44.1,-104.5 44.1))"
2,-104.4,44.1,"POLYGON((-104.4 44.1,-104.4 44.2,-104.3 44.2,-104.3 44.1,-104.4 44.1))"
11,-104.3,44.1,"POLYGON((-104.3 44.1,-104.3 44.2,-104.2 44.2,-104.2 44.1,-104.3 44.1))"
1,-105.2,44.2,"POLYGON((-105.2 44.2,-105.2 44.3,-105.1 44.3,-105.1 44.2,-105.2 44.2))"
49,-105.1,44.2,"POLYGON((-105.1 44.2,-105.1 44.3,-105.0 44.3,-105.0 44.2,-105.1 44.2))"
690,-105.0,44.2,"POLYGON((-105.0 44.2,-105.0 44.3,-104.9 44.3,-104.9 44.2,-105.0 44.2))"
7,-104.9,44.2,"POLYGON((-104.9 44.2,-104.9 44.3,-104.8 44.3,-104.8 44.2,-104.9 44.2))"
47,-104.8,44.2,"POLYGON((-104.8 44.2,-104.8 44.3,-104.7 44.3,-104.7 44.2,-104.8 44.2))"
3,-104.7,44.2,"POLYGON((-104.7 44.2,-104.7 44.3,-104.6 44.3,-104.6 44.2,-104.7 44.2))"
67,-104.6,44.2,"POLYGON((-104.6 44.2,-104.6 44.3,-104.5 44.3,-104.5 44.2,-104.6 44.2))"
42,-104.5,44.2,"POLYGON((-104.5 44.2,-104.5 44.3,-104.4 44.3,-104.4 44.2,-104.5 44.2))"
34,-104.4,44.2,"POLYGON((-104.4 44.2,-104.4 44.3,-104.3 44.3,-104.3 44.2,-104.4 44.2))"
13,-104.3,44.2,"POLYGON((-104.3 44.2,-104.3 44.3,-104.2 44.3,-104.2 44.2,-104.3 44.2))"
