count,lon,lat,area
7,-105.3,40.9,"POLYGON((-105.3 40.9,-105.3 41.0,-105.2 41.0,-105.2 40.9,-105.3 40.9))"
78,-105.3,41.0,"POLYGON((-105.3 41.0,-105.3 41.1,-105.2 41.1,-105.2 41.0,-105.3 41.0))"
58,-105.2,41.0,"POLYGON((-105.2 41.0,-105.2 41.1,-105.1 41.1,-105.1 41.0,-105.2 41.0))"
14,-105.1,41.0,"POLYGON((-105.1 41.0,-105.1 41.1,-105.0 41.1,-105.0 41.0,-105.1 41.0))"
40,-105.0,41.0,"POLYGON((-105.0 41.0,-105.0 41.1,-104.9 41.1,-104.9 41.0,-105.0 41.0))"
2372,-104.9,41.0,"POLYGON((-104.9 41.0,-104.9 41.1,-104.8 41.1,-104.8 41.0,-104.9 41.0))"
461,-104.8,41.0,"POLYGON((-104.8 41.0,-104.8 41.1,-104.7 41.1,-104.7 41.0,-104.8 41.0))"
62,-104.7,41.0,"POLYGON((-104.7 41.0,-104.7 41.1,-104.6 41.1,-104.6 41.0,-104.7 41.0))"
150,-104.6,41.0,"POLYGON((-104.6 41.0,-104.6 41.1,-104.5 41.1,-104.5 41.0,-104.6 41.0))"
60,-104.5,41.0,"POLYGON((-104.5 41.0,-104.5 41.1,-104.4 41.1,-104.4 41.0,-104.5 41.0))"
191,-104.4,41.0,"POLYGON((-104.4 41.0,-104.4 41.1,-104.3 41.1,-104.3 41.0,-104.4 41.0))"
58,-104.3,41.0,"POLYGON((-104.3 41.0,-104.3 41.1,-104.2 41.1,-104.2 41.0,-104.3 41.0))"
43,-104.2,41.0,"POLYGON((-104.2 41.0,-104.2 41.1,-104.1 41.1,-104.1 41.0,-104.2 41.0))"
13,-104.1,41.0,"POLYGON((-104.1 41.0,-104.1 41.1,-104.0 41.1,-104.0 41.0,-104.1 41.0))"
217,-105.3,41.1,"POLYGON((-105.3 41.1,-105.3 41.2,-105.2 41.2,-105.2 41.1,-105.3 41.1))"
39,-105.2,41.1,"POLYGON((-105.2 41.1,-105.2 41.2,-105.1 41.2,-105.1 41.1,-105.2 41.1))"
313,-105.1,41.1,"POLYGON((-105.1 41.1,-105.1 41.2,-105.0 41.2,-105.0 41.1,-105.1 41.1))"
81,-105.0,41.1,"POLYGON((-105.0 41.1,-105.0 41.2,-104.9 41.2,-104.9 41.1,-105.0 41.1))"
16003,-104.9,41.1,"POLYGON((-104.9 41.1,-104.9 41.2,-104.8 41.2,-104.8 41.1,-104.9 41.1))"
16260,-104.8,41.1,"POLYGON((-104.8 41.1,-104.8 41.2,-104.7 41.2,-104.7 41.1,-104.8 41.1))"
1084,-104.7,41.1,"POLYGON((-104.7 41.1,-104.7 41.2,-104.6 41.2,-104.6 41.1,-104.7 41.1))"
