count,lon,lat,area
1749,20.6,41.9,"POLYGON((20.6 41.9,20.6 42.0,20.7 42.0,20.7 41.9,20.6 41.9))"
622,20.7,41.9,"POLYGON((20.7 41.9,20.7 42.0,20.8 42.0,20.8 41.9,20.7 41.9))"
156,20.5,42.0,"POLYGON((20.5 42.0,20.5 42.1,20.6 42.1,20.6 42.0,20.5 42.0))"
4730,20.6,42.0,"POLYGON((20.6 42.0,20.6 42.1,20.7 42.1,20.7 42.0,20.6 42.0))"
371,20.7,42.0,"POLYGON((20.7 42.0,20.7 42.1,20.8 42.1,20.8 42.0,20.7 42.0))"
602,20.5,42.1,"POLYGON((20.5 42.1,20.5 42.2,20.6 42.2,20.6 42.1,20.5 42.1))"
4490,20.6,42.1,"POLYGON((20.6 42.1,20.6 42.2,20.7 42.2,20.7 42.1,20.6 42.1))"
4436,20.7,42.1,"POLYGON((20.7 42.1,20.7 42.2,20.8 42.2,20.8 42.1,20.7 42.1))"
2976,20.8,42.1,"POLYGON((20.8 42.1,20.8 42.2,20.9 42.2,20.9 42.1,20.8 42.1))"
316,20.9,42.1,"POLYGON((20.9 42.1,20.9 42.2,21.0 42.2,21.0 42.1,20.9 42.1))"
194,21.0,42.1,"POLYGON((21.0 42.1,21.0 42.2,21.1 42.2,21.1 42.1,21.0 42.1))"
286,21.1,42.1,"POLYGON((21.1 42.1,21.1 42.2,21.2 42.2,21.2 42.1,21.1 42.1))"
2351,21.2,42.1,"POLYGON((21.2 42.1,21.2 42.2,21.3 42.2,21.3 42.1,21.2 42.1))"
155,21.3,42.1,"POLYGON((21.3 42.1,21.3 42.2,21.4 42.2,21.4 42.1,21.3 42.1))"
101,20.4,42.2,"POLYGON((20.4 42.2,20.4 42.3,20.5 42.3,20.5 42.2,20.4 42.2))"
1795,20.5,42.2,"POLYGON((20.5 42.2,20.5 42.3,20.6 42.3,20.6 42.2,20.5 42.2))"
4434,20.6,42.2,"POLYGON((20.6 42.2,20.6 42.3,20.7 42.3,20.7 42.2,20.6 42.2))"
27224,20.7,42.2,"POLYGON((20.7 42.2,20.7 42.3,20.8 42.3,20.8 42.2,20.7 42.2))"
1719,20.8,42.2,"POLYGON((20.8 42.2,20.8 42.3,20.9 42.3,20.9 42.2,20.8 42.2))"
880,20.9,42.2,"POLYGON((20.9 42.2,20.9 42.3,21.0 42.3,21.0 42.2,20.9 42.2))"
2674,21.0,42.2,"POLYGON((21.0 42.2,21.0 42.3,21.1 42.3,21.1 42.2,21.0 42.2))"
2353,21.1,42.2,"POLYGON((21.1 42.2,21.1 42.3,21.2 42.3,21.2 42.2,21.1 42.2))"
5158,21.2,42.2,"POLYGON((21.2 42.2,21.2 42.3,21.3 42.3,21.3 42.2,21.2 42.2))"
963,21.3,42.2,"POLYGON((21.3 42.2,21.3 42.3,21.4 42.3,21.4 42.2,21.3 42.2))"
567,21.4,42.2,"POLYGON((21.4 42.2,21.4 42.3,21.5 42.3,21.5 42.2,21.4 42.2))"
