count,lon,lat,area
2405,30.7,-30.3,"POLYGON((30.7 -30.3,30.7 -30.2,30.8 -30.2,30.8 -30.3,30.7 -30.3))"
37,30.8,-30.3,"POLYGON((30.8 -30.3,30.8 -30.2,30.9 -30.2,30.9 -30.3,30.8 -30.3))"
6,30.6,-30.2,"POLYGON((30.6 -30.2,30.6 -30.1,30.7 -30.1,30.7 -30.2,30.6 -30.2))"
3693,30.7,-30.2,"POLYGON((30.7 -30.2,30.7 -30.1,30.8 -30.1,30.8 -30.2,30.7 -30.2))"
794,30.8,-30.2,"POLYGON((30.8 -30.2,30.8 -30.1,30.9 -30.1,30.9 -30.2,30.8 -30.2))"
63,30.7,-30.1,"POLYGON((30.7 -30.1,30.7 -30.0,30.8 -30.0,30.8 -30.1,30.7 -30.1))"
24107,30.8,-30.1,"POLYGON((30.8 -30.1,30.8 -30.0,30.9 -30.0,30.9 -30.1,30.8 -30.1))"
2488,30.9,-30.1,"POLYGON((30.9 -30.1,30.9 -30.0,31.0 -30.0,31.0 -30.1,30.9 -30.1))"
10,30.6,-30.0,"POLYGON((30.6 -30.0,30.6 -29.9,30.7 -29.9,30.7 -30.0,30.6 -30.0))"
249,30.7,-30.0,"POLYGON((30.7 -30.0,30.7 -29.9,30.8 -29.9,30.8 -30.0,30.7 -30.0))"
59359,30.8,-30.0,"POLYGON((30.8 -30.0,30.8 -29.9,30.9 -29.9,30.9 -30.0,30.8 -30.0))"
44802,30.9,-30.0,"POLYGON((30.9 -30.0,30.9 -29.9,31.0 -29.9,31.0 -30.0,30.9 -30.0))"
4673,31.0,-30.0,"POLYGON((31.0 -30.0,31.0 -29.9,31.1 -29.9,31.1 -30.0,31.0 -30.0))"
118,30.5,-29.9,"POLYGON((30.5 -29.9,30.5 -29.8,30.6 -29.8,30.6 -29.9,30.5 -29.9))"
11999,30.6,-29.9,"POLYGON((30.6 -29.9,30.6 -29.8,30.7 -29.8,30.7 -29.9,30.6 -29.9))"
11130,30.7,-29.9,"POLYGON((30.7 -29.9,30.7 -29.8,30.8 -29.8,30.8 -29.9,30.7 -29.9))"
38292,30.8,-29.9,"POLYGON((30.8 -29.9,30.8 -29.8,30.9 -29.8,30.9 -29.9,30.8 -29.9))"
47268,30.9,-29.9,"POLYGON((30.9 -29.9,30.9 -29.8,31.0 -29.8,31.0 -29.9,30.9 -29.9))"
11362,31.0,-29.9,"POLYGON((31.0 -29.9,31.0 -29.8,31.1 -29.8,31.1 -29.9,31.0 -29.9))"
454,30.5,-29.8,"POLYGON((30.5 -29.8,30.5 -29.7,30.6 -29.7,30.6 -29.8,30.5 -29.8))"
5668,30.6,-29.8,"POLYGON((30.6 -29.8,30.6 -29.7,30.7 -29.7,30.7 -29.8,30.6 -29.8))"
7105,30.7,-29.8,"POLYGON((30.7 -29.8,30.7 -29.7,30.8 -29.7,30.8 -29.8,30.7 -29.8))"
20086,30.8,-29.8,"POLYGON((30.8 -29.8,30.8 -29.7,30.9 -29.7,30.9 -29.8,30.8 -29.8))"
95037,30.9,-29.8,"POLYGON((30.9 -29.8,30.9 -29.7,31.0 -29.7,31.0 -29.8,30.9 -29.8))"
33336,31.0,-29.8,"POLYGON((31.0 -29.8,31.0 -29.7,31.1 -29.7,31.1 -29.8,31.0 -29.8))"
5,30.5,-29.7,"POLYGON((30.5 -29.7,30.5 -29.6,30.6 -29.6,30.6 -29.7,30.5 -29.7))"
112,30.6,-29.7,"POLYGON((30.6 -29.7,30.6 -29.6,30.7 -29.6,30.7 -29.7,30.6 -29.7))"
20,30.7,-29.7,"POLYGON((30.7 -29.7,30.7 -29.6,30.8 -29.6,30.8 -29.7,30.7 -29.7))"
37,30.8,-29.7,"POLYGON((30.8 -29.7,30.8 -29.6,30.9 -29.6,30.9 -29.7,30.8 -29.7))"
16045,30.9,-29.7,"POLYGON((30.9 -29.7,30.9 -29.6,31.0 -29.6,31.0 -29.7,30.9 -29.7))"
37224,31.0,-29.7,"POLYGON((31.0 -29.7,31.0 -29.6,31.1 -29.6,31.1 -29.7,31.0 -29.7))"
2188,31.1,-29.7,"POLYGON((31.1 -29.7,31.1 -29.6,31.2 -29.6,31.2 -29.7,31.1 -29.7))"
33,30.9,-29.6,"POLYGON((30.9 -29.6,30.9 -29.5,31.0 -29.5,31.0 -29.6,30.9 -29.6))"
3432,31.0,-29.6,"POLYGON((31.0 -29.6,31.0 -29.5,31.1 -29.5,31.1 -29.6,31.0 -29.6))"
7022,31.1,-29.6,"POLYGON((31.1 -29.6,31.1 -29.5,31.2 -29.5,31.2 -29.6,31.1 -29.6))"
