,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
379933,71a,Langendembach,,Langenorla,,de,,,
565814,6,An den Gärten,,Leinefelde-Worbis,,de,,,
224969,2c,Am Feldrain,,Hildburghausen,,de,,,
2276,19,Heinrich-Zille-Straße,,Gera,,de,,,
106305,1,Gisperslebener Straße,,Erfurt,,de,,,
385535,33,Ortsstraße,,Oberoppurg,,de,,,
223120,6,Mühlenweg,,Eisfeld,,de,,,
599534,2,Straße des Friedens,,Menteroda,,de,,,
210188,43a,Hauptstraße,,Unterschönau,,de,,,
240005,69,Ernst-Thälmann-Straße,,Masserberg,,de,,,
339271,14,Hufelandweg,,Jena,,de,,,
158357,31,Gartensiedlung,,Großschwabhausen,,de,,,
336518,113,Magdelstieg,,Jena,,de,,,
250504,14a,Langensalzaer Straße,,Eisenach,,de,,,
266548,9,Hartmannstraße,,Leimbach,,de,,,
212755,19,Am Räschen,,Wasungen,,de,,,
593179,8a,Urbacher Straße,,Obermehler,,de,,,
549101,6b,Hinter den Höfen,,Gerterode,,de,,,
59888,5,An der Klinge,,Lödla,,de,,,
352061,18,Zur Hirtenhohle,,Bürgel,,de,,,
525834,10a,Kulmstraße,,Saalfeld/Saale,,de,,,
409796,43a,Unrode,,Kleinbodungen,,de,,,
575587,12,Kornmarkt,,Bad Langensalza,,de,,,
508644,2,Apostelgasse,,Bad Blankenburg,,de,,,
397278,16,Waldstraße,,Krölpa,,de,,,
469171,4,Fraunhoferstraße,,Geschwenda,,de,,,
513141,12a,Weischwitz,,Kaulsdorf,,de,,,
518264,37a,Großgeschwenda,,Probstzella,,de,,,
327992,2,Clara-Zetkin-Ring,,Drei Gleichen,,de,,,
162630,6,Friedensstraße,,Magdala,,de,,,
379740,14a,Ortsstraße,,Kospoda,,de,,,
441826,5,Hohler Graben,,Oberbösa,,de,,,
568118,19,Lärchenweg,,Leinefelde-Worbis,,de,,,
359576,27,Dorfstraße,,Großlöbichau,,de,,,
525757,83,Kulmbacher Straße,,Saalfeld/Saale,,de,,,
578179,173,Grünstraße,,Ballhausen,,de,,,
557203,4,Am Bahnhof,,Küllstedt,,de,,,
416084,1a,Sangerhäuser Straße,,Nordhausen,,de,,,
100805,9,Gorkistraße,,Erfurt,,de,,,
372414,4,Waldstraße,,Stadtroda,,de,,,
494664,18,Kirchweg,,Neuhaus am Rennweg,,de,,,
272267,14,Rosenweg,,Seebach,,de,,,
367665,6,An der Grolle,,Rauda,,de,,,
6233,8,Große Kirchstraße,,Gera,,de,,,
303626,13,Oststraße,,Gotha,,de,,,
202472,14,Goethestraße,,"Schmalkalden, Kurort",,de,,,
17017,8,Am Anger,,Bad Köstritz,,de,,,
355635,9,Zu den Tannenwiesen,,Eineborn,,de,,,
251380,6,Waldhausstraße,,Eisenach,,de,,,
332306,5,Friedensstraße,,Hörsel,,de,,,
371105,1,Julius-Kniese-Straße,,Stadtroda,,de,,,
432373,2,Lindengasse,,Bad Frankenhausen/Kyffhäuser,,de,,,
90508,24,Robert-Koch-Straße,,Erfurt,,de,,,
128714,9,Der Gang,,Kleinmölsen,,de,,,
563011,7,Hintergasse,,Schimberg,,de,,,
335386,5,Fritz-Krieger-Straße,,Jena,,de,,,
57064,6,Neumarkt,,Gößnitz,,de,,,
395470,8,Zeppelinstraße,,Triptis,,de,,,
217415,7,Regenbergstraße,,Zella-Mehlis,,de,,,
124172,19,Mühlstraße,,Gebesee,,de,,,
593961,12,Mühlhäuser Landstraße,,Rodeberg,,de,,,
462984,7a,Ried,,Arnstadt,,de,,,
354945,12,Tauchlitz,,Crossen an der Elster,,de,,,
307831,20,Schwabhäuser Straße,,Gotha,,de,,,
340391,19,Richard-Strauss-Weg,,Jena,,de,,,
396369,31,Pößnecker Straße,,Ziegenrück,,de,,,
32546,16,Friedrichstraße,,Ronneburg,,de,,,
529120,34,Kircherstraße,,Saalfeld/Saale,,de,,,
338272,2,Robert-Blum-Straße,,Jena,,de,,,
118581,1,Albert-Kuntz-Straße,,Weimar,,de,,,
465874,1,Geratalstraße,,Gehlberg,,de,,,
412121,5,Kantstraße,,Nordhausen,,de,,,
471266,21,Neuhäuser Straße,,Großbreitenbach,,de,,,
409429,2,Sägemühle,,Herrmannsacker,,de,,,
40144,13,Otto-Grotewohl-Ring,,Zeulenroda-Triebes,,de,,,
104279,6,Zeisigweg,,Erfurt,,de,,,
134146,1a,An der Eiche,,Schillingstedt,,de,,,
109861,1,Birkenweg,,Weimar,,de,,,
138516,4,Frohndorfer Straße,,Sömmerda,,de,,,
591039,32,Margaretenstraße,,Mühlhausen/Thüringen,,de,,,
560407,42a,Dorfstraße,,Steinbach,,de,,,
518718,3,Burgweg,,Reichmannsdorf,,de,,,
550984,6,Rengelröder Weg,,Heilbad Heiligenstadt,,de,,,
266802,29,Hermannsrodaer Straße,,Leimbach,,de,,,
50405,45f,Paditzer Straße,,Altenburg,,de,,,
379723,69,Am Buchenberg,,Kospoda,,de,,,
55794,3,Am Mühlgraben,,Fockendorf,,de,,,
246329,67,Wartburgallee,,Eisenach,,de,,,
598835,12,Martinstraße,,Unstruttal,,de,,,
75068,4,Straße der Einheit,,Ziegelheim,,de,,,
600001,8,Hinter dem Dorfe,,Anrode,,de,,,
415744,25,Bleicheröder Straße,,Nordhausen,,de,,,
270755,1,Neuer Markt,,Ruhla,,de,,,
519084,17,Ortsstraße,,Rohrbach,,de,,,
475787,43,Bussardweg,,Ilmenau,,de,,,
239847,50,Simmersbergstraße,,Masserberg,,de,,,
376722,18,Seebachweg,,Bodelwitz,,de,,,
176962,21,Franz-Mehring-Straße,,Suhl,,de,,,
5772,66b,Franz-Mehring-Straße,,Gera,,de,,,
102393,63,Gutenbergstraße,,Erfurt,,de,,,
64701,7,Am Waldschlößchen,,Meuselwitz,,de,,,
453893,12,An der Stadtmauer,,Wiehe,,de,,,
109385,11,Schulstraße,,Weimar,,de,,,
169932,1,An der Apoldaer Straße,,Ilmtal-Weinstraße,,de,,,
371134,3,Beckertal,,Stadtroda,,de,,,
251388,28,Waldhausstraße,,Eisenach,,de,,,
219964,4,Berkacher Hauptstraße,,Grabfeld,,de,,,
296820,24,Die Trift,,Eschenbergen,,de,,,
367704,8,Siedlung,,Rauda,,de,,,
196483,5,Pleßstraße,,Rosa,,de,,,
251789,26,Leimbacher Straße,,Bad Salzungen,,de,,,
101718,1,Rotdornweg,,Erfurt,,de,,,
492073,10,Bergluftstraße,,Judenbach,,de,,,
276138,64,Straße des Friedens,,Treffurt,,de,,,
247485,28,Ginsterweg,,Eisenach,,de,,,
405114,8,Lindenstraße,,Bleicherode,,de,,,
77386,10,Egstedter Trift,,Erfurt,,de,,,
411688,104,Sondershäuser Straße,,Nohra,,de,,,
170015,9,Goethestraße,,Ilmtal-Weinstraße,,de,,,
11458,27,Schoßbachstraße,,Gera,,de,,,
117105,24,Otto-Bartning-Straße,,Weimar,,de,,,
91718,19,Hannes-Meyer-Weg,,Erfurt,,de,,,
20280,21,Herrmannsgrüner Straße,,Greiz,,de,,,
37896,13,Reichenfelser Straße,,Zeulenroda-Triebes,,de,,,
305521,22,Kirchgasse,,Gotha,,de,,,
266,64,Roben,,Gera,,de,,,
83827,127,Röhrenweg,,Erfurt,,de,,,
313190,38,Goldbergstraße,,Ohrdruf,,de,,,
367390,16,Dorfstraße,,Poxdorf,,de,,,
367216,114,Dorfstraße,,Ottendorf,,de,,,
35372,29,Straße der Jugend,,Weida,,de,,,
549243,1,Dorfstraße,,Glasehausen,,de,,,
203082,43,Hauptstraße,,Schwallungen,,de,,,
243182,39,Mühlhäuser Chaussee,,Eisenach,,de,,,
108513,16a,Parkallee,,Weimar,,de,,,
184051,71,Nesselbergstraße,,Floh-Seligenthal,,de,,,
28434,5,Kurtschauer Weg,,Langenwetzendorf,,de,,,
59965,3,Am Kuhberg,,Lödla,,de,,,
34714,21,Hohe Straße,,Weida,,de,,,
601011,137,Hauptstraße,,Südeichsfeld,,de,,,
208200,21,Wilhelm-Pieck-Straße,,Brotterode-Trusetal,,de,,,
356284,50,Geraer Straße,,Eisenberg,,de,,,
56119,91,Am Sportplatz,,Gerstenberg,,de,,,
213378,5,Neutor,,Wasungen,,de,,,
392427,10a,Schießhausweg,,Schleiz,,de,,,
268453,38,Pfarrmünsterstraße,,Mihla,,de,,,
348658,3,Am Johannisberg,,Jena,,de,,,
491864,100,Alte Handelsstraße,,Judenbach,,de,,,
573169,31,Oberdorf,,Bad Langensalza,,de,,,
392511,6,Werner-Seelenbinder-Straße,,Schleiz,,de,,,
74702,13,Luckaer Straße,,Windischleuba,,de,,,
475661,33,Habichtsring,,Ilmenau,,de,,,
